Formation,State,Basin,Area,Max CO2 per injection project,Max # of injection projects,Injection rate
,,,(sq. mi),(MMtonnes),,(MMtonne/project/year)
Arbuckle1,OK,Northern Shelf Area," 10,229 "," 1,952,658 ", 265 ," 65,089 "
Arbuckle3,KS,Las Animas Arch," 3,039 "," 4,776,084 ", 19 ," 159,203 "
Arbuckle4,KS,Ozark Plateau," 32,460 "," 12,889,089 ", 157 ," 429,636 "
Atoka1,TX,Permian," 51,294 "," 2,863,938 ", 809 ," 95,465 "
Basal Cambrian1,MT,Kevin Dome," 8,799 "," 2,539,374 ", 55 ," 84,646 "
Basal Cambrian8,ND,Williston," 11,350 "," 1,442,924 ", 179 ," 48,097 "
Canyon1,TX,Palo Duro," 15,157 "," 3,201,386 ", 239 ," 106,713 "
Canyon2,NM,Tucumcari," 8,502 "," 1,670,288 ", 257 ," 55,676 "
Canyon3,TX,Permian," 49,915 "," 3,794,328 ", 953 ," 126,478 "
Cedar Keys-Lawson1,FL,South Florida," 5,666 "," 1,668,291 ", 137 ," 55,610 "
Cedar Keys-Lawson2,FL,South Florida," 16,981 "," 13,335,416 ", 80 ," 444,514 "
Cedar Keys-Lawson3,FL,South Florida, 889 ," 4,949,458 ", 7 ," 164,982 "
Cisco1,TX,Palo Duro," 15,012 "," 5,122,363 ", 55 ," 170,745 "
Dakota2,CO,Piceance," 3,054 "," 1,754,410 ", 27 ," 58,480 "
Dakota3,CO,San Juan," 2,904 "," 2,283,712 ", 13 ," 76,124 "
Dakota5,UT,Uinta," 10,678 "," 2,912,670 ", 44 ," 97,089 "
Dakota6,CO,Raton," 2,540 "," 2,550,808 ", 10 ," 85,027 "
Dakota8,CO,Denver," 22,831 "," 4,913,198 ", 101 ," 163,773 "
Dakota9,WY,Denver," 5,028 "," 3,326,974 ", 20 ," 110,899 "
Dakota10,NE,Denver," 8,564 "," 4,251,049 ", 45 ," 141,702 "
Domengine1,CA,Sacramento," 2,069 "," 17,495,740 ", 10 ," 583,191 "
Entrada1,CO,Piceance," 9,237 "," 3,865,294 ", 50 ," 128,843 "
Entrada2,UT,Uinta," 10,799 "," 22,806,045 ", 44 ," 760,202 "
Entrada6,WY,Denver," 5,028 "," 12,612,290 ", 20 ," 420,410 "
Entrada7,NE,Denver," 8,564 "," 3,792,771 ", 45 ," 126,426 "
Entrada9,NM,San Juan," 5,705 "," 2,234,255 ", 47 ," 74,475 "
Eutaw1,MS,Gulf Coast Onshore," 29,518 "," 2,968,397 ", 129 ," 98,947 "
Eutaw2,AL,Gulf Coast Onshore," 8,478 "," 1,873,159 ", 41 ," 62,439 "
Eutaw3,FL,Gulf Coast Onshore," 13,014 "," 1,498,764 ", 59 ," 49,959 "
Fountain1b,CO,Denver," 5,044 "," 12,090,926 ", 31 ," 403,031 "
Fountain2a,CO,Denver," 2,794 "," 4,536,023 ", 11 ," 151,201 "
Fountain2b,CO,Denver," 2,794 "," 18,853,647 ", 11 ," 628,455 "
Frio1,TX,Gulf Coast Onshore," 4,855 "," 16,653,777 ", 20 ," 555,126 "
Frio2,TX,Gulf Coast Onshore," 4,357 "," 34,495,969 ", 20 ," 1,149,866 "
Frio3a,TX,Gulf Coast Onshore," 1,193 "," 32,675,228 ", 8 ," 1,089,174 "
Frio3b,TX,Gulf Coast Onshore," 1,193 "," 15,498,371 ", 8 ," 516,612 "
Frio4,TX,Gulf Coast Onshore, 694 ," 21,721,910 ", 5 ," 724,064 "
Frio5,TX,Gulf Coast Onshore, 323 ," 8,392,730 ", 3 ," 279,758 "
Frio6,TX,Gulf Coast Onshore," 1,889 "," 2,808,286 ", 137 ," 93,610 "
Frio7a,TX,Gulf Coast Onshore," 1,537 "," 23,918,234 ", 15 ," 797,274 "
Frio7b,TX,Gulf Coast Onshore," 1,537 "," 4,509,141 ", 15 ," 150,305 "
Frio8,TX,Gulf Coast Onshore," 1,200 "," 10,117,117 ", 15 ," 337,237 "
Frio9a,TX,Gulf Coast Onshore," 2,342 "," 31,001,127 ", 16 ," 1,033,371 "
Frio9b,TX,Gulf Coast Onshore," 2,342 "," 14,668,101 ", 16 ," 488,937 "
Frio10,TX,Gulf Coast Onshore," 2,317 "," 36,601,443 ", 12 ," 1,220,048 "
Frio11,TX,Gulf Coast Onshore, 259 ," 12,413,315 ", 3 ," 413,777 "
Frio12a,TX,Gulf Coast Onshore," 2,121 "," 52,124,769 ", 8 ," 1,737,492 "
Frio12b,TX,Gulf Coast Onshore," 2,121 "," 49,280,181 ", 8 ," 1,642,673 "
Frio13a,TX,Gulf Coast Onshore," 1,762 "," 34,052,725 ", 9 ," 1,135,091 "
Frio13b,TX,Gulf Coast Onshore," 1,762 "," 31,471,353 ", 9 ," 1,049,045 "
Frio13c,TX,Gulf Coast Onshore," 1,762 "," 28,758,682 ", 9 ," 958,623 "
Fusselman1,TX,Permian," 51,068 "," 16,710,464 ", 195 ," 557,015 "
Glorieta1,NM,Albuquerque," 1,834 "," 4,776,490 ", 7 ," 159,216 "
Hermosa1a,CO,Paradox," 1,466 "," 7,284,078 ", 9 ," 242,803 "
Hermosa1b,CO,Paradox," 1,466 "," 7,843,456 ", 9 ," 261,449 "
Knox1,IL,Illinois," 10,500 "," 5,155,922 ", 56 ," 171,864 "
Knox2,IL,Illinois," 5,560 "," 4,969,805 ", 21 ," 165,660 "
Knox3,IN,Illinois," 4,930 "," 1,038,353 ", 149 ," 34,612 "
Knox4,IN,Illinois," 1,275 "," 3,975,685 ", 6 ," 132,523 "
Knox5,KY,Illinois," 2,610 "," 6,529,070 ", 11 ," 217,636 "
Knox6,KY,Illinois," 1,700 "," 3,978,697 ", 8 ," 132,623 "
Leonard1,TX,Permian," 51,294 "," 4,722,387 ", 809 ," 157,413 "
Leonard2,NM,Permian," 9,346 "," 1,231,927 ", 565 ," 41,064 "
Lower Tuscaloosa1,AL,Gulf Coast Onshore," 10,592 "," 7,644,938 ", 113 ," 254,831 "
Lower Tuscaloosa2,AL,Gulf Coast Onshore," 2,571 "," 2,014,799 ", 133 ," 67,160 "
Lower Tuscaloosa3,FL,Gulf Coast Onshore," 9,454 "," 5,408,449 ", 127 ," 180,282 "
