

FILE NAME:      BLDBASE
DATE MODIFIED:  January 23, 2025
USED BY:        CALC111D subroutines of the National Energy Modeling System (NEMS)
                 Commercial Demand Module (CDM)
                 Residential Demand Module (RDM)
DEFINITION:     Baseline electricity consumption
UNITS:          billion kilowatt hours of electricity consumption
DIMENSION:      by census division, year
SPECIAL CONSTRAINTS:  Nonnegative values
ORGANIZATION OF DATA:
                The first column of data corresponds to the 9 census divisions in the following order:
                 New England, Middle Atlantic, East North Central, West North Central, South Atlantic,
                 East South Central, West South Central, Mountain, and Pacific.
                The second column provides the corresponding year index, with 1=1990.
                The third and fourth columns contain baseline electricity consumption for the residential
                 and commercial sectors, respectively.
                Data starts on row 101 of this file per CDM convention.
SOURCES:        Updated from Q:\output\rad\int_noAB32\d012225a\p1 RESOUT.txt file















































































CD	YEAR	QELRS   	QELCM
     1    1   128.00999   134.46700
    1    2   126.74000   134.87100
    1    3   128.31000   135.63499
    1    4   129.85001   137.59500
    1    5   131.48000   143.23599
    1    6   130.31000   144.39000
    1    7   132.36000   147.99300
    1    8   131.92000   150.93900
    1    9   132.34000   155.61400
    1   10   139.97000   159.38699
    1   11   140.92000   166.89900
    1   12   144.53000   172.84900
    1   13   150.42999   174.84900
    1   14   157.80000   178.75000
    1   15   159.35001   183.16800
    1   16   166.17000   186.89700
    1   17   158.63000   184.83099
    1   18   162.81000   193.83000
    1   19   157.94000   186.48801
    1   20   156.58600   154.31100
    1   21   165.74699   156.77600
    1   22   162.00500   153.60300
    1   23   161.07300   153.07500
    1   24   165.03700   153.32899
    1   25   161.08600   181.20100
    1   26   162.00513   182.14400
    1   27   158.76401   179.99400
    1   28   156.43335   178.07100
    1   29   164.10976   180.57800
    1   30   157.53697   175.85866
    1   31   165.27348   162.11896
    1   32   166.40353   167.59479
    1   33   166.18893   170.73979
    1   34   160.61018   168.59549
    1   35   165.96506   162.68353
    1   36   161.59035   162.17165
    1   37   163.44101   158.59160
    1   38   167.23734   160.45338
    1   39   170.60425   163.05804
    1   40   172.96278   166.86594
    1   41   174.75043   170.16183
    1   42   176.23984   173.74924
    1   43   177.70790   177.11195
    1   44   178.82448   180.43585
    1   45   179.96347   182.89294
    1   46   181.79558   186.57265
    1   47   184.00873   190.22685
    1   48   186.56819   194.28250
    1   49   189.09842   198.17372
    1   50   191.64256   202.01805
    1   51   193.94150   205.57793
    1   52   196.09470   208.86911
    1   53   198.10066   212.32773
    1   54   200.11630   216.00841
    1   55   202.01987   219.45503
    1   56   204.15874   223.65295
    1   57   205.84698   226.49379
    1   58   207.59003   229.74411
    1   59   209.21921   232.92920
    1   60   210.75313   235.93636
    1   61   212.18831   238.85402
    2    1   331.76999   387.00500
    2    2   342.26999   395.83301
    2    3   336.12000   394.62000
    2    4   352.78000   407.74500
    2    5   356.54001   419.30099
    2    6   358.79999   437.48999
    2    7   363.59000   442.04599
    2    8   358.70999   447.01700
    2    9   363.98001   462.02499
    2   10   380.76999   474.85501
    2   11   384.10001   501.15399
    2   12   394.95999   505.10800
    2   13   417.48999   520.40997
    2   14   423.54999   519.74799
    2   15   430.12000   535.02502
    2   16   457.78000   553.99298
    2   17   439.60001   549.63898
    2   18   459.19000   555.24701
    2   19   451.07999   564.11401
