FILE NAME:      KFLSPC

DATE MODIFIED:  February 22, 2024


USED BY:        COMFloorspace subroutine of the National Energy Modeling System
                (NEMS) Commercial Demand Module (CDM)

DEFINITION:     2018 CBECS floorspace

                Existing 2018 commercial floorspace

UNITS:          million sqft

DIMENSION:      Building type, Census division, floorspace vintage cohort group (see KVINT)

SPECIAL CONSTRAINTS:    None

ORGANIZATION OF DATA:

                Data starts on row 101 of this file as per CDM convention.

                Each block of lines corresponds to a building type, in the following
                order:  Assembly, Education, Food Sales, Food Service, Health Care,
                Lodging, Large Office, Small Office, Merc/Service, Warehouse, and Other.

                Each row corresponds to a floorspace vintage cohort group.

                Each column corresponds to a Census division, in the following order:
                New England, Middle Atlantic, East North Central, West North Central,
                South Atlantic, East South Central, West South Central, Mountain, and
                Pacific.

SOURCES:

                U.S. Department of Energy, Energy Information Administration, 2018 Commercial
                  Buildings Energy Consumption Survey, Public Use Data, available December 2022 at
                  http://www.eia.gov/consumption/commercial/data/2018/index.cfm?view=microdata



























































NE	MA	ENC	WNC	SA	ESC	WSC	MTN	PAC
CD1	CD2	CD3	CD4	CD5	CD6	CD7	CD8	CD9
								
86.02	135.78	204.21	58.11	251.60	64.56	64.39	32.44	72.16
9.83	146.90	147.77	135.20	166.43	9.79	119.62	45.39	79.70
11.35	72.72	123.54	44.30	300.97	102.22	55.70	60.59	264.76
93.71	300.34	268.61	74.35	241.63	81.83	135.11	22.49	268.13
81.04	126.58	339.18	185.33	285.36	75.12	148.91	162.67	236.86
31.51	114.35	193.12	220.14	294.52	54.25	89.17	31.09	99.02
100.93	142.15	521.29	80.24	469.03	116.43	286.33	222.13	110.57
62.88	132.87	307.40	115.93	577.28	114.70	332.11	248.39	83.83
1.56	28.37	110.91	2.32	210.77	105.38	116.15	17.08	128.59
20.54	0.00	125.63	73.33	103.74	67.88	138.59	80.42	101.83
								
82.81	140.61	60.97	32.97	13.23	18.97	65.86	0.00	13.28
24.59	253.46	343.67	62.29	69.86	25.64	80.42	5.06	78.12
88.86	360.23	279.64	357.77	326.18	124.41	169.63	177.54	110.44
31.43	303.77	473.82	162.55	321.98	196.33	150.92	102.05	262.54
64.60	274.86	427.26	197.96	143.05	180.25	99.20	99.25	95.87
7.80	62.83	95.69	165.45	279.08	18.02	268.71	186.36	165.49
85.84	183.34	304.82	157.79	507.19	147.59	350.67	125.22	284.73
167.58	201.12	339.30	93.03	488.77	52.32	237.46	96.96	162.03
22.85	100.62	95.59	86.37	127.84	53.37	235.27	60.83	35.60
45.24	46.25	20.63	86.40	68.86	5.06	144.73	41.26	171.57
								
0.00	0.00	13.86	0.00	0.00	0.00	0.00	0.00	0.00
22.28	0.00	12.87	0.00	0.00	0.00	2.56	0.00	16.91
0.00	0.00	5.87	0.00	13.21	0.00	17.35	0.00	0.00
0.00	7.03	18.94	0.00	0.00	12.66	5.85	14.09	20.35
0.00	0.00	80.65	0.00	12.49	12.41	7.48	0.00	18.55
0.00	0.00	10.29	19.05	26.64	8.28	13.68	17.65	0.00
0.00	11.73	58.28	3.05	0.00	0.00	0.00	57.93	0.00
0.00	24.68	46.63	73.27	8.43	4.79	39.17	0.00	22.21
62.47	0.00	13.55	0.00	23.74	0.00	6.28	6.25	16.69
0.00	11.53	19.98	27.21	0.00	0.00	33.95	0.00	22.67
								
8.84	15.65	29.06	11.53	34.91	0.00	6.90	17.76	6.91
4.30	23.09	22.62	13.22	6.41	8.77	0.00	13.25	30.85
2.87	6.26	10.75	3.05	11.90	0.00	10.98	7.34	6.77
