FILE NAME:      KINTENS												
												
DATE MODIFIED:  November 21, 2025												
												
NOTE:        	Updated EUI values based on final 2018 CBECS data 											
                												
USED BY:        Service Demand subroutine of the National Energy Modeling System												
                (NEMS) Commercial Demand Module (CDM)												
												
DEFINITION:     Energy Use Intensities (EUI)												
												
                Energy consumed per unit floorspace												
												
UNITS:          thousand Btu consumed/sqft												
												
DIMENSION:      Census division, building type, end-use service, fuel type												
												
SPECIAL CONSTRAINTS:    Non-negative values												
												
ORGANIZATION OF DATA:												
												
                Data starts on row 101 of this file as per CDM convention.												
												
                Each block of 11 triplets of lines corresponds to a Census Division, in												
                the customary order of:  New England, Middle Atlantic, East North												
                Central, West North Central, South Atlantic, East South Central, West												
                South Central, Mountain, and Pacific.												
												
                Each triplet of lines corresponds to a building type, in the customary												
                order of Assembly, Education, Food Sales, Food Service, Health Care,												
                Lodging, Large Office, Small Office, Merc/Service, Warehouse, and Other.												
												
                Each line corresponds to a major fuel, with the first line corresponding												
                to Electricity, the second line corresponding to Natural Gas, and the												
                third line corresponding to Distillate.												
												
SOURCES:												
												
                U.S. Department of Energy, Energy Information Administration												
                Commercial Buildings Energy Consumption Survey 2018 Data Files.												
                Final public use CBECS 2018 End Use Consumption Data.												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
Heat	Cool	HWH	Vent	Cook	Light	Refr	DatServ	PCEquip	Other			
												
2.646	4.923	0.254	4.373	0.420	4.295	2.620	0.000	1.274	0.000	EL	Assem	New England
22.989	0.000	0.144	0.000	1.987	0.000	0.000	0.000	0.000	0.024	NG		
7.864	0.000	0.315	0.000	0.000	0.000	0.000	0.000	0.000	0.062	DS		
												
0.159	1.993	0.294	3.978	0.497	4.730	1.192	0.423	2.271	0.294	EL	Educ	
16.694	0.000	1.407	0.000	1.083	0.000	0.000	0.000	0.000	0.861	NG		
