index,BA_CD,BA_ID,BA_NM,ENTER STAGE1_RGN
0,AECI,924,"Associated Electric Cooperative, Inc.",MISO
1,AVA,20169,Avista Corporation,NWPP
2,AVRN,15399,Avangrid Renewables LLC,NWPP
3,AZPS,803,Arizona Public Service Company,SRSG
4,BANC,65289,Balancing Authority of Northern California,CISO
5,BPAT,1738,Bonneville Power Administration,NWPP
6,CHPD,3413,Public Utility District No. 1 of Chelan County,NWPP
7,CISO,2775,California Independent System Operator,CISO
8,CPLE,3046,Duke Energy Progress East,SRCA
9,CPLW,58786,Duke Energy Progress West,SRCA
10,DEAA,56812,"Arlington Valley, LLC - AVBA",SRSG
11,DOPD,5326,PUD No. 1 of Douglas County,NWPP
12,DUK,5416,Duke Energy Carolinas,SRCA
13,EPE,5701,El Paso Electric Company,SRSG
14,ERCO,5723,"Electric Reliability Council of Texas, Inc.",TRE
15,FMPP,65277,Florida Municipal Power Pool,FRCC
16,FPC,6455,Duke Energy Florida Inc,FRCC
17,FPL,6452,Florida Power & Light Company,FRCC
18,GCPD,14624,"Public Utility District No. 2 of Grant County, Washington",NWPP
19,GLHB,64898,GridLiance,MISO
20,GRID,58790,"Gridforce Energy Management, LLC",NWPP
21,GRIF,56090,"Griffith Energy, LLC",SRSG
22,GRIS,56545,Gridforce South,SRSG
23,GVL,6909,Gainesville Regional Utilities,FRCC
24,GWA,56365,"NaturEner Power Watch, LLC (GWA)",NWPP
25,HGMA,32790,"New Harquahala Generating Company, LLC - HGBA",SRSG
26,HST,8795,City of Homestead,FRCC
27,IID,9216,Imperial Irrigation District,SRSG
28,IPCO,9191,Idaho Power Company,BASN
29,ISNE,13434,ISO New England Inc.,ISNE
30,JEA,9617,JEA,FRCC
31,LDWP,11208,Los Angeles Department of Water and Power,CISO
32,LGEE,11249,Louisville Gas and Electric Company and Kentucky Utilities Company,SRCE
33,MISO,56669,"Midcontinent Independent Transmission System Operator, Inc..",MISO
34,NBSO,1,New Brunswick System Operator,ISNE
35,NEVP,13407,Nevada Power Company,BASN
36,NSB,,,FRCC
37,NWMT,12825,NorthWestern Energy (NWMT),NWPP
38,NYIS,13501,New York Independent System Operator,NYIS
39,PACE,14379,PacifiCorp - East,BASN
40,PACW,14378,PacifiCorp - West,NWPP
41,PGE,15248,Portland General Electric Company,NWPP
42,PJM,14725,"PJM Interconnection, LLC",PJM
43,PNM,15473,Public Service Company of New Mexico,SRSG
44,PSCO,15466,Public Service Company of Colorado,RMRG
45,PSEI,15500,Puget Sound Energy,NWPP
46,SC,17543,South Carolina Public Service Authority,SRCA
47,SCEG,17539,Dominion Energy South Carolina,SRCA
48,SCL,16868,Seattle City Light,NWPP
49,SEC,21554,Seminole Electric Cooperative,FRCC
50,SEPA,29304,Southeastern Power Administration,SRSE
51,SOCO,18195,"Southern Company Services, Inc. - Trans",SRSE
52,SPA,17716,Southwestern Power Administration,SPP
53,SRP,16572,Salt River Project,SRSG
54,SWPP,59504,Southwest Power Pool,SPP
55,TAL,18445,City of Tallahassee,FRCC
56,TEC,18454,Tampa Electric Company,FRCC
57,TEPC,24211,Tucson Electric Power Company,SRSG
58,TIDC,19281,Turlock Irrigation District,CISO
59,TPWR,18429,"City of Tacoma, Department of Public Utilities, Light Division",NWPP
60,TVA,18642,Tennessee Valley Authority,SRCE
61,WACM,28503,Western Area Power Administration - Rocky Mountain Region,RMRG
62,WALC,25471,Western Area Power Administration - Desert Southwest Region,SRSG
63,WAUW,19610,Western Area Power Administration UGP West,NWPP
64,WWA,58791,"NaturEner Wind Watch, LLC",NWPP
65,YAD,317,"Alcoa Power Generating, Inc. - Yadkin Division",SRCA
66,AMPL,599,Anchorage Municipal Light & Power,ASCC
67,CEA,3522,Chugach Electric Assn Inc,ASCC
68,HECO,19547,Hawaiian Electric Co Inc,HECO
