FORM,UTIL_ID,UTIL_NAME,BA_CD,STATE,EMM_RGN,RULE
F861,305,Alger-Delta Coop Electric Assn,MISO,MI,MISW,USER MUST SET EMM_RGN
F861,1196,Village of Baraga - (MI),MISO,MI,MISW,USER MUST SET EMM_RGN
F861,1764,Black Diamond Power Co,PJM,WV,PJMW,USER MUST SET EMM_RGN
F861,3712,Clay County Electric Coop Corp,MISO,AR,MISS,USER MUST SET EMM_RGN
F861,5930,Village of Fairport - (NY),NYIS,NY,NYUP,USER MUST SET EMM_RGN
F861,7265,City of Gladstone,MISO,MI,MISW,USER MUST SET EMM_RGN
F861,7908,Hagerstown Light Department,PJM,MD,PJME,USER MUST SET EMM_RGN
F861,10325,Kings River Conservation Dist,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,10508,Village of L'Anse - (MI),MISO,MI,MISW,USER MUST SET EMM_RGN
F861,11475,City of Madison - (SD),MISO,SD,MISW,USER MUST SET EMM_RGN
F861,12260,Mecklenburg Electric Cooperative,PJM,VA,PJMD,USER MUST SET EMM_RGN
F861,13352,City of Negaunee,MISO,MI,MISW,USER MUST SET EMM_RGN
F861,13762,"Northern Neck Elec Coop, Inc",PJM,VA,PJMD,USER MUST SET EMM_RGN
F861,15145,City of Plattsburgh - (NY),NYIS,NY,NYUP,USER MUST SET EMM_RGN
F861,15410,Prince George Electric Coop,PJM,VA,PJMD,USER MUST SET EMM_RGN
F861,17512,Village of Solvay - (NY),NYIS,NY,NYUP,USER MUST SET EMM_RGN
F861,17715,Southwestern Electric Coop Inc - (NM),PNM,CO,SRSG,USER MUST SET EMM_RGN
F861,17715,Southwestern Electric Coop Inc - (NM),PNM,OK,SRSG,USER MUST SET EMM_RGN
F861,19396,Tri-County Electric Coop (MI),MISO,MI,MISE,USER MUST SET EMM_RGN
F861,19396,Tri-County Electric Coop (MI),MISO,MI,MISE,USER MUST SET EMM_RGN
F861,20334,Wellsborough Electric Co,PJM,PA,PJME,USER MUST SET EMM_RGN
F861,40220,Adams Electric Cooperative Inc,PJM,PA,PJME,USER MUST SET EMM_RGN
F861,40221,"Bedford Rural Elec Coop, Inc",PJM,PA,PJME,USER MUST SET EMM_RGN
F861,40222,Valley Rural Electric Coop Inc,PJM,PA,PJMW,USER MUST SET EMM_RGN
F861,40224,"Central Electric Coop, Inc - (PA)",PJM,PA,PJMW,USER MUST SET EMM_RGN
F861,40289,Claverack Rural Elec Coop Inc,PJM,PA,PJME,USER MUST SET EMM_RGN
F861,40290,Tri-County Rural Elec Coop Inc (PA),PJM,PA,PJMW,USER MUST SET EMM_RGN
F861,40290,Tri-County Rural Elec Coop Inc (PA),PJM,PA,PJMW,USER MUST SET EMM_RGN
F861,40292,REA Energy Coop Inc,PJM,PA,PJMW,USER MUST SET EMM_RGN
F861,40293,"Northwestern Rural E C A, Inc - (PA)",PJM,PA,PJME,USER MUST SET EMM_RGN
F861,40613,Northern California Power Agny,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,49746,The Energy Coop,PJM,PA,PJMW,USER MUST SET EMM_RGN
F861,56692,Marin Clean Energy,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,59126,Sonoma Clean Power Authority,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,59625,Lancaster Choice Energy,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,60181,CleanPowerSF,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,60402,Peninsula Clean Energy Authority,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,60758,Apple Valley Choice Energy,CISO,CA,CASO,USER MUST SET EMM_RGN
F861,60759,Silicon Valley Clean Energy Authority,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,60868,Redwood Coast Energy Authority,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,61083,Pico Rivera Innovative Municipal Energy,CISO,CA,CASO,USER MUST SET EMM_RGN
F861,61431,Pioneer Community Energy,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,61432,Central Coast Community Energy,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,61433,San Jacinto Power,CISO,CA,CASO,USER MUST SET EMM_RGN
F861,61462,Valley Clean Energy Alliance,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,61471,Rancho Mirage Energy Authority,CISO,CA,CASO,USER MUST SET EMM_RGN
F861,61475,East Bay Community Energy,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,61503,City of Solana Beach,CISO,CA,CASO,USER MUST SET EMM_RGN
F861,61526,Clean Power Alliance of Southern Califor,CISO,CA,CASO,USER MUST SET EMM_RGN
F861,61570,King City Community Power,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,61858,San Jose Clean Energy,CISO,CA,CANO,USER MUST SET EMM_RGN
F861,63716,Western Community Energy,CISO,CA,CASO,USER MUST SET EMM_RGN
F861,63724,BPROUD,CISO,CA,CASO,USER MUST SET EMM_RGN
F861,63725,Pomona Choice Energy (PCE),CISO,CA,CASO,USER MUST SET EMM_RGN
F861,64195,Desert Community Energy,CISO,CA,CASO,USER MUST SET EMM_RGN
F861,64289,San Diego Community Power,CISO,CA,CASO,USER MUST SET EMM_RGN
F861,64425,Clean Energy Alliance,CISO,CA,CASO,USER MUST SET EMM_RGN
F861,64555,Santa Barbara Clean Energy,CISO,CA,CASO,USER MUST SET EMM_RGN
