UTIL_ID,NAME,BA_CD,STATE,FORM,STAGE_1_RGN,STAGE_2_RGN
213,Alaska Electric Light&Power Co,NA,AK,F861,ASCC,ASCC
213,Alaska Electric Light&Power Co,,AK,F860,ASCC,ASCC
219,Alaska Power and Telephone Co,NA,AK,F861,ASCC,ASCC
219,Alaska Power and Telephone Co,,AK,F860,ASCC,ASCC
221,"Alaska Village Elec Coop, Inc",,AK,F860,ASCC,ASCC
221,"Alaska Village Elec Coop, Inc",NA,AK,F860,ASCC,ASCC
1276,"Barrow Utils & Elec Coop, Inc",,AK,F860,ASCC,ASCC
3522,Chugach Electric Assn Inc,CEA,AK,F861,ASCC,ASCC
3522,Chugach Electric Assn Inc,,AK,F860,ASCC,ASCC
4329,"Copper Valley Elec Assn, Inc",,AK,F860,ASCC,ASCC
4959,Aniak Light & Power Co Inc,,AK,F860,ASCC,ASCC
6915,Galena Electric Utility,,AK,F860,ASCC,ASCC
7353,Golden Valley Elec Assn Inc,NA,AK,F861,ASCC,ASCC
7353,Golden Valley Elec Assn Inc,,AK,F860,ASCC,ASCC
7833,Gwitchyaa Zhee Utility Co,,AK,F860,ASCC,ASCC
9188,"I-N-N Electric Coop, Inc",,AK,F860,ASCC,ASCC
9897,City of King Cove,,AK,F860,ASCC,ASCC
10210,Ketchikan Public Utilities,NA,AK,F861,ASCC,ASCC
10210,Ketchikan Public Utilities,,AK,F860,ASCC,ASCC
10433,Kodiak Electric Assn Inc,NA,AK,F861,ASCC,ASCC
10433,Kodiak Electric Assn Inc,,AK,F860,ASCC,ASCC
10451,Kotzebue Electric Assn Inc,,AK,F860,ASCC,ASCC
11824,Matanuska Electric Assn Inc,NA,AK,F861,ASCC,ASCC
11824,Matanuska Electric Assn Inc,,AK,F860,ASCC,ASCC
12119,McGrath Light & Power Co,,AK,F860,ASCC,ASCC
12385,Metlakatla Power & Light,,AK,F860,ASCC,ASCC
13201,"Naknek Electric Assn, Inc",,AK,F860,ASCC,ASCC
13642,Nome Joint Utility Systems,,AK,F860,ASCC,ASCC
13870,"Nushagak Electric Coop, Inc",,AK,F860,ASCC,ASCC
14856,Petersburg Borough - (AK),,AK,F860,ASCC,ASCC
16955,City of Seward - (AK),,AK,F860,ASCC,ASCC
17271,City & Borough of Sitka - (AK),,AK,F860,ASCC,ASCC
18963,"Inside Passage Elec Coop, Inc",,AK,F860,ASCC,ASCC
19277,TDX North Slope Generating Co,,AK,F860,ASCC,ASCC
19454,City of Unalaska - (AK),,AK,F860,ASCC,ASCC
19558,Homer Electric Assn Inc,NA,AK,F861,ASCC,ASCC
19558,Homer Electric Assn Inc,,AK,F860,ASCC,ASCC
21015,City of Wrangell - (AK),,AK,F860,ASCC,ASCC
26616,North Slope Borough Power & Light,,AK,F860,ASCC,ASCC
29297,Pelican Utility,,AK,F860,ASCC,ASCC
30150,CBY DBA Yakutat Power,,AK,F860,ASCC,ASCC
40215,"Cordova Electric Coop, Inc",,AK,F860,ASCC,ASCC
40215,"Cordova Electric Coop, Inc",NA,AK,F860,ASCC,ASCC
40548,Unalakleet Valley Elec Coop,,AK,F860,ASCC,ASCC
49803,Alaska Electric & Energy Coop,,AK,F860,ASCC,ASCC
60770,Southeast Alaska Power Agency,NA,AK,F860,ASCC,ASCC
63560,"TDX Sand Point Generating, LLC",,AK,F860,ASCC,ASCC
9739,Joe Wheeler Elec Member Corp,TVA,AL,F860,SRCE,SRCE
16629,Sand Mountain Electric Coop,TVA,AL,F860,SRCE,SRCE
18642,Tennessee Valley Authority,TVA,AL,F861,SRCE,SRCE
189,PowerSouth Energy Cooperative,AEC,AL,F860,SRSE,SRSE
195,Alabama Power Co,SOCO,AL,F861,SRSE,SRSE
5309,City of Dothan - (AL),SOCO,AL,F860,SRSE,SRSE
7140,Georgia Power Co,SOCO,AL,F860,SRSE,SRSE
7197,Georgia Transmission Corp,SOCO,AL,F860,SRSE,SRSE
807,Arkansas Electric Coop Corp,MISO,AR,F860,MISO,MISS
814,Entergy Arkansas LLC,MISO,AR,F861,MISO,MISS
817,Arkansas Valley Elec Coop Corp,MISO,AR,F860,MISO,MISS
924,"Associated Electric Coop, Inc",AECI,AR,F860,MISO,SPPS
6342,First Electric Coop Corp,MISO,AR,F860,MISO,MISS
9879,City Water and Light Plant,MISO,AR,F861,MISO,MISS
13718,City of North Little Rock - (AR),MISO,AR,F861,MISO,MISS
14238,Ouachita Electric Coop Corp,MISO,AR,F860,MISO,MISS
20963,Woodruff Electric Coop Corp,MISO,AR,F860,MISO,MISS
814,Entergy Arkansas LLC,SWPP,AR,F860,SPP,SPPS
3705,Clarksville Light & Water Co,SPA,AR,F860,SPP,SPPS
3705,Clarksville Light & Water Co,SWPP,AR,F860,SPP,SPPS
5860,Empire District Electric Co,SWPP,AR,F861,SPP,SPPS
14063,Oklahoma Gas & Electric Co,SWPP,AR,F861,SPP,SPPS
14238,Ouachita Electric Coop Corp,SPA,AR,F860,SPP,SPPS
14289,Ozarks Electric Coop Corp - (AR),SWPP,AR,F860,SPP,SPPS
14446,Paragould Light & Water Comm,SPA,AR,F861,SPP,SPPS
14460,City of Paris - (AR),SWPP,AR,F860,SPP,SPPS
17698,Southwestern Electric Power Co,SWPP,AR,F861,SPP,SPPS
17716,Southwestern Power Administration,SPA,AR,F860,SPP,SPPS
13314,Navajo Tribal Utility Authority,PACE,AZ,F861,BASN,BASN
16572,Salt River Project,CISO,AZ,F860,CISO,CASO
16609,San Diego Gas & Electric Co,CISO,AZ,F860,CISO,CASO
17609,Southern California Edison Co,CISO,AZ,F860,CISO,CASO
796,Arizona Electric Pwr Coop Inc,TEPC,AZ,F860,SRSG,SRSG
796,Arizona Electric Pwr Coop Inc,WALC,AZ,F860,SRSG,SRSG
803,Arizona Public Service Co,AZPS,AZ,F861,SRSG,SRSG
803,Arizona Public Service Co,SRP,AZ,F860,SRSG,SRSG
803,Arizona Public Service Co,TEPC,AZ,F860,SRSG,SRSG
803,Arizona Public Service Co,WALC,AZ,F860,SRSG,SRSG
3990,Colorado River Indian Irr Proj,WALC,AZ,F860,SRSG,SRSG
5729,Electrical Dist No8 Maricopa,AZPS,AZ,F861,SRSG,SRSG
12351,City of Mesa - (AZ),WALC,AZ,F861,SRSG,SRSG
13314,Navajo Tribal Utility Authority,WALC,AZ,F860,SRSG,SRSG
13318,"Navopache Electric Coop, Inc",AZPS,AZ,F860,SRSG,SRSG
15048,Electrical Dist No2 Pinal County,WALC,AZ,F861,SRSG,SRSG
16572,Salt River Project,SRP,AZ,F861,SRSG,SRSG
16572,Salt River Project,AZPS,AZ,F860,SRSG,SRSG
16572,Salt River Project,DEAA,AZ,F860,SRSG,SRSG
16572,Salt River Project,HGMA,AZ,F860,SRSG,SRSG
18280,Sulphur Springs Valley E C Inc,WALC,AZ,F860,SRSG,SRSG
19189,Trico Electric Cooperative Inc,WALC,AZ,F861,SRSG,SRSG
19604,USBIA-San Carlos Project,WALC,AZ,F861,SRSG,SRSG
19728,"UNS Electric, Inc",TEPC,AZ,F861,SRSG,SRSG
19728,"UNS Electric, Inc",AZPS,AZ,F860,SRSG,SRSG
21538,"Mohave Electric Cooperative, I",WALC,AZ,F860,SRSG,SRSG
24211,Tucson Electric Power Co,TEPC,AZ,F861,SRSG,SRSG
25866,Ak-Chin Electric Utility Authority,AZPS,AZ,F861,SRSG,SRSG
27000,Western Area Power Administration,WALC,AZ,F861,SRSG,SRSG
27000,Western Area Power Administration,GRIF,AZ,F860,SRSG,SRSG
30518,Electrical Dist No3 Pinal County,AZPS,AZ,F861,SRSG,SRSG
19840,"Valley Electric Assn, Inc",NEVP,CA,F861,BASN,BASN
27000,Western Area Power Administration,NVE,CA,F860,BASN,BASN
57483,Liberty Utilities,NEVP,CA,F860,BASN,BASN
207,City of Alameda,CISO,CA,F860,CISO,CANO
590,City of Anaheim - (CA),CISO,CA,F861,CISO,CASO
694,Anza Electric Coop Inc,CISO,CA,F860,CISO,CASO
796,Arizona Electric Pwr Coop Inc,CISO,CA,F861,CISO,CASO
1050,City of Azusa,CISO,CA,F861,CISO,CASO
2507,City of Burbank Water and Power,LDWP,CA,F861,CISO,CASO
4003,City of Colton - (CA),CISO,CA,F861,CISO,CASO
4390,City of Corona - (CA),CISO,CA,F861,CISO,CASO
7294,City of Glendale - (CA),LDWP,CA,F861,CISO,CASO
9216,Imperial Irrigation District,CISO,CA,F860,CISO,SRSG
9216,Imperial Irrigation District,LDWP,CA,F860,CISO,SRSG
10724,Lassen Municipal Utility District,CISO,CA,F860,CISO,CANO
11124,City of Lodi - (CA),CISO,CA,F860,CISO,CANO
11208,Los Angeles Department of Water & Power,LDWP,CA,F861,CISO,CASO
11208,Los Angeles Department of Water & Power,CISO,CA,F860,CISO,CASO
12312,Merced Irrigation District,CISO,CA,F861,CISO,CANO
12745,Modesto Irrigation District,BANC,CA,F861,CISO,CANO
12745,Modesto Irrigation District,CISO,CA,F860,CISO,CANO
14328,Pacific Gas & Electric Co.,CISO,CA,F861,CISO,CANO
14328,Pacific Gas & Electric Co.,BANC,CA,F860,CISO,CANO
14328,Pacific Gas & Electric Co.,LDWP,CA,F860,CISO,CANO
14354,PacifiCorp,CISO,CA,F860,CISO,NWPP
14401,City of Palo Alto - (CA),CISO,CA,F861,CISO,CANO
14534,City of Pasadena - (CA),CISO,CA,F861,CISO,CASO
15308,Plumas-Sierra Rural Elec Coop,CISO,CA,F860,CISO,CANO
15783,City of Redding - (CA),BANC,CA,F861,CISO,CANO
16088,City of Riverside - (CA),CISO,CA,F861,CISO,CASO
16295,City of Roseville - (CA),BANC,CA,F860,CISO,CANO
16534,Sacramento Municipal Util Dist,BANC,CA,F861,CISO,CANO
16534,Sacramento Municipal Util Dist,CISO,CA,F860,CISO,CANO
16609,San Diego Gas & Electric Co,CISO,CA,F861,CISO,CASO
16612,City & County of San Francisco,CISO,CA,F861,CISO,CANO
16655,City of Santa Clara - (CA),CISO,CA,F861,CISO,CANO
17609,Southern California Edison Co,CISO,CA,F861,CISO,CASO
17609,Southern California Edison Co,LDWP,CA,F860,CISO,CASO
17612,Bear Valley Electric Service,CISO,CA,F861,CISO,CANO
19281,Turlock Irrigation District,TIDC,CA,F861,CISO,CANO
19397,City of Ukiah - (CA),CISO,CA,F860,CISO,CANO
19798,City of Vernon,CISO,CA,F860,CISO,CASO
27000,Western Area Power Administration,BANC,CA,F860,CISO,CANO
27000,Western Area Power Administration,CISO,CA,F860,CISO,CANO
40576,Intermountain Power Agency,LDWP,CA,F860,CISO,CASO
55787,City of Moreno Valley - (CA),CISO,CA,F861,CISO,CASO
56224,Rancho Cucamonga Municipal Utility,CISO,CA,F860,CISO,CASO
57483,Liberty Utilities,CISO,CA,F861,CISO,CANO
58851,City of Cerritos - (CA),CISO,CA,F861,CISO,CASO
64196,"4 Rivers Electric Cooperative, Inc.",BANC,CA,F860,CISO,CANO
14328,Pacific Gas & Electric Co.,PACW,CA,F860,NWPP,NWPP
14354,PacifiCorp,PACW,CA,F861,NWPP,NWPP
9216,Imperial Irrigation District,IID,CA,F861,SRSG,SRSG
27000,Western Area Power Administration,WALC,CA,F861,SRSG,SRSG
56146,Black Hills/Colorado Elec.Util,PACE,CO,F860,BASN,BASN
3989,Colorado Springs City of,PSCO,CO,F861,RMRG,RMRG
3989,Colorado Springs City of,WACM,CO,F860,RMRG,RMRG
5086,Delta Montrose Electric Assn,WACM,CO,F860,RMRG,RMRG
6610,City of Fort Morgan,PSCO,CO,F860,RMRG,RMRG
6638,City of Fountain,PSCO,CO,F861,RMRG,RMRG
7570,Great River Energy,WACM,CO,F860,RMRG,RMRG
8570,Highline Electric Assn,WACM,CO,F860,RMRG,RMRG
8751,Town of Holly - (CO),WACM,CO,F860,RMRG,RMRG
8773,"Holy Cross Electric Assn, Inc",PSCO,CO,F861,RMRG,RMRG
8773,"Holy Cross Electric Assn, Inc",WACM,CO,F860,RMRG,RMRG
9216,Imperial Irrigation District,PSCO,CO,F860,RMRG,RMRG
9336,Intermountain Rural Elec Assn,PSCO,CO,F861,RMRG,RMRG
9336,Intermountain Rural Elec Assn,WACM,CO,F860,RMRG,RMRG
10539,"La Plata Electric Assn, Inc",WACM,CO,F860,RMRG,RMRG
10633,City of Lamar - (CO),PSCO,CO,F860,RMRG,RMRG
10730,City of Las Animas - (CO),WACM,CO,F860,RMRG,RMRG
11256,City of Loveland - (CO),PSCO,CO,F861,RMRG,RMRG
12866,Moon Lake Electric Assn Inc,WACM,CO,F861,RMRG,RMRG
13050,"Mountain Parks Electric, Inc",PSCO,CO,F860,RMRG,RMRG
13050,"Mountain Parks Electric, Inc",WACM,CO,F860,RMRG,RMRG
13781,Northern States Power Co - Minnesota,PSCO,CO,F860,RMRG,RMRG
14940,PECO Energy Co,PSCO,CO,F860,RMRG,RMRG
15143,Platte River Power Authority,PSCO,CO,F860,RMRG,RMRG
15257,"Poudre Valley REA, Inc",WACM,CO,F860,RMRG,RMRG
15466,Public Service Co of Colorado,PSCO,CO,F861,RMRG,RMRG
15466,Public Service Co of Colorado,WACM,CO,F860,RMRG,RMRG
16603,"San Luis Valley R E C, Inc",PSCO,CO,F860,RMRG,RMRG
16616,"San Isabel Electric Assn, Inc",WACM,CO,F860,RMRG,RMRG
16622,"San Miguel Power Assn, Inc",PSCO,CO,F860,RMRG,RMRG
17592,Southeast Colorado Power Assn,WACM,CO,F861,RMRG,RMRG
17592,Southeast Colorado Power Assn,PSCO,CO,F860,RMRG,RMRG
19499,"United Power, Inc",WACM,CO,F861,RMRG,RMRG
19499,"United Power, Inc",PSCO,CO,F860,RMRG,RMRG
19545,"Black Hills Power, Inc.",WACM,CO,F860,RMRG,RMRG
20576,"White River Electric Assn, Inc",WACM,CO,F861,RMRG,RMRG
27000,Western Area Power Administration,WACM,CO,F861,RMRG,RMRG
27000,Western Area Power Administration,PSCO,CO,F860,RMRG,RMRG
30151,"Tri-State G & T Assn, Inc",PSCO,CO,F860,RMRG,RMRG
30151,"Tri-State G & T Assn, Inc",WACM,CO,F860,RMRG,RMRG
56146,Black Hills/Colorado Elec.Util,PSCO,CO,F861,RMRG,RMRG
56146,Black Hills/Colorado Elec.Util,WACM,CO,F860,RMRG,RMRG
15466,Public Service Co of Colorado,SWPP,CO,F860,SPP,SPPC
19160,"Tri-County Electric Coop, Inc (OK)",SWPP,CO,F861,SPP,SPPC
2089,Bozrah Light & Power Company,ISNE,CT,F860,ISNE,ISNE
4176,Connecticut Light & Power Co,ISNE,CT,F861,ISNE,ISNE
7716,Groton Dept of Utilities - (CT),ISNE,CT,F860,ISNE,ISNE
9734,City of Jewett City - (CT),ISNE,CT,F860,ISNE,ISNE
13573,Niagara Mohawk Power Corp.,ISNE,CT,F860,ISNE,ISNE
13831,City of Norwich - (CT),ISNE,CT,F861,ISNE,ISNE
19497,United Illuminating Co,ISNE,CT,F861,ISNE,ISNE
20038,Town of Wallingford - (CT),ISNE,CT,F861,ISNE,ISNE
