Year,1_New_England,2_Middle_Atlantic,3_East_North_Central,4_West_North_Central,5_South_Atlantic,6_East_South_Central,7_West_South_Central,8_Mountain,9_Pacific
1990,0,0,0.032094,0.027746,0,0,0.94016,0,0
1991,0,0,0.032094,0.027746,0,0,0.94016,0,0
1992,0,0,0.032094,0.027746,0,0,0.94016,0,0
1993,0,0,0.032094,0.027746,0,0,0.94016,0,0
1994,0,0,0.032094,0.027746,0,0,0.94016,0,0
1995,0,0,0.032094,0.027746,0,0,0.94016,0,0
1996,0,0,0.032094,0.027746,0,0,0.94016,0,0
1997,0,0,0.032094,0.027746,0,0,0.94016,0,0
1998,0,0,0.032094,0.027746,0,0,0.94016,0,0
1999,0,0,0.032094,0.027746,0,0,0.94016,0,0
2000,0,0,0.032094,0.027746,0,0,0.94016,0,0
2001,0,0,0.032094,0.027746,0,0,0.94016,0,0
2002,0,0,0.032094,0.027746,0,0,0.94016,0,0
2003,0,0,0.032094,0.027746,0,0,0.94016,0,0
2004,0,0,0.032094,0.027746,0,0,0.94016,0,0
2005,0,0,0.032094,0.027746,0,0,0.94016,0,0
2006,0,0,0.032094,0.027746,0,0,0.94016,0,0
2007,0,0,0.032094,0.027746,0,0,0.94016,0,0
2008,0,0,0.032094,0.027746,0,0,0.94016,0,0
2009,0,0,0.032094,0.027746,0,0,0.94016,0,0
2010,0,0,0.032094,0.027746,0,0,0.94016,0,0
2011,0,0,0.029589,0.02558,0,0,0.944831,0,0
2012,0,0,0.029526,0.019145,0,0,0.951329,0,0
2013,0,0,0.021143,0.024874,0,0.001026,0.952957,0,0
2014,0,0,0.029164,0.023775,0,0.015307,0.931753,0,0
2015,0,0,0.028268,0.023045,0,0.015982,0.932705,0,0
2016,0,0,0.026867,0.021903,0,0.013291,0.937939,0,0
2017,0,0,0.024484,0.01996,0,0.014142,0.941415,0,0
2018,0,0,0.020527,0.016734,0,0.013433,0.949306,0,0
2019,0,0,0.019753,0.016103,0,0.012926,0.951219,0,0
2020,0,0,0.017673,0.014407,0,0.011565,0.956354,0,0
2021,0,0,0.017174,0.014,0,0.011238,0.957588,0,0
2022,0,0.019203,0.014575,0.011882,0,0.009538,0.944802,0,0
2023,0,0.044037,0.013927,0.011353,0,0.009113,0.92157,0,0
2024,0,0.043836,0.013863,0.011301,0,0.009072,0.921928,0,0
2025,0,0.041631,0.013166,0.010733,0,0.008615,0.925856,0,0
2026,0,0.039637,0.028018,0.010219,0,0.008203,0.913924,0,0
2027,0,0.038186,0.047876,0.009845,0,0.007903,0.896191,0,0
2028,0,0.037647,0.0472,0.009706,0,0.007791,0.897656,0,0
