year,         industry,ind,census,    fuel,fuel#,      capacity,    generation, elec fuel use,       thermal,cap fact,incr. heatrt,grid share,
1990,"       Ind 1-21", 98, 11,"all fl",   11,     17538800., 107086872741.,   1155445204.,   1484881982., 0.6970,   10790.,0.2191,
1991,"       Ind 1-21", 98, 11,"all fl",   11,     18033760., 108372616006.,   1164950935.,   1440836507., 0.6860,   10749.,0.1766,
1992,"       Ind 1-21", 98, 11,"all fl",   11,     18340640., 116021383674.,   1223744368.,   1515839620., 0.7221,   10548.,0.1733,
1993,"       Ind 1-21", 98, 11,"all fl",   11,     18960540., 118961814424.,   1226240381.,   1531994140., 0.7162,   10308.,0.1945,
1994,"       Ind 1-21", 98, 11,"all fl",   11,     20001330., 123864456269.,   1290244117.,   1633677263., 0.7069,   10417.,0.1850,
1995,"       Ind 1-21", 98, 11,"all fl",   11,     20076640., 122420825969.,   1310700438.,   1638633252., 0.6961,   10707.,0.1520,
1996,"       Ind 1-21", 98, 11,"all fl",   11,     20325960., 121080010454.,   1357999577.,   1645256781., 0.6800,   11216.,0.1363,
1997,"       Ind 1-21", 98, 11,"all fl",   11,     20782700., 124223950866.,   1304864557.,   1657765310., 0.6823,   10504.,0.1606,
1998,"       Ind 1-21", 98, 11,"all fl",   11,     20697260., 124255346962.,   1264718839.,   1671317414., 0.6853,   10178.,0.1309,
1999,"       Ind 1-21", 98, 11,"all fl",   11,     21058920., 126517186371.,   1307731731.,   1661836817., 0.6858,   10336.,0.1253,
2000,"       Ind 1-21", 98, 11,"all fl",   11,     20499680., 127538969726.,   1308390630.,   1662470878., 0.7102,   10259.,0.1414,
2001,"       Ind 1-21", 98, 11,"all fl",   11,     20899870., 120402102176.,   1228090699.,   1573442054., 0.6576,   10200.,0.1414,
2002,"       Ind 1-21", 98, 11,"all fl",   11,     20250110., 119993170469.,   1233284895.,   1626665920., 0.6764,   10278.,0.1414,
2003,"       Ind 1-21", 98, 11,"all fl",   11,     23099370., 126146740523.,   1279561264.,   1643676643., 0.6234,   10143.,0.1414,
2004,"       Ind 1-21", 98, 11,"all fl",   11,     21167920., 122521585764.,    948576367.,   1318619859., 0.6630,    7742.,0.0598,
2005,"       Ind 1-21", 98, 11,"all fl",   11,     21221240., 115976455706.,    875107150.,   1292847771., 0.6302,    7546.,0.2936,
2006,"       Ind 1-21", 98, 11,"all fl",   11,     22153180., 118137500343.,    862765712.,   1325956366., 0.6126,    7303.,0.1931,
2007,"       Ind 1-21", 98, 11,"all fl",   11,     21475200., 113667126519.,    836349473.,   1237430098., 0.6171,    7358.,0.2301,
2008,"       Ind 1-21", 98, 11,"all fl",   11,     20894500., 108699553728.,    795707483.,   1099717807., 0.6038,    7320.,0.1994,
2009,"       Ind 1-21", 98, 11,"all fl",   11,     20497600., 103433210829.,    754702186.,   1003870292., 0.5811,    7297.,0.1751,
2010,"       Ind 1-21", 98, 11,"all fl",   11,     20851100., 111247201029.,    834042063.,   1071441636., 0.6170,    7497.,0.1968,
2011,"       Ind 1-21", 98, 11,"all fl",   11,     20736300., 111770346205.,    854583130.,   1078601520., 0.6206,    7646.,0.2082,
2012,"       Ind 1-21", 98, 11,"all fl",   11,     22051300., 111724183968.,    926253225.,   1101168865., 0.5813,    8291.,0.2121,
2013,"       Ind 1-21", 98, 11,"all fl",   11,     21314267., 114931182738.,    915321242.,   1092858114., 0.6218,    7964.,0.1940,
2014,"       Ind 1-21", 98, 11,"all fl",   11,     21566000., 109776134748.,    874893902.,   1089603255., 0.5925,    7970.,0.2036,
2015,"       Ind 1-21", 98, 11,"all fl",   11,     21606200., 110910073274.,    840252912.,   1109714324., 0.5972,    7576.,0.2031,
2016,"       Ind 1-21", 98, 11,"all fl",   11,     21694067., 111892024071.,    699414236.,   1280457528., 0.6056,    6251.,0.2265,
2017,"       Ind 1-21", 98, 11,"all fl",   11,     21154475., 109945738930.,    691999114.,   1292996473., 0.5996,    6294.,0.2093,
2018,"       Ind 1-21", 98, 11,"all fl",   11,     21135183., 113173633817.,    718206553.,   1278110626., 0.6184,    6346.,0.2245,
2019,"       Ind 1-21", 98, 11,"all fl",   11,     21667058., 113588361506.,    740261439.,   1219360632., 0.6222,    6517.,0.2247,
2020,"       Ind 1-21", 98, 11,"all fl",   11,     20985200., 109281769992.,    726987701.,   1193536134., 0.6005,    6652.,0.2411,
2021,"       Ind 1-21", 98, 11,"all fl",   11,     20918400., 107028279036.,    680773265.,   1219023061., 0.5953,    6361.,0.2133,
1990,"       Ind 1-21", 98, 11,"biomas",    7,      3794790.,  25379197984.,    334745464.,    632091199., 0.7635,   13190.,0.2191,
1991,"       Ind 1-21", 98, 11,"biomas",    7,      4183290.,  25863150919.,    318463849.,    606105149., 0.7058,   12313.,0.1766,
1992,"       Ind 1-21", 98, 11,"biomas",    7,      4211880.,  27915722138.,    359490046.,    640997070., 0.7566,   12878.,0.1733,
1993,"       Ind 1-21", 98, 11,"biomas",    7,      4440640.,  28357816665.,    354545298.,    652557748., 0.7290,   12503.,0.1945,
1994,"       Ind 1-21", 98, 11,"biomas",    7,      4550400.,  28650377513.,    363619138.,    707297799., 0.7187,   12692.,0.1850,
1995,"       Ind 1-21", 98, 11,"biomas",    7,      4496960.,  28868463410.,    372752156.,    705848224., 0.7328,   12912.,0.1520,
1996,"       Ind 1-21", 98, 11,"biomas",    7,      4523800.,  28354497786.,    394406103.,    684032361., 0.7155,   13910.,0.1363,
1997,"       Ind 1-21", 98, 11,"biomas",    7,      4527670.,  28225019294.,    366978633.,    713263687., 0.7116,   13002.,0.1606,
1998,"       Ind 1-21", 98, 11,"biomas",    7,      4531380.,  27692538412.,    349362826.,    689236609., 0.6976,   12616.,0.1309,
1999,"       Ind 1-21", 98, 11,"biomas",    7,      4526300.,  28060357576.,    364498520.,    679043273., 0.7077,   12990.,0.1253,
2000,"       Ind 1-21", 98, 11,"biomas",    7,      4495550.,  28651834605.,    369228321.,    700005981., 0.7276,   12887.,0.1414,
2001,"       Ind 1-21", 98, 11,"biomas",    7,      4576380.,  26888490250.,    347630151.,    651796272., 0.6707,   12929.,0.1414,
2002,"       Ind 1-21", 98, 11,"biomas",    7,      4382210.,  28910032113.,    369792775.,    706742743., 0.7531,   12791.,0.1414,
2003,"       Ind 1-21", 98, 11,"biomas",    7,      4777810.,  27988370820.,    359877782.,    686561453., 0.6687,   12858.,0.1414,
