Year,NGAS_AER,LPG_AER,ETH_AER,PROPANE_AER,PROPYLENE_AER,NBUT_AER,IBUT_AER,NATURAL_GASOLINE_AER,NAPH_AER
1990,476.0,1475.7,510.9,380.9,147.2,158.5,27.6,250.5,1028.6
1991,515.9,1650.9,570.9,413.7,174.6,146.4,50.8,294.6,1044.0
1992,533.6,1725.7,577.5,417.3,190.8,163.5,52.4,324.2,1110.2
1993,544.3,1672.9,596.3,363.1,186.7,122.3,71.1,333.5,1111.0
1994,589.3,1881.5,600.3,453.0,199.3,185.7,103.0,340.3,1153.1
1995,610.6,1898.7,625.7,452.8,220.0,163.0,98.6,338.6,1095.7
1996,630.5,1972.1,688.6,426.6,220.7,163.5,116.4,356.5,1137.1
1997,639.3,2001.2,679.6,427.6,287.2,141.9,134.9,330.1,1312.1
1998,663.6,1980.5,653.2,503.1,266.4,129.8,133.4,294.6,1321.7
1999,638.0,2190.2,739.5,484.0,291.2,172.1,137.8,365.7,1233.6
2000,645.0,2120.8,781.2,358.0,314.5,175.6,146.9,344.6,1263.9
2001,591.1,1875.1,698.9,317.1,294.0,169.1,132.0,264.1,1091.8
2002,586.5,1957.8,729.3,404.1,326.1,157.0,116.0,225.2,1151.2
2003,569.7,1875.9,666.4,369.5,332.7,182.6,103.0,221.8,1243.2
2004,575.1,1942.5,707.9,427.6,357.7,181.6,43.6,224.1,1452.1
2005,535.5,1805.7,663.3,403.2,340.8,158.5,43.5,196.4,1337.0
