7,Food,1,2.89,3.66,3.6,1.04,0.33,0.68,0.33,0.12,0,0.01,0.02,0
,,2,7.6,9.64,13.73,3.97,0.88,2.59,0.88,0.59,0,0.03,0.04,0
,,3,10.59,13.44,27.53,7.97,1.22,5.19,1.22,0.75,0,0.05,0.06,0
,,4,4.93,6.26,8.13,2.35,0.57,1.53,0.57,0.43,0,0.02,0.03,0
*,,,,,,,,,,,,,,
8,Paper,1,1,1.11,1.22,0,0.33,0.14,0.11,0.13,0.03,0.41,0.01,0
,,2,2.63,2.92,4.66,0,0.88,0.52,0.29,0.62,0.11,1.55,0.03,0
,,3,3.66,4.07,9.35,0,1.22,1.04,0.41,0.79,1.83,3.12,0.04,0
,,4,1.71,1.9,2.76,0,0.57,0.31,0.19,0.45,0.03,0.92,0.02,0
*,,,,,,,,,,,,,,
9,BulkChem,1,1.12,1.91,1.37,0,0.23,0.48,0.01,0.07,0,0.01,0.01,0.14
,,2,2.96,5.03,5.22,0,0.62,1.84,0.03,0.34,0.01,0.03,0.03,0.54
,,3,4.12,7,10.46,0,0.86,3.7,0.04,0.43,0.1,0.06,0.05,1.08
,,4,1.92,3.26,3.09,0,0.4,1.09,0.02,0.25,0,0.02,0.02,0.32
*,,,,,,,,,,,,,,
10,Glass,1,0.23,0.34,0.34,0,0.01,0,0.01,0.01,0,0,0,0.01
,,2,0.61,0.91,1.3,0,0.02,0.02,0.02,0.03,0,0.02,0,0.04
,,3,0.86,1.26,2.6,0,0.03,0.03,0.02,0.04,0.06,0.03,0,0.08
,,4,0.4,0.59,0.77,0,0.01,0.01,0.01,0.02,0,0.01,0,0.02
*,,,,,,,,,,,,,,
11,Cement/Lime,1,0.12,0.12,0.01,0,0,0,0,0.13,0,0,0,0
,,2,0.31,0.32,0.05,0,0.01,0.01,0.01,0.62,0,0,0,0
,,3,0.43,0.45,0.1,0,0.01,0.02,0.01,0.79,0,0,0,0
,,4,0.2,0.21,0.03,0,0.01,0.01,0.01,0.45,0,0,0,0
*,,,,,,,,,,,,,,
12,Steel,1,0.79,0.68,1.23,0,0.13,0.08,0.02,0.28,0,0,0.03,0.14
,,2,2.07,1.78,4.69,0,0.35,0.31,0.04,1.3,0.01,0.02,0.07,0.54
,,3,2.89,2.48,9.4,0,0.49,0.62,0.06,1.67,0.14,0.03,0.1,1.09
,,4,1.35,1.16,2.78,0,0.23,0.18,0.03,0.95,0,0.01,0.05,0.32
*,,,,,,,,,,,,,,
13,Aluminum,1,0.33,0.22,0.54,0,0,0.07,0.01,0.07,0,0,0.11,0
,,2,0.88,0.58,2.07,0,0,0.26,0.01,0.31,0,0.01,0.29,0
,,3,1.22,0.81,4.16,0,0,0.52,0.02,0.4,0.05,0.02,0.41,0
,,4,0.57,0.38,1.23,0,0,0.15,0.01,0.23,0,0.01,0.19,0
*,,,,,,,,,,,,,,
14,FabMetal,1,1.44,1.89,2.11,0.53,0.33,0.14,0.11,0,0.03,0.01,0.01,0
,,2,3.8,4.97,8.03,2,0.88,0.52,0.29,0,0.11,0.03,0.03,0
,,3,5.29,6.92,16.1,4.01,1.22,1.04,0.41,0,1.83,0.05,0.04,0
,,4,2.46,3.22,4.76,1.19,0.57,0.31,0.19,0,0.03,0.02,0.02,0
*,,,,,,,,,,,,,,
15,Machinery,1,1,1.44,1.7,0.3,0.33,0.07,0.11,0.05,0,0.01,0.01,0
,,2,2.63,3.8,6.48,1.14,0.88,0.26,0.29,0.22,0,0.03,0.03,0
