year,         industry,ind,census,    fuel,fuel#,      capacity,    generation, elec fuel use,       thermal,cap fact,incr. heatrt,grid share,
2025,"BOM-Other      ", 21,  2,"n.gas ",    3,        36000.,    152697312.,       943364.,       755077., 0.4842,    6178.,0.0003,
2024,"BOM-Other      ", 21,  5,"sol PV",    8,         1600.,      2827027.,         9646.,         4823., 0.2017,    3412.,0.0042,
2024,"BOM-Other      ", 21,  5,"sol PV",    8,         1600.,      2827027.,         9646.,         4823., 0.2017,    3412.,0.0042,
2024,"Bulk Chemicals ",  9,  5,"n.gas ",    3,         2000.,      8533992.,        77301.,         2912., 0.4871,    9058.,0.0515,
2024,"Bulk Chemicals ",  9,  5,"n.gas ",    3,         2000.,      8533992.,        77301.,         2912., 0.4871,    9058.,0.0515,
2024,"Bulk Chemicals ",  9,  7,"n.gas ",    3,        48900.,    201759444.,       264507.,        68840., 0.4710,    1311.,0.2579,
2024,"Bulk Chemicals ",  9,  7,"n.gas ",    3,        48900.,    201759444.,       264507.,        68840., 0.4710,    1311.,0.2579,
2030,"Bulk Chemicals ",  9,  7,"n.gas ",    3,        42000.,    279950328.,      1507812.,      1705697., 0.7609,    5386.,0.2579,
2030,"Bulk Chemicals ",  9,  7,"n.gas ",    3,        25000.,    108207900.,       760918.,      1605241., 0.4941,    7032.,0.2579,
2025,"Bulk Chemicals ",  9,  7,"othgas",    9,        11700.,     67644720.,       859088.,       115402., 0.6600,   12700.,0.2579,
2025,"Bulk Chemicals ",  9,  7,"othgas",    9,        11700.,     67644720.,       859088.,       115402., 0.6600,   12700.,0.2579,
2024,"Bulk Chemicals ",  9,  3,"sol PV",    8,         1300.,      2259379.,         7709.,         3855., 0.1984,    3412.,0.2483,
2024,"Bulk Chemicals ",  9,  3,"sol PV",    8,          400.,       695194.,         2372.,         1186., 0.1984,    3412.,0.2483,
2024,"Bulk Chemicals ",  9,  3,"sol PV",    8,          400.,       695194.,         2372.,         1186., 0.1984,    3412.,0.2483,
2026,"Bulk Chemicals ",  9,  9,"other ",   10,        50000.,    289080000.,      3671316.,       493170., 0.6600,   12700.,0.2483,
2025,"Cement         ", 11,  9,"othgas",    9,        20100.,    116210160.,      1475869.,       198255., 0.6600,   12700.,0.0845,
2026,"Commercial     ", 23,  1,"n.gas ",    3,         5400.,     31220640.,       396502.,        53262., 0.6600,   12700.,0.1980,
2026,"Commercial     ", 23,  1,"n.gas ",    3,         6000.,     28724040.,       196329.,       124059., 0.5465,    6835.,0.1980,
2024,"Commercial     ", 23,  2,"n.gas ",    3,         2600.,      2831057.,        22244.,         8473., 0.1243,    7857.,0.6972,
2024,"Commercial     ", 23,  2,"oil   ",    2,         2500.,      1095000.,        10409.,         2942., 0.0500,    9506.,0.6972,
2028,"Commercial     ", 23,  2,"oil   ",    2,         3900.,      1708200.,        16238.,         4589., 0.0500,    9506.,0.6972,
2028,"Commercial     ", 23,  2,"oil   ",    2,         3900.,      1708200.,        16238.,         4589., 0.0500,    9506.,0.6972,
2025,"Commercial     ", 23,  3,"n.gas ",    3,         4100.,      4464359.,        35076.,        13362., 0.1243,    7857.,0.1504,
2025,"Commercial     ", 23,  3,"n.gas ",    3,         4100.,      4464359.,        35076.,        13362., 0.1243,    7857.,0.1504,
2027,"Commercial     ", 23,  4,"n.gas ",    3,         7300.,     36117830.,       202982.,       164312., 0.5648,    5620.,0.0760,
2025,"Commercial     ", 23,  4,"n.gas ",    3,         2400.,      2613283.,        20533.,         7822., 0.1243,    7857.,0.0760,
2025,"Commercial     ", 23,  4,"n.gas ",    3,         2400.,      2613283.,        20533.,         7822., 0.1243,    7857.,0.0760,
2024,"Commercial     ", 23,  4,"n.gas ",    3,         8000.,     14723808.,       113094.,       295515., 0.2101,    7681.,0.0760,
2027,"Commercial     ", 23,  4,"oil   ",    2,         3400.,      1489200.,        14156.,         4001., 0.0500,    9506.,0.0760,
2027,"Commercial     ", 23,  4,"oil   ",    2,         3400.,      1489200.,        14156.,         4001., 0.0500,    9506.,0.0760,
2027,"Commercial     ", 23,  4,"oil   ",    2,         3400.,      1489200.,        14156.,         4001., 0.0500,    9506.,0.0760,
2027,"Commercial     ", 23,  4,"oil   ",    2,         3400.,      1489200.,        14156.,         4001., 0.0500,    9506.,0.0760,
2027,"Commercial     ", 23,  4,"oil   ",    2,         3400.,      1489200.,        14156.,         4001., 0.0500,    9506.,0.0760,
2028,"Commercial     ", 23,  4,"oil   ",    2,         3100.,      1357800.,        12907.,         3648., 0.0500,    9506.,0.0760,
2025,"Commercial     ", 23,  7,"n.gas ",    3,         5000.,     11085780.,        51405.,       130430., 0.2531,    4637.,0.2175,
2024,"Commercial     ", 23,  7,"n.gas ",    3,        50000.,    239367000.,      1636073.,      1033823., 0.5465,    6835.,0.2175,
2024,"Commercial     ", 23,  7,"other ",   10,        10000.,      4380000.,        55626.,         7472., 0.0500,   12700.,0.2175,
2024,"Commercial     ", 23,  9,"oil   ",    2,         3000.,      1314000.,        12491.,         3530., 0.0500,    9506.,0.3195,
2024,"Commercial     ", 23,  9,"other ",   10,          500.,       219000.,         2781.,          374., 0.0500,   12700.,0.3195,
2026,"Commercial     ", 23,  9,"othgas",    9,         1600.,      6280570.,        61638.,         5986., 0.4481,    9814.,0.3195,
2026,"Commercial     ", 23,  9,"othgas",    9,         1600.,      6280570.,        61638.,         5986., 0.4481,    9814.,0.3195,
2026,"Commercial     ", 23,  9,"othgas",    9,         1600.,      6280570.,        61638.,         5986., 0.4481,    9814.,0.3195,
2026,"Commercial     ", 23,  9,"othgas",    9,         1600.,      6280570.,        61638.,         5986., 0.4481,    9814.,0.3195,
2024,"Commercial     ", 23,  9,"sol PV",    8,          700.,      1285267.,         4385.,         2193., 0.2096,    3412.,0.3195,
2024,"Commercial     ", 23,  9,"sol PV",    8,         1300.,      2386925.,         8144.,         4072., 0.2096,    3412.,0.3195,
2024,"Commercial     ", 23,  9,"sol PV",    8,         5000.,      9180480.,        31324.,        15662., 0.2096,    3412.,0.3195,
2024,"Food           ",  7,  2,"n.gas ",    3,         2500.,      1095000.,        10995.,          374., 0.0500,   10041.,0.0205,
2024,"Food           ",  7,  2,"n.gas ",    3,         1000.,       438000.,         4398.,          149., 0.0500,   10041.,0.0205,
2024,"Food           ",  7,  2,"n.gas ",    3,         2000.,       876000.,         8796.,          299., 0.0500,   10041.,0.0205,
2024,"Food           ",  7,  8,"sol PV",    8,         2300.,      3308302.,        11288.,         5644., 0.1642,    3412.,0.0205,
2025,"Food           ",  7,  8,"sol PV",    8,        11500.,     16541508.,        56440.,        28220., 0.1642,    3412.,0.0205,
2024,"Oil Refining   ", 22,  7,"n.gas ",    3,         4600.,     28110490.,       285912.,       228364., 0.6976,   10171.,0.2799,
2024,"Oil Refining   ", 22,  8,"n.gas ",    3,         2200.,       963600.,         6093.,         7147., 0.0500,    6323.,0.2441,
2024,"Paper          ",  8,  5,"n.gas ",    3,        40000.,    315360000.,      1921488.,      6725052., 0.9000,    6093.,0.0046,
2024,"Transport Equip", 17,  7,"sol PV",    8,         1000.,      1567164.,         5347.,         2674., 0.1789,    3412.,0.2256,
