Year,1_New_England,2_Middle_Atlantic,3_East_North_Central,4_West_North_Central,5_South_Atlantic,6_East_South_Central,7_West_South_Central,8_Mountain,9_Pacific
1990,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
1991,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
1992,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
1993,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
1994,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
1995,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
1996,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
1997,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
1998,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
1999,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
2000,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
2001,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
2002,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
2003,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
2004,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
2005,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
2006,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
2007,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
2008,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
2009,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
2010,0,0,0.021024,0.018247,0,0.105521,0.855208,0,0
2011,0,0,0.019492,0.016918,0,0.097832,0.865758,0,0
2012,0,0,0.014767,0.009613,0,0.074117,0.901504,0,0
2013,0,0,0.010133,0.011981,0,0.033904,0.943983,0,0
2014,0,0,0.0232,0.017893,0,0,0.958907,0,0
2015,0,0,0.01925,0.014847,0,0,0.965903,0,0
2016,0,0,0.020099,0.015501,0,0,0.964401,0,0
2017,0,0,0.022554,0.017395,0,0,0.960051,0,0
2018,0,0,0.023642,0.018234,0,0,0.958124,0,0
2019,0,0,0.025041,0.019312,0,0,0.955647,0,0
2020,0,0,0.028765,0.022184,0,0,0.949051,0,0
2021,0,0,0.030149,0.023252,0,0,0.9466,0,0
2022,0,0,0.022811,0.017592,0,0,0.959597,0,0
2023,0,0,0.024873,0.019183,0,0,0.955943,0,0
2024,0,0,0.024873,0.019183,0,0,0.955943,0,0
2025,0,0,0.024873,0.019183,0,0,0.955943,0,0
2026,0,0,0.024873,0.019183,0,0,0.955943,0,0
