!Resid             Play     ITEM  COUNTER
@
UOWA2017110        405       1       1
UOCA2069610       1101       3       3
UOCA2069910       1102       4       4
UOCA2070110       1103       5       5
UOCA2070510       1104       6       6
UOCA2070710       1105       7       7
UOCA2071510       1106       8       8
UOCA2071910       1107       9       9
UOCA2072110       1109      10      10
UOCA2072710       1202      12      12
UOCA2073110       1204      13      13
UOCA2073710       1211      14      14
UOCA2074510       1301      15      15
UOCA2076410       1302      16      16
UOCA2077610       1311      17      17
UOCA2079410       1312      18      18
UOCA2080510       1401      19      19
UOCA2081110       1402      20      20
UOCA2082110       1403      21      21
UOCA2082810       1404      22      22
UOCA2083210       1405      23      23
UOCA2083710       1406      24      24
UOCA2084010       1407      25      25
UONV2087010       1901      26      26
UONV2087810       1903      27      27
UOUT2089010   99943020      28      28
UONM2129210       2102      29      29
UOUT2133610       2106      30      30
UONM2146910   99930022      31      31
UOCO2164610       2305      32      32
UOAZ2164810       2402      33      33
UOAZ2165610       2404      34      34
UOMT2177110       2802      35      35
UOMT2177310       2803      36      36
UOMT2177710       2805      37      37
UOMT2178110       2806      38      38
UOMT2178510       2807      39      39
UOMT2227810       2906      40      40
UOMT2228310       2910      41      41
UOND2237810       3101      42      42
UOND2242110       3106      43      43
UOMT2284210   99925033      44      44
UOWY2284410   99949033      45      45
UOWY2321210       3401      46      46
UOWY2323110       3405      47      47
UOWY2323510       3406      48      48
UOWY2323910       3407      49      49
UOWY2324910       3501      50      50
UOWY2328010       3506      51      51
UOWY2335710   99949036      52      52
UOUT2335910   99943036      53      53
UOCO2356010   99905037      54      54
UOCO2418410       3801      55      55
UOCO2418610       3802      56      56
UONE2418910   99926039      57      57
UOCO2419110   99905039      58      58
UOWY2419110   99949039      59      59
UOSD2419110   99940039      60      60
UOCO2488010       4001      61      61
UOCO2489410       4005      62      62
UOTX2490610       4301      63      63
UOTX2493010       4402      64      64
UOTX2494510       4403      65      65
UOTX2497410       4405      66      66
UOTX2498910       4406      67      67
UOTX2500910       4408      68      68
UOTX2501310       4409      69      69
UOTX2504610       4411      70      70
UOTX2533510   99942045      71      71
UOOK2533610   99935045      72      72
UOTX2549010       4708      73      73
UOTX2553810       4715      74      74
UOTX2554610       4716      75      75
UOTX2568910       4728      76      76
UOLA2574110       4735      77      77
UOLA2582810       4743      78      78
UOLA2583810       4744      79      79
UOTX2621510       4902      80      80
UOMS2624610       4905      81      81
UOAL2625710       4906      82      82
UOAL2628510       4911      83      83
UOAR2632510       4917      84      84
UOAL2634010       4919      85      85
UOMS2635610       4921      86      86
UOMS2637310       4925      87      87
UOMS2639210       4928      88      88
UOTX2640010       4930      89      89
UOMS2641410       4932      90      90
UOMS2642810       4934      91      91
UOTX2643910       4936      92      92
UOMS2644410       4937      93      93
UOLA2645410       4938      94      94
UOTX2646810       4942      95      95
UOMS2647310       4943      96      96
UOMS2647710       4945      97      97
UOFL2660510   99909050      98      98
UONE2663510       5305      99      99
UOKS2663810       5309     100     100
UOKS2664910       5503     101     101
UOKS2665310       5504     102     102
UOKS2665910       5505     103     103
UOKS2666110       5507     104     104
UOMO2666310       5601     105     105
UOOK2679110       5810     106     106
UOTX2690610       5827     107     107
UOKS2691610       5901     108     108
UOOK2693610       6003     109     109
UOOK2693710       6004     110     110
UOOK2694110       6005     111     111
UOOK2694510       6007     112     112
UOOK2695510       6102     113     113
UOOK2696110       6103     114     114
UOOK2697010       6105     115     115
UOOK2698210       6109     116     116
UOOK2698510       6110     117     117
UOOK2699210       6201     118     118
UOMI2701810       6301     119     119
UOMI2702210       6304     120     120
UOMI2702610       6306     121     121
UOMI2703210       6307     122     122
UOMI2705710       6309     123     123
UOMI2707110       6310     124     124
UOMI2707810       6311     125     125
UOMI2708910       6313     126     126
UOIL2731010       6401     127     127
UOIL2731410       6402     128     128
