Resid	Play	RRC	Reg	Depth	API	Oilvisc	Gasgrav	GOR	NGL	NGPLET	NGPLPR	NGPLBU	NGPLIS	NGPLPP	HeatVal	CO2cont	H2Scont	N2cont	Sulfur	Patsize	Noilwell	Ngaswell	Ninjwell	Latnum	Latlen	PHI	Pay	PERM	SOI	SOC	SOR	SWI	BOI	VDP	OOIP	flag	acres	Resacc	PROV	Totprod	Totinj	Totconv	Totps	Totpat	lyroil	lyrgas	numacc	OP1	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	OP10	OP11	OP12	OP13	OP14	OP15	OP16	OP17	OP18	OP19	OP20	OP21	OP22	OP23	OP24	OP25	OP26	OP27	OP28	OP29	OP30	OP31	OP32	OP33	OP34	OP35	OP36	OP37	OP38	OP39	OP40	GP1	GP2	GP3	GP4	GP5	GP6	GP7	GP8	GP9	GP10	GP11	GP12	GP13	GP14	GP15	GP16	GP17	GP18	GP19	GP20	GP21	GP22	GP23	GP24	GP25	GP26	GP27	GP28	GP29	GP30	GP31	GP32	GP33	GP34	GP35	GP36	GP37	GP38	GP39	GP40	CO1	CO2	CO3	CO4	CO5	CO6	CO7	CO8	CO9	CO10	CO11	CO12	CO13	CO14	CO15	CO16	CO17	CO18	CO19	CO20	CO21	CO22	CO23	CO24	CO25	CO26	CO27	CO28	CO29	CO30	CO31	CO32	CO33	CO34	CO35	CO36	CO37	CO38	CO39	CO40	WP1	WP2	WP3	WP4	WP5	WP6	WP7	WP8	WP9	WP10	WP11	WP12	WP13	WP14	WP15	WP16	WP17	WP18	WP19	WP20	WP21	WP22	WP23	WP24	WP25	WP26	WP27	WP28	WP29	WP30	WP31	WP32	WP33	WP34	WP35	WP36	WP37	WP38	WP39	WP40	WI1	WI2	WI3	WI4	WI5	WI6	WI7	WI8	WI9	WI10	WI11	WI12	WI13	WI14	WI15	WI16	WI17	WI18	WI19	WI20	WI21	WI22	WI23	WI24	WI25	WI26	WI27	WI28	WI29	WI30	WI31	WI32	WI33	WI34	WI35	WI36	WI37	WI38	WI39	WI40	II1	II2	II3	II4	II5	II6	II7	II8	II9	II10	II11	II12	II13	II14	II15	II16	II17	II18	II19	II20	II21	II22	II23	II24	II25	II26	II27	II28	II29	II30	II31	II32	II33	II34	II35	II36	II37	II38	II39	II40	decline factor
DGPA6799914	6761	-1	1	6750	52	0	0	0	20	0.418	0.41	0.005	0.075	0.091	0	0	0	0	0	80	0	0	0	0.3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	979008	9	67	1	0	0	0	12235.2	0	5539954.864	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5434695.721	5331436.502	5230139.209	5313266.564	5394814.499	5292313.024	5191759.076	5093115.654	4996346.456	4901415.874	4808288.972	4716931.482	4627309.784	4539390.898	4453142.471	4368532.764	4285530.641	4204105.559	4124227.553	4045867.230	3968995.752	3893584.833	3819606.721	3747034.194	3675840.544	3605999.574	3537485.582	3470273.356	3404338.162	3339655.737	3276202.278	3213954.435	3152889.300	3092984.404	3034217.700	2976567.564	2920012.780	2864532.537	2810106.419	2756714.397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.981
DGOH6799914	6790	-1	1	7750	52	0	0	0	5	0.399	0.35	0.005	0.205	0.041	0	0	0	0	0	80	0	0	0	0.3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	979008	9	67	1	0	0	0	12235.2	19759.79661	1941714.959	1	19384.360	19016.058	18654.753	18300.312	17952.606	17611.507	17276.888	16948.627	16626.603	16310.698	16000.795	15696.780	15398.541	15105.968	14818.955	14537.395	14261.184	13990.222	13724.408	13463.644	13207.835	12956.886	12710.705	12469.202	12232.287	11999.873	11771.876	11548.210	11328.794	11113.547	10902.390	10695.244	10492.035	10292.686	10097.125	9905.280	9717.079	9532.455	9351.338	9173.663	1904822.375	1868630.750	1833126.765	1798297.357	1764129.707	1730611.243	1697729.629	1665472.766	1633828.784	1602786.037	1572333.102	1542458.773	1513152.056	1484402.167	1456198.526	1428530.754	1401388.670	1374762.285	1348641.802	1323017.607	1297880.273	1273220.548	1249029.357	1225297.799	1202017.141	1179178.816	1156774.418	1134795.704	1113234.586	1092083.129	1071333.549	1050978.212	1031009.626	1011420.443	992203.454	973351.589	954857.909	936715.608	918918.012	901458.570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.981
DGLA4813815	4774	0	2	11384	44.483	0.001	0.622	0.016	0	0.431	0.284	0.101	0.058	0.126	1028.702	1.142	0	0.288	0.479	183.933	0	9862	0	0	0	18.294	196.949	107.659	2.509	2.509	27.203	25.136	1.307	-0.342	0	4	7557160	9	49	1	0	0	0	9862	1682.786537	1861462.727	0	1615.475	1550.856	1488.822	1429.269	1372.098	1317.214	1264.526	1213.945	1165.387	1118.771	1074.021	1031.060	989.817	950.225	912.216	875.727	840.698	807.070	774.787	743.796	714.044	685.482	658.063	631.740	606.471	582.212	558.923	536.566	515.104	494.500	474.720	455.731	437.502	420.002	403.202	387.073	371.591	356.727	342.458	328.760	3247004.218	3117124.050	2992439.088	2872741.524	2757831.863	2647518.589	2541617.845	2439953.131	2342355.006	2248660.806	2158714.374	2072365.799	1989471.167	1909892.320	1833496.627	1760156.762	1689750.492	1622160.472	1557274.053	1494983.091	1435183.767	1377776.417	1322665.360	1269758.746	1218968.396	1170209.660	1123401.273	1078465.223	1035326.614	993913.549	954157.007	915990.727	879351.098	844177.054	810409.972	777993.573	746873.830	716998.877	688318.922	660786.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161389.641	160223.234	157699.438	156603.156	155527.688	154472.656	53437.68	52065.695	51076.445	50105.988	47625.438	46720.543	45832.855	43360.297	42536.449	41728.262	40935.418	40157.652	39394.652	38646.16	37911.879	37191.555	36484.922	35791.707	35111.66	34444.543	33790.094	33148.082	32518.268	31500.123	30901.623	30314.488	29738.512	28294.438	27756.836	27229.459	26712.111	26204.574	25706.688	25218.252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	1160.217	0.960
DGTX5516615	4762	4	2	7830.315	49.644	0.001	0.668	0.034	35	0.528	0.29	0.008	0.157	0.017	1057.157	1.5	0	0	-0.167	320	0	31	0	0	0	20.029	44.402	248.807	1.442	1.442	30.5	34.978	1.745	0.285	0	4	18480	9	47	1	0	0	0	31	11757.14286	520066.6152	0	28831.429	25948.286	23353.457	21018.111	18916.300	17024.670	15322.203	13789.983	12410.985	11169.886	10052.898	9047.608	8142.847	7328.562	6595.706	5936.135	5342.522	4808.270	4327.443	3894.698	3505.229	3154.706	2839.235	2555.312	2299.781	2069.802	1862.822	1676.540	1508.886	1357.997	1222.198	1099.978	989.980	890.982	801.884	721.695	649.526	584.573	526.116	473.504	468059.954	421253.958	379128.562	341215.706	307094.136	276384.722	248746.250	223871.625	201484.462	181336.016	163202.415	146882.173	132193.956	118974.560	107077.104	96369.394	86732.454	78059.209	70253.288	63227.959	56905.163	51214.647	46093.182	41483.864	37335.478	33601.930	30241.737	27217.563	24495.807	22046.226	19841.604	17857.443	16071.699	14464.529	13018.076	11716.268	10544.642	9490.177	8541.160	7687.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285.445	280.02	274.7	269.481	264.361	259.338	151.244	148.371	145.552	142.786	140.074	137.413	134.802	132.24	129.727	127.262	124.844	122.472	120.146	117.864	115.623	113.426	111.271	109.157	107.084	105.048	103.053	101.095	99.174	97.289	95.441	93.627	91.848	90.104	88.391	86.712	85.065	83.447	81.864	80.307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	8.245	0.900
DGWV5513815	6761	-1	1	6750	47.352	0.001	0.665	0.671	10	0.393	0.363	0.114	0.042	0.087	1075.848	1.7	0	0	-1	320	0	4	0	0	0	11.1	44.401	43.374	24.9	24.9	30.5	35.6	1.245	0.5	0	4	13600	9	64	1	0	0	0	4	6538.4	1142326.791	0	6211.480	5900.906	5605.861	5325.568	5059.289	4806.325	4566.009	4337.708	4120.823	3914.782	3719.043	3533.090	3356.436	3188.614	3029.183	2877.724	2733.838	2597.146	2467.289	2343.924	2226.728	2115.392	2009.622	1909.141	1813.684	1723.000	1636.850	1555.007	1477.257	1403.394	1333.224	1266.563	1203.235	1143.073	1085.920	1031.624	980.042	931.040	884.488	840.264	1085210.451	1030949.928	979402.432	930432.310	883910.695	839715.160	797729.402	757842.932	719950.785	683953.246	649755.584	617267.805	586404.414	557084.194	529229.984	502768.485	477630.061	453748.558	431061.130	409508.073	389032.670	369581.036	351101.984	333546.885	316869.541	301026.064	285974.761	271676.023	258092.221	245187.610	232928.230	221281.818	210217.727	199706.841	189721.499	180235.424	171223.653	162662.470	154529.347	146802.879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.950
DGLA4834715	4773	0	2	10016	52.685	0.001	0.694	0.059	0	0.431	0.284	0.101	0.058	0.126	1130.937	1.311	0	0	-0.711	199.493	0	25	0	0	0	14.635	53.909	99.041	6.979	6.979	25.21	34.374	2.303	0.13	0	4	18360	9	49	1	0	0	0	25	66.59583951	957300.2168	0	60.469	54.906	49.855	45.268	41.103	37.322	33.888	30.770	27.940	25.369	23.035	20.916	18.992	17.244	15.658	14.217	12.909	11.722	10.643	9.664	8.775	7.968	7.235	6.569	5.965	5.416	4.918	4.465	4.054	3.681	3.343	3.035	2.756	2.502	2.272	2.063	1.873	1.701	1.545	1.402	869228.597	789259.566	716647.686	650716.099	590850.218	536491.998	487134.734	442318.338	401625.051	364675.547	331125.396	300661.860	273000.969	247884.880	225079.471	204372.159	185569.921	168497.488	152995.719	138920.113	126139.463	114534.632	103997.446	94429.681	85742.150	77853.872	70691.316	64187.715	58282.445	52920.460	48051.778	43631.014	39616.961	35972.201	32662.758	29657.784	26929.268	24451.776	22202.212	20159.609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2829.993	2776.223	2723.475	2671.73	2620.966	2571.168	2522.315	2377.651	2332.476	2288.159	2244.684	2202.035	2160.196	2119.152	2078.888	2039.39	2000.642	1962.629	1925.339	1888.758	1852.871	1817.667	1783.131	1749.252	1716.016	1683.411	1651.427	1620.05	1589.269	1559.073	1529.45	1500.39	1471.884	1443.917	1416.483	1389.57	1363.168	1337.268	1311.86	1286.935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	2.91	0.908
DGOK4945713	5873	0	3	1480	52.661	0.001	0.619	0.014	150	0.362	0.336	0.116	0.06	0.126	1063.484	1.265	0	0.737	-0.54	258.245	0	190	0	0	0	13.125	61.983	41.676	3.466	3.466	25.665	21.813	1.551	-0.816	0	0	67520	9	62	1	0	0	0	190	1502.122462	855048.5138	0	1374.442	1257.614	1150.717	1052.906	963.409	881.519	806.590	738.030	675.298	617.897	565.376	517.319	473.347	433.112	396.298	362.613	331.790	303.588	277.783	254.172	232.567	212.799	194.711	178.161	163.017	149.160	136.482	124.881	114.266	104.553	95.666	87.535	80.094	73.286	67.057	61.357	56.142	51.370	47.003	43.008	782369.390	715867.992	655019.213	599342.580	548398.460	501784.591	459132.901	420106.604	384397.543	351723.752	321827.233	294471.918	269441.805	246539.252	225583.415	206408.825	188864.075	172810.628	158121.725	144681.378	132383.461	121130.867	110834.743	101413.790	92793.618	84906.160	77689.137	71085.560	65043.288	59514.608	54455.866	49827.118	45591.813	41716.509	38170.605	34926.104	31957.385	29241.007	26755.522	24481.302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	531.366	0.915
DGAR4032314	6261	1	3	910	47.993	0.007	0.575	0	0	0.07	0.271	0.192	0.116	0.352	1004.323	1.497	0	0.001	-0.003	319.862	0	19	0	0	0	7.415	233.837	0.072	0	0	30.488	20.001	1.23	-1	0	3	3640	9	62	1	0	0	0	19	0	503374.2169	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	488272.990	473624.801	459416.057	445633.575	432264.568	419296.631	406717.732	394516.200	382680.714	371200.292	360064.284	349262.355	338784.484	328620.950	318762.321	309199.452	299923.468	290925.764	282197.991	273732.052	265520.090	257554.487	249827.853	242333.017	235063.027	228011.136	221170.802	214535.678	208099.607	201856.619	195800.921	189926.893	184229.086	178702.214	173341.147	168140.913	163096.685	158203.785	153457.671	148853.941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266078.75	255701.703	245729.344	236145.922	226936.219	218085.719	209580.375	201406.75	193551.875	186003.375	178749.25	171778.047	165078.703	158640.609	152453.641	146507.969	140794.141	135303.172	130026.367	124955.344	217.01	208.547	200.413	192.597	185.086	177.867	170.931	164.265	157.858	151.702	145.785	140.1	134.636	129.385	124.34	119.49	114.83	110.352	106.048	101.912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	213.497	0.970
DGOK4956215	5863	1	3	410	40.946	0.001	0.682	0.017	90	0.362	0.336	0.116	0.06	0.126	1163.583	1.312	0	0.239	-0.801	298.735	0	72	0	0	0	13.621	113.463	148.299	5.906	5.906	29.526	21.852	1.378	0.361	0	3	164779.375	9	61	1	0	0	0	72	110.8047039	772495.8333	0	103.048	95.835	89.127	82.888	77.086	71.690	66.671	62.004	57.664	53.628	49.874	46.382	43.136	40.116	37.308	34.696	32.268	30.009	27.908	25.955	24.138	22.448	20.877	19.416	18.056	16.792	15.617	14.524	13.507	12.562	11.682	10.865	10.104	9.397	8.739	8.127	7.558	7.029	6.537	6.080	353421.125	328681.646	305673.931	284276.756	264377.383	245870.966	228659.998	212653.799	197768.033	183924.270	171049.571	159076.101	147940.774	137584.920	127953.976	118997.197	110667.394	102920.676	95716.229	89016.093	82784.966	76990.019	71600.717	66588.667	61927.460	57592.538	53561.060	49811.786	46324.961	43082.214	40066.459	37261.807	34653.480	32227.737	29971.795	27873.770	25922.606	24108.023	22420.462	20851.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1558.39	1497.614	1439.207	1383.078	1329.137	1277.302	1227.488	1179.615	1133.609	1089.399	1046.912	1006.084	966.846	929.14	892.902	858.081	824.614	792.455	761.549	731.847	703.307	675.877	649.519	624.187	599.842	576.451	553.968	532.363	511.602	491.649	472.473	454.049	436.34	419.324	402.969	387.253	372.15	357.638	343.69	330.285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	20.176	0.930
DGTX5126715	4561	5	4	7147.6	48.278	0.001	0.713	0.002	10	0.428	0.29	0.048	0.117	0.117	1183.849	1.4	0	0	0.127	319.621	0	17	0	0	0	13.986	19.977	35.022	0	0	30.5	20	1.532	-1	0	4	7040	9	45	1	0	0	0	17	156.023578	464983.8935	0	138.705	123.309	109.621	97.453	86.636	77.020	68.470	60.870	54.114	48.107	42.767	38.020	33.800	30.048	26.713	23.748	21.112	18.768	16.685	14.833	13.186	11.723	10.422	9.265	8.236	7.322	6.509	5.787	5.144	4.573	4.066	3.614	3.213	2.857	2.540	2.258	2.007	1.784	1.586	1.410	413370.681	367486.536	326695.530	290432.326	258194.338	229534.767	204056.408	181406.146	161270.064	143369.087	127455.118	113307.600	100730.457	89549.376	79609.395	70772.752	62916.977	55933.192	49724.608	44205.177	39298.402	34936.279	31058.352	27610.875	24546.068	21821.454	19399.273	17245.954	15331.653	13629.839	12116.927	10771.948	9576.262	8513.297	7568.321	6728.237	5981.403	5317.467	4727.228	4202.506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207539.891	206502.203	205469.688	204442.344	203420.141	202403.047	2057.203	2046.917	2036.682	2026.499	2016.367	2006.284	1996.253	1986.272	1976.341	1966.459	1956.628	1946.845	1937.109	1927.424	1917.787	1908.198	1898.658	1889.163	1879.718	1870.319	1860.968	1851.663	1842.404	1833.193	1824.026	1814.907	1805.833	1796.803	1787.819	1778.879	1769.985	1761.136	1752.33	1743.568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	1301.158	0.889
