***	HISTORICAL	DATA	FOR	OGSM																																
***	DATE	UPDATED:	18-Jul-22																																	
***	NOTES:	revised	regional	structure	of	well	counts	and	production	to	reflect	84	OGSM	districts																						
***																																				
***	Historical	successful	non-tight	oil	wells	drilled	(HCOWELLS)																													
***	UNITS:	new	wells	per	year																															
***	REGIONS:	84	OGSM	districts																																
***	DESCRIPTION:	number	of	successful	oil	wells	drilled	each	year																											
***	SOURCE:	Drilling	Info	download																																
***	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021				
1	AL50	37	22	25	11	31	29	8	12	8	6	9	9	6	6	17	50	23	21	21	16	27	34	36	33	33	18	8	10	7	3	2	0			
2	AL10	2	1	5	5	6	2	1	0	0	0	2	1	0	0	1	14	0	1	1	0	1	2	0	0	1	2	0	0	1	0	0	1			
3	AK	104	134	103	126	135	124	165	144	170	91	108	133	125	118	115	76	78	73	79	73	65	66	61	65	70	79	66	49	39	65	33	18			
4	AZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
5	AR	22	26	17	20	53	28	17	18	3	7	374	277	31	25	47	32	62	46	51	37	12	25	20	40	35	20	6	14	9	12	5	6			
6	CA	2006	1727	860	1055	933	1208	1535	2253	2234	1400	1909	1816	1640	1698	1884	1868	2172	1875	2476	1506	1872	2079	2339	2483	2552	1995	873	861	1640	1517	962	1278			
7	CO	57	73	58	74	26	39	23	18	6	68	14	12	15	14	15	30	24	21	21	20	29	29	32	58	57	22	9	16	16	17	14	5			
8	CT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
9	DE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
10	DC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
11	FL	2	1	2	6	2	1	2	5	3	0	9	0	2	5	2	3	0	0	1	0	1	3	2	3	2	0	0	3	0	1	1	2			
12	GE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
13	HI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
14	ID	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
15	IL	459	400	388	281	308	307	308	350	220	168	259	299	241	239	198	246	285	242	328	186	240	353	430	372	387	228	86	102	140	112	29	4			
16	IN	52	67	63	44	32	48	56	58	29	23	36	49	45	51	58	70	78	67	97	78	54	67	76	101	119	29	19	24	36	33	21	0			
17	IA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
18	KS	1930	839	763	529	551	401	507	685	271	236	356	393	395	365	440	1167	915	872	1069	925	1051	1221	1484	1543	1563	797	476	500	455	346	210	307			
19	KY	87	67	48	43	1544	249	227	73	473	392	1128	458	378	206	499	328	420	632	610	428	418	615	258	450	545	325	174	287	220	162	162	162			
20	LA50	280	263	257	198	161	158	128	126	52	26	69	61	46	56	105	126	182	140	222	176	148	228	382	451	437	220	104	117	135	96	43	40			
21	LA10	227	230	218	154	127	132	119	169	91	71	127	136	90	127	123	109	154	144	149	81	133	199	252	191	188	81	42	46	65	57	35	38			
22	ME	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
23	MD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
24	MA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
25	MI	36	32	17	20	27	37	31	55	20	16	10	24	33	8	13	29	24	41	76	25	45	34	49	36	27	13	9	13	14	13	4	0			
26	MN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
27	MS50	109	85	82	83	74	90	87	103	66	52	109	87	30	47	56	60	82	128	111	99	155	182	268	149	134	72	34	32	89	49	14	59			
28	MS10	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	2	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0			
29	MO	0	19	13	4	0	2	8	0	1	3	7	0	0	2	0	1	7	2	91	13	2	75	179	136	2	4	0	0	1	0	0	0			
30	MT	116	142	97	107	105	103	98	137	138	127	168	149	82	105	67	104	101	101	91	84	69	48	77	98	73	41	20	23	38	45	31	26			
31	NE	140	90	18	31	8	11	46	32	6	9	11	10	13	19	26	22	19	14	31	25	45	67	83	78	111	71	30	38	23	43	11	28			
32	NV	0	0	0	0	67	11	2	11	8	0	2	0	4	1	1	2	0	4	1	0	1	0	1	0	2	0	0	0	0	0	0	0			
33	NH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
34	NJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
35	NM10	185	198	173	252	264	317	395	359	214	108	220	200	153	188	190	249	300	217	271	198	210	144	163	134	117	60	19	48	69	51	20	33			
36	NM50	35	34	34	17	20	15	12	14	6	3	5	6	5	13	8	6	19	12	17	9	4	12	17	64	116	61	15	35	19	29	11	16			
37	NY	9	2	1	1	2	1	0	1	0	0	992	630	114	767	132	100	96	124	214	112	122	132	189	86	124	32	41	53	43	65	22	22			
38	NC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
39	ND	121	106	98	75	78	102	147	152	100	43	97	139	115	109	121	123	179	139	115	24	67	44	66	89	124	37	8	21	14	17	6	13			
40	OH	163	199	124	296	195	233	175	214	252	128	151	193	179	103	71	95	185	122	145	119	197	188	152	120	134	88	93	32	47	37	21	33			
41	OK	1135	1067	748	740	604	553	557	486	344	322	638	359	314	316	329	365	543	382	448	384	467	633	656	859	938	503	330	357	325	251	190	178			
42	OR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
