Resid	Play	RRC	Reg	Depth	API	Oilvisc	Gasgrav	GOR	NGL	NGPLET	NGPLPR	NGPLBU	NGPLIS	NGPLPP	HeatVal	CO2cont	H2Scont	N2cont	Sulfur	Patsize	Noilwell	Ngaswell	Ninjwell	Latnum	Latlen	PHI	Pay	PERM	SOI	SOC	SOR	SWI	BOI	VDP	OOIP	flag	acres	Resacc	PROV	Totprod	Totinj	Totconv	Totps	Totpat	lyroil	lyrgas	numacc	OP1	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	OP10	OP11	OP12	OP13	OP14	OP15	OP16	OP17	OP18	OP19	OP20	OP21	OP22	OP23	OP24	OP25	OP26	OP27	OP28	OP29	OP30	OP31	OP32	OP33	OP34	OP35	OP36	OP37	OP38	OP39	OP40	GP1	GP2	GP3	GP4	GP5	GP6	GP7	GP8	GP9	GP10	GP11	GP12	GP13	GP14	GP15	GP16	GP17	GP18	GP19	GP20	GP21	GP22	GP23	GP24	GP25	GP26	GP27	GP28	GP29	GP30	GP31	GP32	GP33	GP34	GP35	GP36	GP37	GP38	GP39	GP40	CO1	CO2	CO3	CO4	CO5	CO6	CO7	CO8	CO9	CO10	CO11	CO12	CO13	CO14	CO15	CO16	CO17	CO18	CO19	CO20	CO21	CO22	CO23	CO24	CO25	CO26	CO27	CO28	CO29	CO30	CO31	CO32	CO33	CO34	CO35	CO36	CO37	CO38	CO39	CO40	WP1	WP2	WP3	WP4	WP5	WP6	WP7	WP8	WP9	WP10	WP11	WP12	WP13	WP14	WP15	WP16	WP17	WP18	WP19	WP20	WP21	WP22	WP23	WP24	WP25	WP26	WP27	WP28	WP29	WP30	WP31	WP32	WP33	WP34	WP35	WP36	WP37	WP38	WP39	WP40	WI1	WI2	WI3	WI4	WI5	WI6	WI7	WI8	WI9	WI10	WI11	WI12	WI13	WI14	WI15	WI16	WI17	WI18	WI19	WI20	WI21	WI22	WI23	WI24	WI25	WI26	WI27	WI28	WI29	WI30	WI31	WI32	WI33	WI34	WI35	WI36	WI37	WI38	WI39	WI40	II1	II2	II3	II4	II5	II6	II7	II8	II9	II10	II11	II12	II13	II14	II15	II16	II17	II18	II19	II20	II21	II22	II23	II24	II25	II26	II27	II28	II29	II30	II31	II32	II33	II34	II35	II36	II37	II38	II39	II40	decline factor
DOND6482900	3111	0	7	10537	43.8	0.147	0.76	2.642	190	0.119	0.422	0.238	0.051	0.171	0	0	0	0	0.1	160	5	0	0	4	933.381	7.4	20	0.5	65	50.013	25	35	1.1	0.947	4342.225	9	8320	9	31	1	0	0	0	5	469879	531430.0187	1	365866.678	341719.478	275365.992	339330.013	316934.233	296016.573	276479.479	258231.834	241188.533	237385.667	221718.213	207084.811	193417.214	180651.677	168728.667	157592.575	147191.465	137476.828	128403.357	119928.736	112013.439	104620.552	97715.596	91266.367	85242.786	79616.762	74362.056	69454.160	64870.186	60588.754	56589.896	52854.963	49366.535	46108.344	43065.193	40222.890	37568.180	35088.680	32772.827	30609.820	513892.828	460434.365	480535.531	464677.858	449343.489	434515.154	420176.154	406310.341	392902.099	379936.330	367398.431	355274.283	343550.232	332213.074	321250.043	310648.791	300397.381	290484.267	280898.287	271628.643	262664.898	253996.956	245615.057	237509.760	229671.938	222092.764	214763.703	207676.500	200823.176	194196.011	187787.543	181590.554	175598.066	169803.329	164199.820	158781.226	153541.445	148474.577	143574.916	138836.944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.358	166.522	165.689	164.861	164.036	163.216	162.4	161.588	160.78	159.976	159.176	158.38	157.588	156.8	156.016	155.236	154.46	153.688	152.919	152.155	151.394	150.637	149.884	149.135	148.389	147.647	146.909	146.174	145.443	144.716	143.992	143.272	142.556	141.843	141.134	140.428	139.726	139.028	138.333	137.641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.419	0.934
DOTX6653900	4401	8	4	12466	40.2	0.16	1.06	3.302	150	0.528	0.29	0.048	0.017	0.117	0	0	0	0	0.49	70	6	0	0	4	617.373	1.751	139.071	10.6	66.445	33.347	30.5	33.555	1.485	0.627	4733.652	9	640	9	44	1	0	0	0	6	613818.184	657385.2	1	607186.366	546467.729	418820.956	453588.861	428304.975	370993.000	333893.700	300504.330	270453.897	243408.507	219067.657	197160.891	177444.802	159700.322	143730.289	129357.261	116421.534	104779.381	94301.443	84871.299	76384.169	68745.752	61871.177	55684.059	50115.653	45104.088	40593.679	36534.311	32880.880	29592.792	26633.513	23970.162	21573.145	19415.831	17474.248	15726.823	14154.141	12738.727	11464.854	10318.369	774146.680	696732.012	627058.811	564352.930	507917.637	457125.873	411413.286	370271.957	333244.761	299920.285	269928.257	242935.431	218641.888	196777.699	177099.929	159389.936	143450.943	129105.848	116195.264	104575.737	94118.164	84706.347	76235.712	68612.141	61750.927	55575.834	50018.251	45016.426	40514.783	36463.305	32816.974	29535.277	26581.749	23923.574	21531.217	19378.095	17440.286	15696.257	14126.631	12713.968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.373	98.724	94.285	90.045	85.995	82.128	78.435	74.908	71.539	68.322	65.249	62.315	59.513	56.837	54.281	51.84	49.508	47.282	45.156	43.125	41.186	39.334	37.565	35.876	34.262	32.721	31.25	29.845	28.503	27.221	25.997	24.828	23.711	22.645	21.626	20.654	19.725	18.838	17.991	17.182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.502	0.900
DOTX0012300	4763	2	2	7000	38.7	0	0	0	0	0.428	0.29	0.048	0.117	0.117	0	0	0	0	0.18	120	420	1	1	0	0	26.479	0.073	60.53	68.288	0	0	0	1.291	0	0	9	50400	1	47	0	1	0	0	1	189305.995	42281.53564	1	180787.226	172651.800	164882.469	157462.758	150376.934	143609.972	137147.523	130975.885	125081.970	119453.281	114077.884	108944.379	104041.882	99359.997	94888.797	90618.801	86540.955	82646.612	78927.515	75375.777	71983.867	68744.593	65651.086	62696.787	59875.432	57181.037	54607.891	52150.536	49803.761	47562.592	45422.276	43378.273	41426.251	39562.070	37781.776	36081.597	34457.925	32907.318	31426.489	30012.297	40378.867	38561.818	36826.536	35169.342	33586.721	32075.319	30631.929	29253.493	27937.085	26679.917	25479.320	24332.751	23237.777	22192.077	21193.434	20239.729	19328.941	18459.139	17628.478	16835.196	16077.612	15354.120	14663.184	14003.341	13373.191	12771.397	12196.684	11647.834	11123.681	10623.115	10145.075	9688.547	9252.562	8836.197	8438.568	8058.833	7696.185	7349.857	7019.113	6703.253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.955
DONM6595200	4401	0	4	7519.8	39	0.406	0.692	0.566	100	0.454	0.285	0.095	0.051	0.115	0	0	0	0	0.1	40	14	0	0	4	466.69	9	33	10	54	24.855	30.5	46	1.5	0.5	4976.916	9	2365.322	9	44	1	0	0	0	14	180498.070	70740.8735	1	180698.263	162628.437	146365.593	131729.034	118556.131	106700.518	96030.466	86427.419	77784.677	70006.210	63005.589	56705.030	51034.527	45931.074	41337.967	37204.170	33483.753	30135.378	27121.840	24409.656	21968.690	19771.821	17794.639	16015.175	14413.658	12972.292	11675.063	10507.556	9456.801	8511.121	7660.009	6894.008	6204.607	5584.146	5025.732	4523.159	4070.843	3663.758	3297.383	2967.644	63666.786	57300.108	51570.097	46413.087	41771.778	37594.601	33835.140	30451.626	27406.464	24665.817	22199.236	19979.312	17981.381	16183.243	14564.919	13108.427	11797.584	10617.826	9556.043	8600.439	7740.395	6966.355	6269.720	5642.748	5078.473	4570.626	4113.563	3702.207	3331.986	2998.788	2698.909	2429.018	2186.116	1967.505	1770.754	1593.679	1434.311	1290.880	1161.792	1045.613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.082	65.11	62.481	60.133	58.022	56.109	54.365	52.768	51.298	49.939	48.679	47.505	46.408	45.381	44.416	43.507	42.65	41.839	41.07	40.341	39.647	38.987	38.357	37.755	37.179	36.628	36.099	35.592	35.104	34.635	34.184	33.749	33.329	32.924	32.533	32.154	31.788	31.434	31.091	30.758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	1.173	0.900
DOTX6619000	4409	8	4	8108	39	0.363	0.825	1.491	150	0.528	0.19	0.048	0.117	0.117	0	0	0	0	0.171	105.57	12	0	0	4	741.475	11.563	194.349	4.62	60.812	54.507	25	39.188	1.556	0.72	715669.75	9	55800	9	44	8	0	0	0	146	134708.376	606.3438367	1	129320.040	124147.239	108231.349	122152.095	123853.532	113853.630	109299.485	104927.506	100730.405	96701.189	92833.142	89119.816	85555.023	82132.822	78847.510	75693.609	72665.865	69759.230	66968.861	64290.107	61718.502	59249.762	56879.772	54604.581	52420.398	50323.582	48310.638	46378.213	44523.084	42742.161	41032.475	39391.176	37815.529	36302.907	34850.791	33456.759	32118.489	30833.750	29600.400	28416.384	582.090	558.806	536.454	514.996	494.396	474.620	455.636	437.410	419.914	403.117	386.992	371.513	356.652	342.386	328.691	315.543	302.921	290.805	279.172	268.005	257.285	246.994	237.114	227.630	218.524	209.783	201.392	193.336	185.603	178.179	171.052	164.210	157.641	151.336	145.282	139.471	133.892	128.536	123.395	118.459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3577.648	3368.807	3175.955	2997.302	2831.386	2676.981	2533.043	2398.67	2273.073	2155.552	2045.482	1942.308	1845.527	1754.68	1669.351	1589.16	1513.762	1442.833	1376.079	1313.23	1254.035	1198.254	1145.678	1096.103	1049.341	1005.219	963.575	924.255	887.121	852.038	818.883	787.543	757.905	729.873	703.351	678.245	654.48	631.971	610.647	590.438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	12.227	0.960
DOTX7366900	4766	1	2	9200	37	0.527	0.67	1.692	0	0.428	0.29	0.048	0.117	0.117	0	0	0	0	0.42	47.797	2	0	0	4.001	473.8	14.363	13.003	106.154	65.631	40.626	30.508	32.434	1.266	0.875	357459.625	9	49338.277	9	43	920	0	0	0	1	100772.000	5401.061788	1	22128.768	20889.557	19719.742	18615.436	17572.972	16588.885	15659.908	14782.953	13955.108	13173.622	12435.899	11739.488	11082.077	10461.481	9875.638	9322.602	8800.536	8307.706	7842.475	7403.296	6988.712	6597.344	6227.893	5879.131	5549.899	5239.105	4945.715	4668.755	4407.305	4160.496	3927.508	3707.567	3499.944	3303.947	3118.926	2944.266	2779.387	2623.741	2476.812	2338.110	5098.602	4813.081	4543.548	4289.109	4048.919	3822.180	3608.138	3406.082	3215.341	3035.282	2865.306	2704.849	2553.378	2410.389	2275.407	2147.984	2027.697	1914.146	1806.954	1705.764	1610.242	1520.068	1434.944	1354.587	1278.730	1207.122	1139.523	1075.709	1015.470	958.603	904.922	854.246	806.408	761.249	718.619	678.377	640.388	604.526	570.672	538.715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59206.496	48961.859	46763.051	44969.156	42245.133	41713.246	39889.828	37716.074	36564.887	35623.012	33506.68	32409.654	32266.498	31312.746	30595.482	30092.268	29789.555	29303.158	28631.857	28462.822	28058.414	27563.242	27211.111	26781.902	26039.617	25809.518	25595.041	25320.152	24935.176	24570.822	24157.982	23192.949	21103.982	20768.342	20208.818	20015.758	19809.008	19404.535	19197.27	18810.342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	204.016	0.944
DOTX6675200	4409	73	4	4854.4	42.5	0.51	0.838	0	200	0.628	0.19	0.048	0.017	0.117	0	0	0	0	0.174	40	1	0	0	4	466.69	13	29	10	42	33.103	25	58	1.437	0.72	341.935	9	240	9	44	1	0	0	0	1	66925.078	216552.5	1	53182.248	49512.673	46096.298	50215.654	46750.774	40361.293	37576.363	34983.594	32569.726	30322.415	28230.169	26282.287	24468.809	22780.461	21208.610	19745.215	18382.796	17114.383	15933.490	14834.079	13810.528	12857.602	11970.427	11144.468	10375.499	9659.590	8993.078	8372.556	7794.849	7257.005	6756.271	6290.089	5856.073	5452.004	5075.815	4725.584	4399.519	4095.952	3813.331	3550.211	201610.378	187699.261	174748.012	162690.400	151464.762	141013.693	131283.749	122225.170	113791.633	105940.010	98630.150	91824.669	85488.767	79590.042	74098.329	68985.545	64225.542	59793.980	55668.195	51827.090	48251.020	44921.700	41822.103	38936.378	36249.768	33748.534	31419.885	29251.913	27233.531	25354.417	23604.962	21976.220	20459.861	19048.130	17733.809	16510.177	15370.974	14310.377	13322.961	12403.677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.723	15.737	14.809	13.936	13.114	12.341	11.613	10.928	10.284	9.677	9.106	8.569	8.064	7.589	7.141	6.72	6.324	5.951	5.6	5.27	4.959	4.666	4.391	4.132	3.889	3.659	3.443	3.24	3.049	2.869	2.7	2.541	2.391	2.25	2.117	1.993	1.875	1.764	1.66	1.563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.931
DOTX0012800	4763	1	2	7000	46.9	0	0	0	0	0.428	0.29	0.048	0.117	0.117	0	0	0	0	0.18	120	420	1	1	0	0	26.479	0.073	60.53	68.288	0	0	0	1.291	0	0	9	50400	9	47	0	1	0	0	1	36058.277	93.4338449	1	34039.014	32132.829	30333.390	28634.720	27031.176	25517.430	24088.454	22739.501	21466.089	20263.988	19129.204	18057.969	17046.723	16092.106	15190.948	14340.255	13537.201	12779.118	12063.487	11387.932	10750.208	10148.196	9579.897	9043.423	8536.991	8058.920	7607.620	7181.593	6779.424	6399.776	6041.389	5703.071	5383.699	5082.212	4797.608	4528.942	4275.321	4035.903	3809.893	3596.539	88.202	83.262	78.600	74.198	70.043	66.121	62.418	58.922	55.623	52.508	49.567	46.792	44.171	41.698	39.363	37.158	35.077	33.113	31.259	29.508	27.856	26.296	24.823	23.433	22.121	20.882	19.713	18.609	17.567	16.583	15.654	14.778	13.950	13.169	12.432	11.735	11.078	10.458	9.872	9.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.944
DOCO6813000	3904	0	5	4308	39	0.882	0.79	9.23	40	0.394	0.29	0.109	0.061	0.146	0	0	0	0	0.16	40	78	0	0	4	466.69	14	5	0.1	66.123	52.08	30.5	33.877	1.183	0.953	9349.003	9	4000	9	39	1	0	0	0	78	30066.158	400.43	1	29464.835	28875.539	28298.028	27732.067	27177.426	26633.877	26101.200	25579.176	25067.592	24566.240	24074.916	23593.417	23121.549	22659.118	22205.936	21761.817	21326.581	20900.049	20482.048	20072.407	19670.959	19277.540	18891.989	18514.149	18143.866	17780.989	17425.369	17076.862	16735.324	16400.618	16072.606	15751.153	15436.130	15127.408	14824.860	14528.362	14237.795	13953.039	13673.979	13400.499	392.421	384.573	376.882	369.344	361.957	354.718	347.624	340.671	333.858	327.180	320.637	314.224	307.940	301.781	295.745	289.830	284.034	278.353	272.786	267.330	261.984	256.744	251.609	246.577	241.645	236.812	232.076	227.435	222.886	218.428	214.060	209.779	205.583	201.471	197.442	193.493	189.623	185.831	182.114	178.472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.462	140.773	140.087	139.404	138.724	138.048	137.375	136.706	136.039	135.376	134.717	134.06	133.407	132.756	132.109	131.465	130.825	130.187	129.552	128.921	128.293	127.667	127.045	126.426	125.81	125.197	124.586	123.979	123.375	122.773	122.175	121.58	120.987	120.397	119.811	119.227	118.645	118.067	117.492	116.919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	6.532	0.980
DOCO6837300	3904	0	5	7101.2	47.712	0.607	0.79	8.381	0	0.394	0.29	0.109	0.061	0.146	0	0	0	0	0.16	54.541	41	0	0	4	538.707	14	134.785	0.1	66.123	61.105	25	33.877	1.285	0.72	722982.375	9	5120	9	39	2	0	0	0	166	29280.238	3840.913	1	28694.633	28120.741	27558.326	27007.159	26467.016	25937.676	25418.922	24910.544	24412.333	23924.086	23445.605	22976.692	22517.159	22066.815	21625.479	21192.970	20769.110	20353.728	19946.653	19547.720	19156.766	18773.631	18398.158	18030.195	17669.591	17316.199	16969.875	16630.478	16297.868	15971.911	15652.472	15339.423	15032.635	14731.982	14437.342	14148.595	13865.623	13588.311	13316.545	13050.214	3764.095	3688.813	3615.037	3542.736	3471.881	3402.444	3334.395	3267.707	3202.353	3138.306	3075.539	3014.029	2953.748	2894.673	2836.780	2780.044	2724.443	2669.954	2616.555	2564.224	2512.940	2462.681	2413.427	2365.159	2317.856	2271.498	2226.068	2181.547	2137.916	2095.158	2053.255	2012.190	1971.946	1932.507	1893.857	1855.980	1818.860	1782.483	1746.833	1711.896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1259.292	1253.155	1247.046	1240.968	1234.92	1228.901	1222.912	1216.951	1211.02	1205.117	1199.243	1193.398	1187.582	1181.794	1176.033	1170.301	1164.597	1158.921	1153.272	1147.652	1142.058	1136.491	1130.952	1125.44	1119.954	1114.496	1109.064	1103.659	1098.279	1092.926	1087.599	1082.298	1077.023	1071.773	1066.55	1061.352	1056.179	1051.03	1045.908	1040.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	13.903	0.980
