Resid	Play	RRC	Reg	Depth	API	Oilvisc	Gasgrav	GOR	NGPL	NGPLET	NGPLPR	NGPLBU	NGPLIS	NGPLPP	HeatVal	CO2cont	H2Scont	N2cont	Sulfur	Patsize	Noilwell	Ngaswell	Ninjwell	Latnum	Latlen	PHI	Pay	PERM	SOI	SOC	SOR	SWI	BOI	VDP	OOIP	flag	acres	Resacc	PROV	Totprod	Totinj	Totconv	Totps	Totpat	lyroil	lyrgas	numacc	OP1	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	OP10	OP11	OP12	OP13	OP14	OP15	OP16	OP17	OP18	OP19	OP20	OP21	OP22	OP23	OP24	OP25	OP26	OP27	OP28	OP29	OP30	OP31	OP32	OP33	OP34	OP35	OP36	OP37	OP38	OP39	OP40	GP1	GP2	GP3	GP4	GP5	GP6	GP7	GP8	GP9	GP10	GP11	GP12	GP13	GP14	GP15	GP16	GP17	GP18	GP19	GP20	GP21	GP22	GP23	GP24	GP25	GP26	GP27	GP28	GP29	GP30	GP31	GP32	GP33	GP34	GP35	GP36	GP37	GP38	GP39	GP40	CO1	CO2	CO3	CO4	CO5	CO6	CO7	CO8	CO9	CO10	CO11	CO12	CO13	CO14	CO15	CO16	CO17	CO18	CO19	CO20	CO21	CO22	CO23	CO24	CO25	CO26	CO27	CO28	CO29	CO30	CO31	CO32	CO33	CO34	CO35	CO36	CO37	CO38	CO39	CO40	WP1	WP2	WP3	WP4	WP5	WP6	WP7	WP8	WP9	WP10	WP11	WP12	WP13	WP14	WP15	WP16	WP17	WP18	WP19	WP20	WP21	WP22	WP23	WP24	WP25	WP26	WP27	WP28	WP29	WP30	WP31	WP32	WP33	WP34	WP35	WP36	WP37	WP38	WP39	WP40	WI1	WI2	WI3	WI4	WI5	WI6	WI7	WI8	WI9	WI10	WI11	WI12	WI13	WI14	WI15	WI16	WI17	WI18	WI19	WI20	WI21	WI22	WI23	WI24	WI25	WI26	WI27	WI28	WI29	WI30	WI31	WI32	WI33	WI34	WI35	WI36	WI37	WI38	WI39	WI40	II1	II2	II3	II4	II5	II6	II7	II8	II9	II10	II11	II12	II13	II14	II15	II16	II17	II18	II19	II20	II21	II22	II23	II24	II25	II26	II27	II28	II29	II30	II31	II32	II33	II34	II35	II36	II37	II38	II39	II40
CGAL4502121	4568	-1	2	9500	44	0	0	0	0	0.408	0.266	0.107	0.07	0.15	0	0	0	0	0	80	0	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	103040	10	45	1	0	0	0	1275	0	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	44.505	15.393	6.432	3.065	1.609	0.909	0.545	0.343	0.224	0.152	0.105	0.075	0.055	0.041	0.031	0.024	0.018	0.014	0.011	0.009	0.007	0.006	0.005	0.004	0.003	0.003	0.002	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAR4900217	4971	-1	3	12500	50	0	0	0	20	0.428	0.29	0.048	0.117	0.117	0	0	0	0	0	80	0	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5568	10	49	1	0	0	0	64	0	0	1	3.597	1.244	0.520	0.248	0.130	0.073	0.044	0.028	0.018	0.012	0.009	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	467.130	161.569	67.515	32.170	16.883	9.543	5.720	3.597	2.353	1.591	1.107	0.790	0.575	0.427	0.323	0.247	0.192	0.151	0.120	0.096	0.078	0.064	0.053	0.044	0.036	0.031	0.026	0.022	0.019	0.016	0.014	0.012	0.011	0.009	0.008	0.007	0.006	0.006	0.005	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAR4900417	4971	-1	3	12500	50	0	0	0	20	0.428	0.29	0.048	0.117	0.117	0	0	0	0	0	80	6	0	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	58176	10	49	1	0	0	0	325	0	0	1	6.090	3.138	2.218	1.745	1.453	1.252	1.104	0.991	0.901	0.827	0.766	0.714	0.669	0.631	0.597	0.567	0.540	0.515	0.494	0.474	0.455	0.439	0.423	0.409	0.396	0.384	0.372	0.362	0.352	0.342	0.320	0.290	0.262	0.237	0.215	0.194	0.176	0.159	0.144	0.130	31.195	16.073	11.359	8.939	7.440	6.411	5.655	5.075	4.613	4.237	3.923	3.658	3.429	3.231	3.056	2.902	2.764	2.640	2.528	2.426	2.333	2.247	2.169	2.096	2.028	1.966	1.907	1.852	1.801	1.753	1.641	1.485	1.343	1.216	1.100	0.995	0.901	0.815	0.737	0.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAR4900517	4971	-1	3	12500	50	0	0	0	20	0.428	0.29	0.048	0.117	0.117	0	0	0	0	0	80	0	1	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	14720	10	49	1	0	0	0	134	0	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.419	0.126	0.038	0.012	0.003	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAR4900717	4971	-1	3	12500	50	0	0	0	20	0.428	0.29	0.048	0.117	0.117	0	0	0	0	0	80	0	0	1	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5568	10	49	1	0	0	0	46	0	0	1	3.597	1.244	0.520	0.248	0.130	0.073	0.044	0.028	0.018	0.012	0.009	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	467.130	161.569	67.515	32.170	16.883	9.543	5.720	3.597	2.353	1.591	1.107	0.790	0.575	0.427	0.323	0.247	0.192	0.151	0.120	0.096	0.078	0.064	0.053	0.044	0.036	0.031	0.026	0.022	0.019	0.016	0.014	0.012	0.011	0.009	0.008	0.007	0.006	0.006	0.005	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAR4900817	4971	-1	3	12500	50	0	0	0	20	0.428	0.29	0.048	0.117	0.117	0	0	0	0	0	80	1	1	0	1	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	17280	10	49	1	0	0	0	101	0	0	1	8.355	3.421	1.903	1.226	0.862	0.642	0.499	0.400	0.329	0.275	0.234	0.202	0.176	0.155	0.138	0.123	0.111	0.100	0.091	0.084	0.077	0.071	0.066	0.061	0.057	0.053	0.049	0.046	0.044	0.041	0.039	0.037	0.035	0.033	0.031	0.030	0.028	0.027	0.026	0.025	3.236	1.325	0.737	0.475	0.334	0.249	0.193	0.155	0.127	0.107	0.091	0.078	0.068	0.060	0.053	0.048	0.043	0.039	0.035	0.032	0.030	0.027	0.025	0.024	0.022	0.020	0.019	0.018	0.017	0.016	0.015	0.014	0.013	0.013	0.012	0.012	0.011	0.010	0.010	0.010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAR6201017	6261	-1	3	4000	45	0	0	0	0	0.07	0.271	0.192	0.116	0.352	0	0	0	0	0	80	0	0	0	1	6913	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	80304.64	10	62	1	0	0	0	965	0	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	431.787	252.706	187.642	152.242	129.527	113.532	101.569	92.234	84.716	78.513	73.295	68.834	64.971	61.588	58.597	55.931	53.537	51.374	49.408	47.613	45.966	44.449	43.045	41.744	40.532	39.401	38.342	37.349	36.415	35.535	33.307	30.137	27.269	24.674	22.326	20.202	18.279	16.540	14.966	13.542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAR6201717	6262	-1	3	4000	45	0	0	0	0	0.07	0.271	0.192	0.116	0.352	0	0	0	0	0	80	0	0	0	1	5228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	213248	10	62	1	0	0	0	1557	0	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	521.838	247.650	168.397	129.129	105.386	89.378	77.808	69.031	62.132	56.556	51.951	48.079	44.776	41.923	39.432	37.238	35.288	33.545	31.976	30.556	29.264	28.083	27.000	26.002	25.080	24.225	23.430	22.688	21.995	21.346	19.958	18.059	16.341	14.786	13.378	12.105	10.953	9.911	8.968	8.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAR6201817	6262	-1	3	4000	45	0	0	0	0	0.07	0.271	0.192	0.116	0.352	0	0	0	0	0	80	0	0	0	1	5215	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	202944	10	62	1	0	0	0	1308	0	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1373.742	374.950	149.036	72.647	40.294	24.440	15.831	10.784	7.644	5.597	4.209	3.237	2.538	2.023	1.636	1.340	1.110	0.929	0.785	0.668	0.573	0.495	0.430	0.376	0.330	0.291	0.258	0.230	0.206	0.184	0.166	0.150	0.136	0.123	0.112	0.103	0.094	0.086	0.079	0.073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAR6202017	6262	-1	3	4000	45	0	0	0	0	0.07	0.271	0.192	0.116	0.352	0	0	0	0	0	80	0	0	0	1	5644	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	175168	10	62	1	0	0	0	1700	0	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	545.884	233.564	156.116	118.974	96.838	82.032	71.382	63.328	57.009	51.911	47.704	44.169	41.155	38.553	36.281	34.279	32.501	30.911	29.480	28.184	27.005	25.928	24.939	24.028	23.186	22.405	21.679	21.002	20.368	19.775	18.492	16.733	15.140	13.699	12.396	11.216	10.149	9.183	8.309	7.518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
