FILE NAME:     RSESTAR
DATE MODIFIED: September 12, 2023
USED BY:       RDESTARHOMES subroutine of the National Energy Modeling System (NEMS) Residential Demand Module (RDM)
DEFINITION:    Efficiency choice logit parameter betas for benchmarking historical shares of new ENERGY STAR single-family homes and learning factors for all ENERGY STAR homes
UNITS:         none
DIMENSION:     various
SPECIAL CONSTRAINTS:  non-negative values
ORGANIZATION OF DATA: 
               Data starts on row 21 of this file per RDM convention
               First year of data is RECSyear+1
SOURCES:       unknown
COMMENT:       Updated for 2020 RECS; values are outdated placeholders







Last year of historical ENERGY STAR single-family housing start shares (ESTARHISTYR)
2022

Efficiency choice logit beta 1 parameter (HVBETA1)
2021	2022	BT	Shell #	CD	Shell Package
-0.0005	-0.0005	1	1	1	'No IECC'
-0.0005	-0.0005	1	1	2	'No IECC'
-0.0005	-0.0005	1	1	3	'No IECC'
-0.0005	-0.0005	1	1	4	'No IECC'
-0.0005	-0.0005	1	1	5	'No IECC'
-0.0005	-0.0005	1	1	6	'No IECC'
-0.0005	-0.0005	1	1	7	'No IECC'
-0.0005	-0.0005	1	1	8	'No IECC'
-0.0005	-0.0005	1	1	9	'No IECC'
-0.0005	-0.0005	1	2	1	'IECC 2009'
-0.0005	-0.0005	1	2	2	'IECC 2009'
-0.0005	-0.0005	1	2	3	'IECC 2009'
-0.0005	-0.0005	1	2	4	'IECC 2009'
-0.0005	-0.0005	1	2	5	'IECC 2009'
-0.0005	-0.0005	1	2	6	'IECC 2009'
-0.0005	-0.0005	1	2	7	'IECC 2009'
-0.0005	-0.0005	1	2	8	'IECC 2009'
-0.0005	-0.0005	1	2	9	'IECC 2009'
-0.0005	-0.0005	1	3	1	'ESTAR'
-0.0005	-0.0005	1	3	2	'ESTAR'
-0.0005	-0.0005	1	3	3	'ESTAR'
-0.0005	-0.0005	1	3	4	'ESTAR'
-0.0005	-0.0005	1	3	5	'ESTAR'
-0.0005	-0.0005	1	3	6	'ESTAR'
-0.0005	-0.0005	1	3	7	'ESTAR'
-0.0005	-0.0005	1	3	8	'ESTAR'
-0.0005	-0.0005	1	3	9	'ESTAR'
-0.0005	-0.0005	1	4	1	'FORTY%'
-0.0005	-0.0005	1	4	2	'FORTY%'
-0.0005	-0.0005	1	4	3	'FORTY%'
-0.0005	-0.0005	1	4	4	'FORTY%'
-0.0005	-0.0005	1	4	5	'FORTY%'
