FILE NAME:     RSSQFT
DATE MODIFIED: August 20, 2025
USED BY:       RDSQFOOT subroutine of the National Energy Modeling System (NEMS) Residential Demand Module (RDM)
DEFINITION:    Average square feet of residential housing units for each of three housing types, nine census divisions, and projection years 2015-2050; data used to adjust heating, cooling, and lighting loads
UNITS:         Square feet of conditioned floorspace
DIMENSION:     projection year, housing type, U.S. Census division
SPECIAL CONSTRAINTS:  Data starts on row 21 of this file as per RDM convention.
ORGANIZATION OF DATA:
               Variables: SQRFOOT
               First 9 rows of data are single-family by census division 1-9; rows 10-18 are multifamily; rows 19-27 are mobile homes
SOURCES:       2020:  2020 RECS, the maximum of heated (TOTHSQFT) and cooled (TOTCSQFT) square footage (i.e., conditioned floorspace), weighted by U.S. census division and housing type
               2021-2024:  U.S. Census Bureau Survey of Construction data series, adjusted for conditioned floorspace, available online here:
                https://www.census.gov/construction/chars/current.html -- squarefeet_cust.xls
                https://www.census.gov/construction/chars/current.html -- mfu_squarefeet_cust.xlsx
                https://www.census.gov/data/tables/time-series/econ/mhs/annual-data.html -- Annual_AvgSqft.xlsx
               2025 onward:  projected based on average of linear and logarithmic extrapolation of most recent 20-year (11-year for mobile home) historical values
COMMENT:       Updated single-family, multifamily and mobile home historical completion (versus sold) data through 2024; revised projected annual growth rates

2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
																														
2061	2068	2120	2143	1971	1976	1981	1986	1991	1995	2000	2005	2009	2014	2019	2023	2028	2032	2037	2041	2046	2050	2055	2059	2064	2068	2072	2077	2081	2085	2090
2049	2056	2107	2131	1959	1964	1969	1974	1979	1983	1988	1993	1997	2002	2007	2011	2016	2020	2025	2029	2034	2038	2042	2047	2051	2056	2060	2064	2069	2073	2077
2179	2203	2181	2170	2045	2048	2051	2054	2056	2059	2062	2065	2067	2070	2073	2075	2078	2080	2083	2085	2088	2090	2093	2095	2098	2100	2103	2105	2108	2110	2113
2194	2187	2227	2201	2086	2087	2088	2089	2089	2090	2091	2092	2092	2093	2093	2094	2095	2095	2096	2097	2097	2098	2098	2099	2099	2100	2100	2101	2101	2102	2102
1863	1857	1890	1868	1771	1772	1772	1773	1773	1774	1775	1775	1776	1776	1777	1777	1778	1778	1779	1779	1780	1780	1781	1781	1782	1782	1783	1783	1784	1784	1785
1917	1911	1946	1923	1823	1824	1824	1825	1826	1826	1827	1828	1828	1829	1829	1830	1830	1831	1831	1832	1832	1833	1833	1834	1834	1835	1835	1836	1836	1837	1837
1818	1812	1845	1823	1729	1729	1730	1730	1731	1732	1732	1733	1733	1734	1734	1735	1735	1736	1736	1737	1737	1738	1738	1739	1739	1740	1740	1741	1741	1741	1742
2080	2078	2087	2050	2002	2001	2001	2000	2000	1999	1998	1998	1997	1997	1996	1995	1995	1994	1994	1993	1992	1992	1991	1991	1990	1989	1989	1988	1987	1987	1986
1642	1640	1648	1618	1581	1580	1580	1579	1579	1578	1578	1577	1577	1576	1576	1575	1575	1574	1574	1573	1573	1572	1572	1571	1571	1571	1570	1570	1569	1569	1568
959	1013	987	888	862	853	844	836	827	818	810	802	793	785	777	769	761	752	744	736	728	720	713	705	697	689	681	673	666	658	650
897	948	923	831	806	798	790	782	774	766	758	750	742	735	727	719	712	704	696	689	682	674	667	659	652	645	637	630	623	616	608
958	904	919	936	868	862	856	851	845	840	834	829	823	818	812	807	802	797	791	786	781	776	771	765	760	755	750	745	740	735	730
895	853	840	849	838	834	830	826	822	818	814	810	806	802	799	795	791	788	784	780	777	773	769	766	762	759	755	752	748	744	741
883	842	829	837	827	823	819	815	811	807	803	799	796	792	788	784	781	777	773	770	766	763	759	755	752	748	745	741	738	735	731
880	839	826	834	824	820	816	812	808	804	800	796	793	789	785	781	778	774	771	767	763	760	756	753	749	746	742	739	735	732	728
788	751	740	747	738	734	731	727	724	720	717	714	710	707	703	700	697	694	690	687	684	681	678	674	671	668	665	662	659	656	653
822	821	793	774	778	772	766	760	754	748	742	737	731	725	720	714	709	703	698	692	687	681	676	671	665	660	655	650	644	639	634
633	633	611	596	599	595	590	585	581	576	572	568	563	559	554	550	546	542	538	533	529	525	521	517	513	509	504	500	496	492	488
1150	1170	1167	1134	1174	1173	1172	1171	1170	1169	1168	1167	1166	1165	1164	1163	1163	1162	1161	1160	1159	1158	1157	1156	1156	1155	1154	1153	1152	1151	1151
1020	1037	1035	1006	1041	1040	1040	1039	1038	1037	1036	1035	1034	1034	1033	1032	1031	1030	1030	1029	1028	1027	1026	1026	1025	1024	1023	1023	1022	1021	1020
1098	1120	1094	1092	1128	1127	1126	1125	1125	1124	1123	1123	1122	1121	1121	1120	1120	1119	1118	1118	1117	1116	1116	1115	1115	1114	1114	1113	1112	1112	1111
1248	1272	1233	1222	1229	1232	1234	1237	1239	1242	1244	1247	1249	1251	1254	1256	1258	1261	1263	1265	1267	1270	1272	1274	1276	1278	1280	1283	1285	1287	1289
1126	1148	1113	1103	1109	1112	1114	1116	1119	1121	1123	1125	1127	1129	1131	1134	1136	1138	1140	1142	1144	1146	1148	1150	1152	1154	1156	1158	1159	1161	1163
1262	1287	1247	1236	1243	1246	1248	1251	1253	1256	1258	1261	1263	1266	1268	1270	1273	1275	1277	1279	1282	1284	1286	1288	1291	1293	1295	1297	1299	1302	1304
1181	1204	1167	1156	1163	1165	1168	1170	1173	1175	1177	1179	1182	1184	1186	1188	1190	1193	1195	1197	1199	1201	1203	1205	1207	1209	1211	1213	1215	1217	1219
1081	1068	1052	1010	1030	1028	1026	1024	1022	1020	1018	1016	1014	1012	1010	1008	1006	1004	1002	1000	999	997	995	993	991	989	987	986	984	982	980
1090	1077	1060	1018	1038	1036	1034	1032	1030	1028	1026	1024	1022	1020	1018	1016	1014	1012	1010	1008	1006	1004	1003	1001	999	997	995	993	991	990	988
