FILE NAME:     RSSTK
DATE MODIFIED: December 23, 2025
USED BY:       RDHTREQC subroutine of the National Energy Modeling System (NEMS) Residential Demand Module (RDM)
DEFINITION:    Physical number of equipment stock for all residential equipment classes (29 major and the rest minor classes)
UNITS:         Number of equipment/appliances/devices in the base year
DIMENSION:     housing type (each column), U.S. census division (each row, 1-9), equipment class (each group of 9 rows)
SPECIAL CONSTRAINTS:  Data starts on row 21 of this file as per RDM convention.
ORGANIZATION OF DATA:
               Variables: EQCESE (for major end uses in RSCLASS),FANEQP,TVSEQP,STBEQP,HTSEQP,OTTEQP,VGCEQP,DPCEQP,LPCEQP,MONEQP,NETEQP,BATEQP,
                CFNEQP,COFEQP,DEHEQP,MCOEQP,PHPEQP,SECEQP,SPAEQP,WCLEQP,SPKEQP,PHNQP,TABEQP,KITEQP,EAEQP,SHTEQP,APPEQP
SOURCES:       2020 RECS microdata (https://www.eia.gov/consumption/residential/data/2020/index.php?view=microdata)
               "Analysis and Representation of Miscellaneous Electric Loads in NEMS": https://www.eia.gov/analysis/studies/demand/miscelectric/
               U.S. Census Bureau Characteristics of New Housing: https://www.census.gov/construction/chars/historical_data/
COMMENT:       Remove kerosene and coal placeholders; move data row labels to end of file for streamlined input reading





SF	MF	MOBILE
140646	583637	3895
583619	1607303	43537
811216	1744254	90703
628682	666137	97404
3445511	2196281	712406
1033393	503904	330048
2421140	1654634	551972
673961	817887	143885
1327858	2318565	250772
28552	61089	0
289472	319627	6245
267470	141082	12781
191347	136234	40078
5040432	1217484	815761
1400298	434019	232682
1434145	876531	235695
566077	228540	33409
528212	248787	77643
919979	631494	14775
4527746	1367774	59983
9941868	1780976	338640
4341433	622045	128228
5351088	849352	73743
2142380	186844	42859
5173250	349885	194961
4377947	497706	318536
7586154	1112715	324490
408674	500940	0
1696324	2088385	23048
592101	606692	11954
230417	209901	4847
386124	191224	6617
157931	24467	0
323236	73402	10600
303921	249923	22944
750579	560734	21614
269554	42781	29212
510676	30009	103697
1158159	15318	106843
711795	48393	75892
553899	13623	126967
262387	0	89167
283988	0	58294
252089	15073	62176
327637	26493	37497
1129329	99322	70815
983527	147823	78681
126586	16046	0
32657	0	0
295948	6178	30065
21360	0	0
0	0	0
4806	15458	0
38787	1969	942
517502	126334	0
520387	382290	11146
57593	32448	0
7340	5873	2289
79634	4851	19732
4551	0	10954
0	0	0
0	0	0
40418	4457	6848
162611	14934	16526
252741	0	20027
298301	13852	46470
156043	0	0
292981	0	46194
96715	0	10006
138003	0	16853
202249	6318	26524
378726	12135	42059
9558	0	0
54055	13251	0
190214	0	17684
80742	13051	0
313183	15671	70458
207815	46725	30794
117962	26974	4702
16865	0	0
