FILE NAME:     RSUEC
DATE MODIFIED: December 23, 2025
USED BY:       RDUECS subroutine of the National Energy Modeling System (NEMS) Residential Demand Module (RDM)
DEFINITION:    Annual unit energy consumption (UEC) for all residential equipment classes (29 major and the rest minor classes)
UNITS:         Classes 1-29 (major end uses in RSCLASS): MMBtu/unit/yr
               Classes 30-62: MMBtu/household/yr
DIMENSION:     housing type (each column), U.S. census division (each row, 1-9), equipment class (each group of 9 rows)
SPECIAL CONSTRAINTS:  Data starts on row 21 of this file as per RDM convention.
ORGANIZATION OF DATA:
               Variables: EQCUEC (for major end uses in RSCLASS),FANUEC,TVSUEC,STBUEC,HTSUEC,OTTUEC,VGCUEC,DPCUEC,LPCUEC,MONUEC,NETUEC,BATUEC,
                CFNUEC,COFUEC,DEHUEC,MCOUEC,PHPUEC,SECUEC,SPAUEC,WCLUEC,SPKUEC,PHNEC,TABUEC,KITUEC,EAUEC,SHTUEC,APPUEC
SOURCES:       2020 RECS microdata (https://www.eia.gov/consumption/residential/data/2020/index.php?view=microdata)
               "Analysis and Representation of Miscellaneous Electric Loads in NEMS": https://www.eia.gov/analysis/studies/demand/miscelectric/
COMMENT:       Remove kerosene and coal placeholders; move data row labels to end of file for streamlined input reading





SF	MF	MOBILE
22.354	6.705	0.595
28.659	7.049	23.133
28.760	9.166	19.130
30.369	8.358	24.425
11.890	4.431	11.488
16.063	5.112	17.378
13.934	4.559	12.228
13.384	5.136	13.195
14.997	3.746	17.917
14.999	4.497	0.000
20.801	5.744	14.590
29.191	5.717	12.043
28.488	5.897	17.321
9.996	3.198	9.323
15.268	4.833	16.822
10.897	2.785	10.627
5.633	1.503	4.108
12.647	1.600	13.602
61.076	31.158	34.604
64.815	25.110	51.537
69.658	34.720	48.253
62.154	25.311	62.270
42.701	12.218	26.601
43.402	18.449	31.047
29.558	8.025	26.442
44.238	14.403	32.312
27.281	6.484	18.162
68.022	40.290	0.000
80.532	23.007	71.263
110.346	37.617	34.754
92.379	32.078	17.126
58.927	12.171	12.665
35.221	10.240	0.000
27.295	5.898	44.049
62.575	20.921	35.642
26.425	7.902	8.721
49.432	15.347	50.567
56.010	8.302	41.754
70.153	8.095	46.661
64.491	13.694	39.041
35.004	5.604	20.290
33.144	0.000	19.362
30.814	0.000	17.979
53.847	12.676	36.809
30.296	5.766	29.386
76.513	26.757	44.121
71.408	15.807	49.882
82.253	21.565	0.000
78.888	0.000	0.000
51.130	10.264	55.582
43.109	0.000	0.000
0.000	0.000	0.000
61.698	4.096	0.000
65.316	20.541	57.515
74.452	29.360	0.000
76.676	15.995	15.015
85.895	31.521	0.000
148.983	28.412	51.496
54.938	12.759	38.481
41.407	0.000	26.374
0.000	0.000	0.000
0.000	0.000	0.000
88.448	50.395	57.902
94.945	41.525	78.748
96.022	0.000	58.545
142.689	59.949	114.515
93.901	0.000	0.000
76.993	0.000	63.919
61.430	0.000	50.000
61.556	0.000	67.103
71.246	41.719	74.526
64.242	15.936	55.717
7.936	0.000	0.000
22.892	3.659	0.000
22.574	0.000	12.537
24.951	2.672	0.000
9.856	1.924	8.343
15.680	2.034	19.405
10.956	4.148	1.445
7.142	0.000	0.000
13.981	2.039	0.000
73.751	0.000	0.000
47.526	11.886	0.000
84.146	7.266	0.000
46.263	0.000	0.000
31.411	5.572	0.000
27.882	11.375	0.000
34.733	0.000	0.000
17.190	5.247	0.000
22.708	3.592	2.295
1.518	1.373	0.927
2.022	1.707	1.450
2.346	1.467	1.762
2.613	1.220	1.872
3.427	3.676	3.298
3.260	2.752	2.854
4.325	3.152	3.370
3.505	1.773	3.599
2.216	1.577	1.863
5.794	2.606	3.409
6.882	3.665	4.484
5.711	3.313	3.300
6.974	3.553	6.329
12.890	6.781	11.993
11.664	4.554	9.612
16.049	6.952	13.878
12.511	6.485	10.774
6.894	3.076	6.137
2.370	0.583	0.000
4.865	2.160	7.668
6.557	1.717	0.000
7.487	1.543	7.374
10.265	4.983	7.661
9.223	3.200	9.554
13.289	5.461	9.162
19.869	5.454	16.105
5.055	1.767	6.469
1.825	0.000	0.000
3.964	0.000	0.000
6.344	0.000	1.298
5.223	2.144	0.000
11.358	0.000	5.415
9.145	2.740	0.000
8.117	0.000	0.000
2.332	0.000	0.000
4.167	0.396	0.000
11.301	4.684	7.636
19.099	9.477	12.905
15.531	7.224	10.495
23.773	11.801	19.063
64.391	27.685	44.480
58.656	23.316	26.101
80.041	30.247	58.158
60.595	32.232	52.759
26.132	11.156	11.332
0.428	0.364	0.357
0.429	0.318	0.401
0.446	0.335	0.376
0.473	0.378	0.469
0.447	0.346	0.482
0.483	0.371	0.624
0.476	0.391	0.504
0.450	0.395	0.412
0.427	0.317	0.445
0.425	0.306	0.276
0.389	0.313	0.291
0.403	0.275	0.408
0.418	0.277	0.334
0.384	0.264	0.352
0.382	0.286	0.331
0.367	0.276	0.362
0.419	0.266	0.325
0.381	0.258	0.281
19.598	18.472	23.104
21.489	15.742	14.644
16.536	16.571	14.178
17.669	13.704	16.941
17.168	13.617	7.941
16.995	13.868	14.126
14.840	13.578	16.139
18.649	15.725	15.232
20.142	15.468	16.474
8.646	4.569	7.626
10.392	5.633	11.040
10.593	5.373	9.554
10.289	6.559	10.940
9.338	7.294	11.852
9.276	8.243	12.300
8.502	8.309	11.846
9.024	6.823	9.511
9.766	6.519	10.737
20.329	19.890	20.758
19.101	18.997	0.000
20.071	9.477	0.000
22.376	0.000	0.000
21.876	18.600	0.000
0.000	0.000	0.000
25.937	21.726	0.000
0.000	19.882	0.000
22.387	20.777	27.639
17.639	15.213	15.167
18.036	15.344	16.757
17.243	14.109	12.655
17.152	15.662	20.627
14.793	4.230	15.927
14.633	17.500	13.776
12.781	14.743	11.361
16.828	10.829	16.852
16.347	12.961	14.660
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.000	0.000	0.000
0.421	0.000	0.000
0.440	0.330	0.000
1.685	2.236	1.520
1.593	1.730	0.774
1.597	1.598	1.278
1.593	1.806	1.265
1.411	1.441	0.923
1.524	2.040	1.209
1.062	1.228	1.300
1.560	1.218	1.225
1.325	1.668	0.948
2.091	1.620	1.739
1.972	1.790	1.873
2.250	0.000	0.865
1.644	0.000	1.813
1.560	0.000	1.203
1.700	0.000	1.838
1.530	0.000	1.687
1.272	0.000	1.386
1.427	1.179	1.488
0.693	0.701	0.734
0.711	0.536	0.552
0.744	0.554	0.754
0.770	0.688	0.733
0.725	0.619	0.784
0.769	0.692	0.794
0.500	0.734	0.856
0.639	0.714	0.571
0.495	0.592	0.623
2.294	1.709	0.246
1.964	1.471	1.759
1.954	1.382	1.548
2.102	2.030	1.187
2.380	1.671	2.909
2.442	0.000	3.506
2.020	2.152	2.192
2.134	1.615	0.944
2.119	1.531	2.462
2.283	1.852	1.879
2.286	1.524	2.421
2.435	1.658	2.052
2.579	2.043	2.763
2.360	1.624	2.455
2.639	1.925	2.900
2.592	2.180	3.014
2.468	1.909	2.164
2.240	1.419	1.903
1.840	1.587	1.660
1.912	1.597	1.741
1.973	1.704	1.784
2.012	1.685	1.758
2.184	1.854	1.979
2.124	1.703	2.003
2.206	1.762	1.947
2.116	1.716	1.911
2.032	1.757	2.050
1.394	1.462	1.526
1.610	1.508	1.855
1.595	1.633	1.798
1.683	1.532	1.645
1.851	1.589	1.863
1.808	1.736	1.740
1.870	1.456	2.102
1.699	1.451	1.712
1.655	1.454	2.035
1.719	0.328	1.157
1.887	0.329	1.055
2.704	0.598	0.992
2.770	0.572	1.217
2.535	0.918	1.028
2.459	0.655	1.106
3.147	0.881	1.225
2.666	0.698	1.122
1.341	0.293	0.727
0.281	0.281	0.281
0.281	0.281	0.281
0.281	0.281	0.281
0.281	0.281	0.281
0.281	0.281	0.281
0.281	0.281	0.281
0.281	0.281	0.281
0.281	0.281	0.281
0.281	0.281	0.281
0.257	0.257	0.257
0.257	0.257	0.257
0.257	0.257	0.257
0.257	0.257	0.257
0.257	0.257	0.257
0.257	0.257	0.257
0.257	0.257	0.257
0.257	0.257	0.257
0.257	0.257	0.257
0.269	0.269	0.269
0.269	0.269	0.269
0.269	0.269	0.269
0.269	0.269	0.269
0.269	0.269	0.269
0.269	0.269	0.269
0.269	0.269	0.269
0.269	0.269	0.269
0.269	0.269	0.269
0.031	0.031	0.031
0.031	0.031	0.031
0.031	0.031	0.031
0.031	0.031	0.031
0.031	0.031	0.031
0.031	0.031	0.031
0.031	0.031	0.031
0.031	0.031	0.031
0.031	0.031	0.031
0.227	0.227	0.227
0.227	0.227	0.227
0.227	0.227	0.227
0.227	0.227	0.227
0.227	0.227	0.227
0.227	0.227	0.227
0.227	0.227	0.227
0.227	0.227	0.227
0.227	0.227	0.227
0.710	0.710	0.710
0.710	0.710	0.710
0.710	0.710	0.710
0.710	0.710	0.710
0.710	0.710	0.710
0.710	0.710	0.710
0.710	0.710	0.710
0.710	0.710	0.710
0.710	0.710	0.710
0.132	0.132	0.132
0.132	0.132	0.132
0.132	0.132	0.132
0.132	0.132	0.132
0.132	0.132	0.132
0.132	0.132	0.132
0.132	0.132	0.132
0.132	0.132	0.132
0.132	0.132	0.132
0.112	0.112	0.112
0.112	0.112	0.112
0.112	0.112	0.112
0.112	0.112	0.112
0.112	0.112	0.112
0.112	0.112	0.112
0.112	0.112	0.112
0.112	0.112	0.112
0.112	0.112	0.112
0.242	0.242	0.242
0.242	0.242	0.242
0.242	0.242	0.242
0.242	0.242	0.242
0.242	0.242	0.242
0.242	0.242	0.242
0.242	0.242	0.242
0.242	0.242	0.242
0.242	0.242	0.242
0.007	0.007	0.007
0.007	0.007	0.007
0.007	0.007	0.007
0.007	0.007	0.007
0.007	0.007	0.007
0.007	0.007	0.007
0.007	0.007	0.007
0.007	0.007	0.007
0.007	0.007	0.007
0.131	0.190	0.181
0.158	0.165	0.193
0.183	0.185	0.213
0.200	0.201	0.191
0.298	0.317	0.354
0.299	0.417	0.381
0.329	0.431	0.403
0.215	0.287	0.235
0.178	0.192	0.162
0.206	0.206	0.206
0.206	0.206	0.206
0.206	0.206	0.206
0.206	0.206	0.206
0.206	0.206	0.206
0.206	0.206	0.206
0.206	0.206	0.206
0.206	0.206	0.206
0.206	0.206	0.206
2.540	2.216	4.108
3.313	2.045	9.047
3.455	3.133	0.895
3.020	1.420	5.441
4.360	5.081	3.743
3.744	0.404	3.167
4.579	7.827	2.756
4.523	2.618	3.069
2.533	2.646	2.842
0.346	0.316	0.356
0.347	0.258	0.302
0.368	0.273	0.310
0.364	0.310	0.366
0.365	0.310	0.327
0.362	0.300	0.338
0.376	0.313	0.328
0.377	0.335	0.374
0.378	0.307	0.358
6.331	0.000	4.442
6.340	0.000	0.000
6.724	0.000	5.347
8.056	0.000	10.665
9.129	0.000	5.324
8.839	0.000	7.113
9.643	0.000	7.203
7.403	0.000	22.366
5.778	0.000	6.839
6.480	0.000	0.000
6.480	0.000	0.000
6.480	0.000	0.000
6.480	0.000	0.000
2.160	0.000	0.000
2.160	0.000	0.000
2.160	0.000	0.000
6.480	0.000	0.000
2.160	0.000	0.000
0.156	0.125	0.125
0.156	0.125	0.125
0.156	0.125	0.125
0.156	0.125	0.125
0.156	0.125	0.125
0.156	0.125	0.125
0.156	0.125	0.125
0.156	0.125	0.125
0.156	0.125	0.125
5.815	1.366	0.000
6.265	6.595	0.000
8.976	3.305	20.013
6.913	8.000	9.438
5.985	6.357	5.760
6.133	4.827	4.682
5.623	5.953	8.389
7.163	4.602	6.107
7.285	4.168	5.699
1.334	1.334	1.334
1.334	1.334	1.334
1.334	1.334	1.334
1.334	1.334	1.334
1.334	1.334	1.334
1.334	1.334	1.334
1.334	1.334	1.334
1.334	1.334	1.334
1.334	1.334	1.334
0.051	0.051	0.051
0.051	0.051	0.051
0.051	0.051	0.051
0.051	0.051	0.051
0.051	0.051	0.051
0.051	0.051	0.051
0.051	0.051	0.051
0.051	0.051	0.051
0.051	0.051	0.051
0.016	0.016	0.016
0.016	0.016	0.016
0.016	0.016	0.016
0.016	0.016	0.016
0.016	0.016	0.016
0.016	0.016	0.016
0.016	0.016	0.016
0.016	0.016	0.016
0.016	0.016	0.016
0.021	0.021	0.021
0.021	0.021	0.021
0.021	0.021	0.021
0.021	0.021	0.021
0.021	0.021	0.021
0.021	0.021	0.021
0.021	0.021	0.021
0.021	0.021	0.021
0.021	0.021	0.021
0.063	0.063	0.063
0.063	0.063	0.063
0.063	0.063	0.063
0.063	0.063	0.063
0.063	0.063	0.063
0.063	0.063	0.063
0.063	0.063	0.063
0.063	0.063	0.063
0.063	0.063	0.063
5.526	3.535	4.297
6.084	3.250	3.673
6.092	2.942	6.238
6.192	2.958	4.555
6.383	3.990	7.022
6.679	3.230	5.502
7.051	3.707	5.505
6.657	3.816	5.783
6.286	3.129	4.197
12.013	5.755	0.000
6.857	1.755	10.013
9.046	1.576	6.439
4.876	2.143	8.744
5.119	1.813	0.834
7.796	2.504	1.440
3.577	0.000	3.140
3.453	0.779	19.959
3.596	2.751	5.326
3.877	1.419	1.776
4.069	1.287	1.746
4.784	2.643	3.394
5.015	1.358	4.404
2.397	0.903	1.694
2.595	0.544	2.703
2.430	0.736	1.869
3.432	1.570	1.402
2.431	0.632	1.965
23.350	8.702	12.062
15.740	0.000	0.000
20.617	0.000	6.918
40.470	0.000	0.000
4.993	0.000	4.781
2.740	0.000	7.657
0.000	0.000	0.000
22.392	0.000	0.000
18.693	0.000	0.000
9.377	7.434	8.916
8.768	4.855	3.566
9.555	0.000	0.291
11.862	3.608	0.000
4.796	0.000	3.962
4.476	0.000	5.568
4.156	0.000	2.231
13.682	0.577	20.661
7.425	0.000	0.000
28.368	17.587	32.985
26.555	2.647	18.920
26.675	11.017	46.470
23.077	3.467	32.125
11.861	3.912	15.210
12.980	1.959	12.872
9.322	2.728	16.488
17.916	2.369	13.481
11.270	4.859	32.562
14.639	18.618	1.833
108.902	23.750	31.800
90.344	16.900	1.607
18.122	10.298	5.903
62.622	21.717	1.095
58.843	11.061	4.352
43.459	17.575	11.011
55.781	21.488	110.134
37.482	24.084	1.299
31.082	16.850	7.650
24.446	15.135	14.138
33.391	0.000	1.247
25.909	15.795	16.273
19.292	14.767	13.037
18.426	0.000	24.795
17.089	0.000	19.099
26.080	0.000	19.082
33.621	9.844	18.117
38.169	42.136	43.446
37.004	42.281	0.000
27.076	0.000	0.000
0.000	0.000	0.000
35.834	0.000	29.610
29.796	0.000	29.844
0.000	0.000	0.000
34.895	0.000	0.000
32.885	0.000	0.000

================================================================
<EQUIPMENT CLASS DESCRIPTION>	<EQUIPMENT CLASS INDEX>	<CD>
Electric Heating Other Than Heat Pumps	1	1
Electric Heating Other Than Heat Pumps	1	2
Electric Heating Other Than Heat Pumps	1	3
Electric Heating Other Than Heat Pumps	1	4
Electric Heating Other Than Heat Pumps	1	5
Electric Heating Other Than Heat Pumps	1	6
Electric Heating Other Than Heat Pumps	1	7
Electric Heating Other Than Heat Pumps	1	8
Electric Heating Other Than Heat Pumps	1	9
Air-Source Heat Pumps (heating)	2	1
Air-Source Heat Pumps (heating)	2	2
Air-Source Heat Pumps (heating)	2	3
Air-Source Heat Pumps (heating)	2	4
Air-Source Heat Pumps (heating)	2	5
Air-Source Heat Pumps (heating)	2	6
Air-Source Heat Pumps (heating)	2	7
Air-Source Heat Pumps (heating)	2	8
Air-Source Heat Pumps (heating)	2	9
Natural Gas Furnaces	3	1
Natural Gas Furnaces	3	2
Natural Gas Furnaces	3	3
Natural Gas Furnaces	3	4
Natural Gas Furnaces	3	5
Natural Gas Furnaces	3	6
Natural Gas Furnaces	3	7
Natural Gas Furnaces	3	8
Natural Gas Furnaces	3	9
Natural Gas Boilers & Other	4	1
Natural Gas Boilers & Other	4	2
Natural Gas Boilers & Other	4	3
Natural Gas Boilers & Other	4	4
Natural Gas Boilers & Other	4	5
Natural Gas Boilers & Other	4	6
Natural Gas Boilers & Other	4	7
Natural Gas Boilers & Other	4	8
Natural Gas Boilers & Other	4	9
Propane Furnaces & Other	5	1
Propane Furnaces & Other	5	2
Propane Furnaces & Other	5	3
Propane Furnaces & Other	5	4
Propane Furnaces & Other	5	5
Propane Furnaces & Other	5	6
Propane Furnaces & Other	5	7
Propane Furnaces & Other	5	8
Propane Furnaces & Other	5	9
Distillate Fuel Oil & Kerosene Furnaces	6	1
Distillate Fuel Oil & Kerosene Furnaces	6	2
Distillate Fuel Oil & Kerosene Furnaces	6	3
Distillate Fuel Oil & Kerosene Furnaces	6	4
Distillate Fuel Oil & Kerosene Furnaces	6	5
Distillate Fuel Oil & Kerosene Furnaces	6	6
Distillate Fuel Oil & Kerosene Furnaces	6	7
Distillate Fuel Oil & Kerosene Furnaces	6	8
Distillate Fuel Oil & Kerosene Furnaces	6	9
Distillate Fuel Oil & Kerosene Boilers & Other	7	1
Distillate Fuel Oil & Kerosene Boilers & Other	7	2
Distillate Fuel Oil & Kerosene Boilers & Other	7	3
Distillate Fuel Oil & Kerosene Boilers & Other	7	4
Distillate Fuel Oil & Kerosene Boilers & Other	7	5
Distillate Fuel Oil & Kerosene Boilers & Other	7	6
Distillate Fuel Oil & Kerosene Boilers & Other	7	7
Distillate Fuel Oil & Kerosene Boilers & Other	7	8
Distillate Fuel Oil & Kerosene Boilers & Other	7	9
Wood Stoves & Other	8	1
Wood Stoves & Other	8	2
Wood Stoves & Other	8	3
Wood Stoves & Other	8	4
Wood Stoves & Other	8	5
Wood Stoves & Other	8	6
Wood Stoves & Other	8	7
Wood Stoves & Other	8	8
Wood Stoves & Other	8	9
Ground-Source Heat Pumps (heating)	9	1
Ground-Source Heat Pumps (heating)	9	2
Ground-Source Heat Pumps (heating)	9	3
Ground-Source Heat Pumps (heating)	9	4
Ground-Source Heat Pumps (heating)	9	5
Ground-Source Heat Pumps (heating)	9	6
Ground-Source Heat Pumps (heating)	9	7
Ground-Source Heat Pumps (heating)	9	8
Ground-Source Heat Pumps (heating)	9	9
Natural Gas Heat Pumps (heating)	10	1
Natural Gas Heat Pumps (heating)	10	2
Natural Gas Heat Pumps (heating)	10	3
Natural Gas Heat Pumps (heating)	10	4
Natural Gas Heat Pumps (heating)	10	5
Natural Gas Heat Pumps (heating)	10	6
Natural Gas Heat Pumps (heating)	10	7
Natural Gas Heat Pumps (heating)	10	8
Natural Gas Heat Pumps (heating)	10	9
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	1
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	2
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	3
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	4
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	5
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	6
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	7
Room/Window/Wall Air Conditioners (excludes portable ACs)	11	8
