,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
AAAA_DATEX,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
AAA_OFFSET,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
STEOMONTH,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025,NOV 2025
TIMESTAMP,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35,11/06/2025 15:47:35
ABRIPUS,,,,,,,-0.003442,-0.0021328493151,9.4438356164E-05,5.6229508197E-05,-0.0019162465753,-0.0003397260274,-6.8493150685E-05,0.00051092896175,0.00021917808219,-6.8493150685E-05,0.00033424657534,8.4699453552E-05,-0.00017808219178,-0.0033315068493,-0.0029808219178,-0.0040792349727,-0.0047424657534,-0.0024684931507,-0.0034219178082,-0.0022240437158,-0.0029095890411,-0.0041479452055,-0.0039726027397,-0.0056803278689,-0.0046624958904,9.3145205479E-05,-0.00099188219178,5.1833333333E-05,0.00038633972603,0.00015081369863,-4.6465753425E-05,-5.3278688525E-06,0.00026036438356,7.1298630137E-05,0.00019169315068,0.00015581420765,8.7715068493E-05,0.00079999452055,0.00061657534247,0.00045584153005,0.00046849589041,0.00033702465753,0.00038093424658,0.00053278142077,0.00044378223014,0.000434537,0.000434537
ABTCBUS,,,,,,,0.005219632,0.005088384,0.0007572,0,0.003866768,0.000464416,-1.5144E-05,-0.000928832,0.000156488,0.000282688,0,0,0.000156488,0.005991976,0.005214584,0.006875376,0.008627032,0.003654752,0.006289808,0.003831432,0.00615856,0.007501328,0.007516472,0.010318112,0.00832321812,0.0006414746,0.00178154016,9.5856472E-05,-0.00079230884,-0.000242233328,1.014648E-05,-4.99752E-06,-0.000378716104,-0.000141323808,-0.000348468488,-0.000292789048,-0.000192147072,-0.001554965728,-0.001191423912,-0.00078705892,-0.000832930096,-0.000661257712,-0.0006463964,-0.001034834952,-0.00044407256,0,0
ABTCPUS,,,,,,,0.0028328767123,0.0027616438356,0.00041095890411,0,0.002098630137,0.00025205479452,-8.2191780822E-06,-0.00050273224044,8.4931506849E-05,0.00015342465753,0,0,8.4931506849E-05,0.0032520547945,0.0028301369863,0.0037213114754,0.0046821917808,0.0019835616438,0.0034136986301,0.0020737704918,0.0033424657534,0.0040712328767,0.0040794520548,0.0055846994536,0.0045173013699,0.00034815068493,0.00096690410959,5.1882513661E-05,-0.00043001369863,-0.00013146849315,5.5068493151E-06,-2.7049180328E-06,-0.00020554246575,-7.6701369863E-05,-0.0001891260274,-0.0001584726776,-0.00010428493151,-0.00084393424658,-0.00064662739726,-0.00042599726776,-0.00045206027397,-0.00035888767123,-0.00035082191781,-0.00056010655738,-0.00024101369863,0,0
ARTCBUS,1.0142263409,0.99812078124,1.0563649293,1.1596210873,1.1530315391,0.96220673747,0.82274342388,0.82561648008,0.903882924,0.992393892,1.029688212,1.085662872,1.130117436,1.13651454,1.096313652,1.170032976,1.076253024,1.101834804,1.148963676,1.173118716,1.178102352,1.175892564,1.223532408,1.262213652,1.3245456,1.276142616,1.256911488,1.24003614,1.219491084,1.303993908,1.3232366556,1.2611649915,1.1970376007,1.0119698266,0.87308145221,0.87776877754,0.85948927184,0.8266975243,0.78334720397,0.79263607769,0.83166043607,0.8533658763,0.84918107534,0.79276270584,0.84388281331,0.832273921,0.89808556177,0.91613404176,0.89175822868,0.88829417032,0.86551513799,0.8533664,0.8558255
ARTCPUS,0.41873151052,0.4109562929,0.436128766,0.47875890217,0.47603835415,0.3961694028,0.33967624658,0.34086241096,0.37317534247,0.40859836066,0.42511506849,0.44822465753,0.46657808219,0.46793715847,0.45262191781,0.48305753425,0.44433972603,0.45365846995,0.47435890411,0.48433150685,0.4863890411,0.48415027322,0.50514520548,0.52111506849,0.54684931507,0.52542622951,0.5189260274,0.51195890411,0.50347671233,0.53689344262,0.54630890685,0.52068212055,0.49420661096,0.41665836066,0.36045870685,0.36239390685,0.35484706575,0.34037619126,0.3234112,0.3272461863,0.34335770685,0.35135635246,0.35059124384,0.32729846575,0.3484038137,0.3426721612,0.37078185479,0.37823331507,0.36816956438,0.36573737978,0.35733487863,0.35231922,0.35333444932
ARTCZUS,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636,6.636
