class,ifuel,iage,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1,1,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445,14.22547287,14.41030829,13.5574626,13.02670987,13.00167717,13.83842856,14.68821039,15.36739559,15.65610683,16.313783,16.313783,16.313783
1,1,2,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445,14.22547287,14.41030829,13.5574626,13.02670987,13.00167717,13.83842856,14.68821039,15.36739559,15.65610683,16.313783,16.313783
1,1,3,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445,14.22547287,14.41030829,13.5574626,13.02670987,13.00167717,13.83842856,14.68821039,15.36739559,15.65610683,16.313783
1,1,4,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445,14.22547287,14.41030829,13.5574626,13.02670987,13.00167717,13.83842856,14.68821039,15.36739559,15.65610683
1,1,5,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445,14.22547287,14.41030829,13.5574626,13.02670987,13.00167717,13.83842856,14.68821039,15.36739559
1,1,6,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445,14.22547287,14.41030829,13.5574626,13.02670987,13.00167717,13.83842856,14.68821039
1,1,7,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445,14.22547287,14.41030829,13.5574626,13.02670987,13.00167717,13.83842856
1,1,8,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445,14.22547287,14.41030829,13.5574626,13.02670987,13.00167717
1,1,9,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445,14.22547287,14.41030829,13.5574626,13.02670987
1,1,10,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445,14.22547287,14.41030829,13.5574626
1,1,11,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445,14.22547287,14.41030829
1,1,12,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445,14.22547287
1,1,13,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372,14.0140445
1,1,14,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494,13.60152372
1,1,15,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198,12.89975494
1,1,16,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801,12.53579198
1,1,17,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908,12.00487801
1,1,18,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156,13.43681908
1,1,19,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756,13.23539156
1,1,20,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164,12.97992756
1,1,21,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073,11.58382164
1,1,22,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379,12.20337073
1,1,23,8.005617613,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699,12.34196379
1,1,24,7.925561437,8.005617613,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194,11.9866699
1,1,25,7.846305822,7.925561437,8.005617613,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345,10.81666194
1,1,26,7.767842764,7.846305822,7.925561437,8.005617613,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021,10.39632345
1,1,27,7.690164336,7.767842764,7.846305822,7.925561437,8.005617613,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661,10.29236021
1,1,28,7.613262693,7.690164336,7.767842764,7.846305822,7.925561437,8.005617613,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225,10.18943661
1,1,29,7.537130066,7.613262693,7.690164336,7.767842764,7.846305822,7.925561437,8.005617613,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823,10.08754225
