ivtyp,iregn,ildv,iage,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1,1,1,11810,9804,7797,7639,6630,6977,7979,13088,10070
1,1,1,2,9440,9330,9220,8147,8037,6403,6994,13924,13180
1,1,1,3,9865,10506,11146,9811,10523,8830,8585,13838,14093
1,1,1,4,10305,10450,10594,10110,10256,9417,8720,13879,14074
1,1,1,5,11573,11491,11409,10394,11203,10353,9933,13678,13880
1,1,1,6,11746,11885,12024,11356,11859,11334,10828,13774,13654
1,1,1,7,11585,11967,12348,11620,11854,11449,11047,13639,13737
1,1,1,8,11478,11775,12073,11862,11875,11370,11101,13248,13607
1,1,1,9,11087,11434,11781,11579,11898,11315,10965,12973,13215
1,1,1,10,10805,11164,11524,11296,11523,11328,10885,12600,12937
1,1,1,11,10313,10729,11145,10989,11160,10962,10844,12159,12570
1,1,1,12,9891,10336,10782,10656,10773,10617,10466,11951,12126
1,1,1,13,9296,9803,10309,10258,10351,10188,10106,11503,11921
1,1,1,14,8753,9284,9815,9828,9913,9803,9688,11371,11478
1,1,1,15,8192,8746,9301,9339,9417,9342,9236,11021,11345
1,1,1,16,7709,8245,8782,8850,8945,8884,8830,10588,10998
1,1,1,17,7278,7775,8273,8345,8436,8430,8344,10461,10550
1,1,1,18,6847,7345,7844,7851,7949,7950,7950,10102,10430
1,1,1,19,6627,7046,7465,7440,7418,7465,7494,9882,10062
1,1,1,20,6164,6640,7117,7081,6984,6938,7002,9599,9846
1,1,1,21,5706,6312,6918,6745,6688,6521,6491,9563,9560
1,1,1,22,5209,5878,6547,6568,6360,6261,6109,9344,9500
1,1,1,23,4890,5519,6148,6208,6211,5953,5877,9186,9259
1,1,1,24,4766,5223,5681,5811,5859,5781,5627,9323,9084
1,1,1,25,3274,3611,3948,4025,4065,4099,4215,8400,8456
1,2,1,1,11199,9265,7331,7105,6261,6488,7536,12458,9561
1,2,1,2,8840,8726,8611,7857,7538,5786,5978,13232,12503
1,2,1,3,9145,9694,10243,9078,9776,8342,7832,13016,13458
1,2,1,4,9614,9764,9913,9522,9544,8858,8072,13086,13397
1,2,1,5,10911,10834,10757,9849,10685,9749,9274,13068,13166
1,2,1,6,11136,11243,11349,10789,11322,10854,10299,13317,13092
1,2,1,7,10847,11195,11543,10954,11257,10951,10571,13201,13332
1,2,1,8,10679,11003,11328,11083,11163,10841,10607,12769,13217
1,2,1,9,10445,10682,10918,10851,11143,10736,10455,12443,12785
1,2,1,10,10147,10391,10635,10472,10819,10694,10312,11983,12455
1,2,1,11,9728,10041,10354,10139,10341,10359,10261,11534,11989
1,2,1,12,9297,9624,9951,9880,9917,9871,9896,11276,11540
1,2,1,13,8759,9159,9558,9480,9585,9476,9393,10846,11285
1,2,1,14,8310,8707,9104,9107,9134,9110,8992,10721,10856
1,2,1,15,7776,8198,8620,8651,8739,8674,8606,10387,10727
1,2,1,16,7347,7733,8120,8189,8255,8292,8213,10007,10390
1,2,1,17,7059,7353,7646,7717,7784,7814,7803,9879,10000
1,2,1,18,6620,6961,7301,7243,7327,7405,7385,9575,9873
1,2,1,19,6372,6670,6967,6914,6829,6965,6970,9370,9561
1,2,1,20,6016,6329,6642,6618,6523,6467,6570,9076,9354
1,2,1,21,5490,5955,6419,6287,6240,6162,6077,9012,9054
1,2,1,22,5092,5581,6071,6083,5947,5907,5754,8835,8975
1,2,1,23,4793,5246,5700,5798,5731,5586,5564,8707,8779
1,2,1,24,4499,4909,5319,5393,5506,5430,5220,8824,8642
1,2,1,25,3299,3573,3846,3917,3859,3915,3997,7899,7976
1,3,1,1,12284,9931,7579,7406,6453,7048,8246,13702,10970
1,3,1,2,10341,10324,10308,9192,9467,6958,7696,14403,13925
1,3,1,3,10752,11217,11681,10446,11225,9848,9446,14482,14740
1,3,1,4,11300,11352,11404,10843,11065,10466,9903,14624,14960
1,3,1,5,12429,12278,12126,11208,11999,11200,10929,14475,14655
1,3,1,6,12463,12583,12704,11981,12461,11978,11413,14534,14472
1,3,1,7,12079,12478,12876,12236,12441,12034,11654,14137,14522
1,3,1,8,11785,12191,12598,12335,12418,11964,11662,13699,14117
1,3,1,9,11598,11860,12121,12064,12398,11905,11549,13309,13678
1,3,1,10,11122,11433,11743,11601,12029,11864,11434,12832,13283
1,3,1,11,10632,11032,11433,11154,11448,11482,11347,12385,12802
1,3,1,12,10178,10552,10925,10906,10973,10912,10973,12097,12357
1,3,1,13,9605,10050,10495,10405,10649,10434,10353,11717,12072
1,3,1,14,9077,9528,9979,9972,10113,10110,9889,11438,11691
1,3,1,15,8451,8968,9484,9468,9639,9591,9550,11066,11417
1,3,1,16,8007,8460,8913,8976,9095,9140,9027,10726,11046
1,3,1,17,7621,7977,8334,8440,8590,8602,8598,10511,10690
1,3,1,18,7060,7510,7960,7863,8086,8125,8066,10219,10481
1,3,1,19,6706,7145,7585,7513,7476,7629,7626,9967,10182
1,3,1,20,6250,6676,7103,7166,7150,7042,7153,9708,9937
1,3,1,21,5654,6245,6836,6689,6803,6711,6545,9658,9669
1,3,1,22,5167,5805,6444,6453,6362,6418,6248,9470,9607
1,3,1,23,4722,5324,5926,6082,6136,5991,5999,9390,9386
1,3,1,24,4359,4938,5517,5585,5795,5771,5596,9449,9312
1,3,1,25,2985,3360,3734,3806,3853,3900,4005,8497,8558
1,4,1,1,12827,10562,8296,8064,7312,7587,8647,14029,11322
1,4,1,2,9618,10189,10761,9686,9908,7799,8632,14923,14342
1,4,1,3,10311,11042,11773,10764,11503,10414,10475,14975,15378
1,4,1,4,10941,11185,11429,11093,11385,10931,10741,15106,15639
1,4,1,5,12130,12009,11889,11413,12239,11507,11321,14768,15101
1,4,1,6,12166,12259,12353,11917,12618,12185,11627,14756,14760
1,4,1,7,11836,12153,12469,12155,12515,12147,11823,14316,14723
1,4,1,8,11548,11912,12276,12223,12510,12024,11812,13886,14294
1,4,1,9,11384,11618,11852,12014,12485,11966,11594,13494,13850
1,4,1,10,11028,11289,11551,11556,12144,11911,11524,12999,13467
1,4,1,11,10710,10943,11175,11126,11542,11575,11430,12534,12963
1,4,1,12,10308,10506,10705,10851,11147,11064,11093,12251,12503
1,4,1,13,9751,10014,10277,10399,10794,10637,10507,11879,12225
1,4,1,14,9215,9516,9818,10006,10341,10344,10141,11530,11853
1,4,1,15,8623,8994,9364,9507,9871,9851,9777,11174,11506
1,4,1,16,8195,8522,8850,9075,9367,9445,9335,10858,11152
1,4,1,17,7785,8050,8315,8528,8861,8911,8874,10664,10827
1,4,1,18,7329,7661,7993,8043,8338,8475,8425,10391,10640
1,4,1,19,6930,7265,7600,7679,7793,7913,7951,10187,10363
1,4,1,20,6508,6842,7175,7352,7478,7442,7468,9975,10162
1,4,1,21,5846,6368,6891,6890,7118,7089,6942,9913,9946
1,4,1,22,5439,5979,6520,6662,6708,6784,6677,9776,9879
1,4,1,23,4847,5447,6046,6285,6426,6352,6357,9743,9718
1,4,1,24,4604,5130,5656,5835,6097,6160,5980,9816,9686
1,4,1,25,3073,3353,3632,3741,3771,3853,4057,9126,9165
1,5,1,1,12843,10523,8203,8079,7544,7539,8489,13962,11162
1,5,1,2,10140,10213,10287,9395,9262,8122,8185,14734,14229
1,5,1,3,10737,11256,11776,10512,11149,10224,10278,14711,14994
1,5,1,4,11031,11253,11475,10957,11253,10833,10343,14710,14986
1,5,1,5,12022,12059,12095,11263,11975,11580,11236,14415,14671
1,5,1,6,12149,12340,12530,11920,12424,12124,11687,14452,14377
1,5,1,7,11948,12347,12746,12083,12377,12166,11851,14172,14408
1,5,1,8,11678,12090,12502,12239,12309,12046,11834,13799,14134
1,5,1,9,11410,11786,12161,11996,12289,11925,11668,13481,13761
1,5,1,10,11146,11464,11782,11653,11944,11870,11512,13043,13442
1,5,1,11,10662,11030,11397,11217,11483,11510,11405,12590,13007
1,5,1,12,10166,10593,11020,10857,10976,11026,11045,12312,12554
1,5,1,13,9525,10044,10562,10499,10566,10516,10522,11917,12284
1,5,1,14,9120,9578,10037,10050,10152,10118,10025,11690,11889
1,5,1,15,8561,9022,9483,9540,9680,9709,9607,11300,11661
1,5,1,16,8142,8592,9042,9009,9141,9244,9213,10907,11273
1,5,1,17,7888,8219,8550,8590,8621,8736,8762,10747,10871
