YEAR,ICD_19,ICL_19,IGP_19,ILDV_19,IOWN_19,SALES_19 (millions)
2019,1,1,2,1,1,0.000195403
2019,1,1,3,1,2,1.24E-05
2019,1,1,3,1,1,0.000585172
2019,1,1,5,1,1,0.000329537
2019,1,1,8,2,1,7.10E-05
2019,1,1,8,2,4,1.21E-05
2019,1,1,8,1,2,2.03E-06
2019,1,1,8,1,3,1.53E-05
2019,1,1,8,1,1,0.005609907
2019,1,1,9,3,2,3.42E-06
2019,1,1,9,3,3,4.36E-07
2019,1,1,9,3,1,0.000481964
2019,1,1,9,1,2,2.42E-05
2019,1,1,9,1,3,4.67E-06
2019,1,1,9,1,1,0.017403666
2019,1,1,11,2,1,4.40E-05
2019,1,1,11,2,4,7.02E-06
2019,1,1,11,1,1,0.000339123
2019,1,2,1,1,2,0.000380597
2019,1,2,1,1,3,4.22E-06
2019,1,2,1,1,1,0.002441127
2019,1,2,2,1,1,1.06E-06
2019,1,2,3,1,2,8.04E-06
2019,1,2,3,1,1,0.002155123
2019,1,2,4,7,1,1.62E-05
2019,1,2,4,7,4,1.01E-06
2019,1,2,4,14,1,1.02E-06
2019,1,2,4,6,1,0.000106188
2019,1,2,4,6,4,4.05E-06
2019,1,2,4,1,2,5.38E-05
2019,1,2,4,1,1,0.003547728
2019,1,2,5,5,1,3.73E-05
2019,1,2,5,5,4,7.25E-06
2019,1,2,5,1,1,0.000448418
2019,1,2,6,3,2,1.13E-06
2019,1,2,6,3,3,3.40E-05
2019,1,2,6,3,1,0.003810796
2019,1,2,6,2,1,1.42E-05
2019,1,2,6,2,4,4.05E-06
2019,1,2,6,1,2,2.12E-05
2019,1,2,6,1,3,2.12E-05
2019,1,2,6,1,1,0.015207727
2019,1,2,7,3,2,1.39E-05
2019,1,2,7,3,3,0.000122814
2019,1,2,7,3,1,0.00469089
2019,1,2,7,2,1,0.000111575
2019,1,2,7,2,4,3.59E-05
2019,1,2,7,1,2,6.89E-05
2019,1,2,7,1,3,0.00011614
2019,1,2,7,1,1,0.013810632
2019,1,2,8,3,3,1.26E-07
2019,1,2,8,3,1,3.02E-05
2019,1,2,8,1,2,2.97E-06
2019,1,2,8,1,3,9.07E-05
2019,1,2,8,1,1,0.01900867
2019,1,2,9,3,3,4.77E-07
2019,1,2,9,3,1,0.001086248
2019,1,2,9,1,2,1.76E-06
2019,1,2,9,1,3,3.06E-06
2019,1,2,9,1,1,0.010061227
2019,1,2,11,3,1,1.40E-06
2019,1,2,11,1,1,0.003878026
2019,1,3,6,1,2,4.72E-06
2019,1,3,6,1,3,1.89E-06
2019,1,3,6,1,1,8.59E-05
2019,1,3,7,3,2,9.12E-09
2019,1,3,7,3,3,1.23E-06
2019,1,3,7,3,1,1.18E-05
2019,1,3,7,1,2,2.67E-07
2019,1,3,7,1,3,4.73E-05
2019,1,3,7,1,1,0.000465152
2019,1,3,9,1,2,2.06E-06
2019,1,3,9,1,3,5.15E-06
2019,1,3,9,1,1,0.000205823
2019,1,3,1,6,3,9.16E-06
2019,1,3,1,6,1,0.00017193
2019,1,3,1,6,4,6.10E-06
2019,1,3,1,2,1,3.15E-06
2019,1,3,1,1,2,0.000270893
2019,1,3,1,1,3,8.63E-06
2019,1,3,1,1,1,0.005189869
2019,1,3,2,16,3,3.29E-06
2019,1,3,2,16,1,0.00070395
2019,1,3,2,1,2,1.91E-05
2019,1,3,2,1,1,0.012416089
2019,1,3,3,4,1,0.000254726
2019,1,3,3,4,4,3.06E-06
2019,1,3,3,3,2,1.04E-06
2019,1,3,3,3,1,0.000393743
2019,1,3,3,1,2,0.000140361
2019,1,3,3,1,3,1.03E-06
2019,1,3,3,1,1,0.011940961
2019,1,3,4,5,1,0.000235274
2019,1,3,4,5,4,1.64E-05
2019,1,3,4,1,2,1.84E-05
2019,1,3,4,1,3,1.01E-06
2019,1,3,4,1,1,0.009069249
2019,1,3,5,1,1,0.000315161
2019,1,4,1,4,2,1.03E-06
2019,1,4,1,4,3,3.21E-05
2019,1,4,1,4,1,0.000838317
2019,1,4,1,4,4,4.55E-05
2019,1,4,1,7,3,1.24E-05
2019,1,4,1,7,1,0.001489348
2019,1,4,1,7,4,4.06E-05
2019,1,4,1,16,2,0.000166937
2019,1,4,1,16,3,5.64E-05
2019,1,4,1,16,1,0.001573379
2019,1,4,1,5,3,8.26E-06
2019,1,4,1,5,1,0.001237873
2019,1,4,1,5,4,2.90E-05
2019,1,4,1,2,1,6.16E-06
2019,1,4,1,1,2,0.001012099
2019,1,4,1,1,3,0.000177107
2019,1,4,1,1,1,0.029804036
2019,1,4,2,16,2,5.10E-05
2019,1,4,2,16,3,3.17E-05
2019,1,4,2,16,1,0.004849567
2019,1,4,2,5,1,0.000348825
2019,1,4,2,5,4,9.13E-06
2019,1,4,2,6,1,0.000130126
2019,1,4,2,6,4,2.03E-06
2019,1,4,2,1,2,0.000446653
2019,1,4,2,1,3,2.26E-05
2019,1,4,2,1,1,0.043534191
2019,1,4,3,5,1,0.00012028
2019,1,4,3,5,4,6.62E-06
2019,1,4,3,1,1,0.002933682
2019,1,4,4,15,2,1.03E-06
2019,1,4,4,15,1,0.00240164
2019,1,4,4,15,4,6.69E-05
2019,1,4,4,16,1,0.00030736
2019,1,4,4,5,1,7.94E-06
2019,1,4,4,5,4,1.59E-06
2019,1,4,4,1,2,1.46E-05
2019,1,4,4,1,1,0.008003698
2019,1,4,5,16,1,1.13E-06
2019,1,4,5,1,1,0.001339466
2019,1,4,6,3,2,0.000225809
2019,1,4,6,3,3,0.00010245
2019,1,4,6,3,1,0.002848744
2019,1,4,6,5,3,1.06E-06
2019,1,4,6,5,1,0.000140331
2019,1,4,6,5,4,9.50E-06
2019,1,4,6,1,2,7.25E-05
2019,1,4,6,1,3,8.19E-06
2019,1,4,6,1,1,0.00151096
2019,1,4,7,3,3,1.67E-06
2019,1,4,7,3,1,1.38E-06
2019,1,4,7,1,2,9.95E-07
2019,1,4,7,1,3,4.60E-05
2019,1,4,7,1,1,3.76E-05
2019,1,4,9,1,2,3.79E-05
2019,1,4,9,1,3,2.24E-05
2019,1,4,9,1,1,0.006995314
2019,1,4,10,1,2,4.37E-06
2019,1,4,10,1,1,9.89E-05
2019,1,5,6,1,2,0.000135725
2019,1,5,6,1,1,0.007260649
2019,1,5,9,1,2,1.02E-05
2019,1,5,9,1,3,2.04E-06
2019,1,5,9,1,1,0.00445341
2019,1,5,11,1,1,0.000638302
2019,1,5,1,3,2,0.000226482
2019,1,5,1,3,3,2.69E-05
2019,1,5,1,3,1,0.000718341
2019,1,5,1,16,1,0.000314525
2019,1,5,1,1,2,0.000463892
2019,1,5,1,1,3,7.53E-05
2019,1,5,1,1,1,0.008732944
2019,1,5,2,16,1,0.000872897
2019,1,5,2,1,2,4.06E-05
2019,1,5,2,1,1,0.010469043
2019,1,5,3,1,1,0.001118584
2019,1,5,4,1,2,2.77E-05
2019,1,5,4,1,1,0.000803304
2019,1,5,5,15,1,0.000317998
2019,1,5,5,15,4,2.75E-05
2019,1,5,5,5,1,3.68E-05
2019,1,5,5,5,4,6.47E-06
2019,1,5,5,1,1,0.001048688
2019,1,6,1,1,1,2.18E-05
2019,1,6,2,1,1,0.000427261
2019,1,6,3,4,1,2.32E-05
2019,1,6,3,1,1,6.40E-05
2019,1,6,4,1,1,0.001045303
2019,1,6,5,16,1,4.25E-06
2019,1,6,5,1,1,0.000607976
2019,1,6,7,1,2,5.97E-06
2019,1,6,7,1,3,1.67E-05
2019,1,6,7,1,1,0.000730503
2019,1,6,8,3,2,3.29E-05
2019,1,6,8,3,3,3.91E-05
2019,1,6,8,3,1,0.001990632
2019,1,6,8,1,2,3.53E-05
2019,1,6,8,1,3,5.75E-05
2019,1,6,8,1,1,0.002330981
2019,1,6,9,1,2,1.54E-05
2019,1,6,9,1,1,0.001593833
2019,1,6,11,1,2,2.83E-05
2019,1,6,11,1,1,0.003656973
2019,1,7,6,1,2,0.000192864
2019,1,7,6,1,3,1.86E-05
2019,1,7,6,1,1,0.02648005
2019,1,7,7,1,2,0.000134817
2019,1,7,7,1,3,0.000104356
2019,1,7,7,1,1,0.010255578
2019,1,7,8,2,1,4.68E-05
2019,1,7,8,2,4,1.22E-05
2019,1,7,8,1,2,0.000191813
2019,1,7,8,1,3,9.03E-05
2019,1,7,8,1,1,0.022029382
2019,1,7,9,16,3,1.62E-05
2019,1,7,9,16,1,0.007134719
2019,1,7,9,5,1,0.000355091
2019,1,7,9,5,4,7.04E-06
2019,1,7,9,2,1,2.17E-05
2019,1,7,9,2,4,5.42E-06
2019,1,7,9,1,2,0.000756788
2019,1,7,9,1,3,0.000108687
2019,1,7,9,1,1,0.138302886
2019,1,7,10,3,1,0.000343145
2019,1,7,10,1,2,4.19E-06
2019,1,7,10,1,1,0.003519114
2019,1,7,11,1,2,2.92E-06
2019,1,7,11,1,1,0.001200122
2019,1,7,1,7,3,1.94E-05
2019,1,7,1,7,1,0.000819855
