Census Division,Class,Vocational ?,Vintage,Fuel,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,2,0,1,1,2236,2812,2247,5871,4308,4527,3755,4435,2651,2595,4231,2062,3545
1,2,0,1,2,4130,7426,7335,7549,8156,8527,5772,8998,14507,13774,13108,12377,15515
1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,4,38,16,3,25,0,1,21,26,18,0,0,0,0
1,2,0,1,5,7046,7101,4918,18835,13591,17040,10795,13921,4441,4567,1852,7040,0
1,2,0,1,6,0,0,0,0,0,0,0,0,0,0,146,228,1124
1,2,0,2,1,3748,2536,2812,2606,5871,5023,4527,4697,6538,3278,2857,4598,2064
1,2,0,2,2,6453,7612,7426,8179,7549,9126,8527,7578,20407,17593,14364,16027,15486
1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,2,4,3,74,16,3,25,0,1,28,55,17,0,0,0
1,2,0,2,5,10082,5615,7101,5629,18835,16239,17040,16468,9848,4043,4618,2329,6975
1,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0,205,524
1,2,0,3,1,1451,3758,2835,2845,2965,5859,5737,4638,4805,6453,2826,2652,3959
1,2,0,3,2,6711,8569,11094,7538,9023,7506,10096,8554,14489,20306,16871,12923,16172
1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,3,4,0,3,110,25,3,26,0,0,29,54,17,0,0
1,2,0,3,5,3737,7675,4183,7106,6340,19060,18886,17577,9123,10417,4274,3530,1651
1,2,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,245
1,2,0,4,1,1506,1465,3768,2880,2878,2948,5847,5734,4663,4808,6344,2562,2596
1,2,0,4,2,12017,6661,10685,10781,7649,8986,7463,10104,14404,14014,20088,15417,12753
1,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,4,4,0,0,3,99,33,3,27,0,0,30,52,17,0
1,2,0,4,5,33,3763,5267,4224,7110,6309,19284,18818,11669,8604,10549,4314,3109
1,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,5,1,4907,1504,1478,3804,2925,2859,2930,5827,5697,4712,4774,6305,2413
1,2,0,5,2,17729,11753,6611,10820,10468,7640,8949,7551,16902,14262,13874,19098,14978
1,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,5,4,0,0,0,3,88,32,3,27,0,1,31,52,15
1,2,0,5,5,0,32,3789,5288,4265,7084,6277,19509,12073,11618,8578,10524,4193
1,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,6,1,5349,4865,1502,1488,3840,2908,2839,2944,5687,4575,4629,4760,6200
1,2,0,6,2,16318,17547,11488,6153,10954,10372,7630,8927,13444,16648,14136,13469,18823
1,2,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
