Class,Powertrain,Vintage,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 
1,1,1 ,166916 ,200583 ,250504 ,80038 ,262883 ,231134 ,289211 ,262601 ,282691 ,318424 ,275781 ,345896 ,209051 ,216847 ,63869 ,59334 ,157967.592
1,1,2 ,160623 ,181805 ,194192 ,271921 ,80183 ,270347 ,209551 ,273777 ,248506 ,277982 ,320100 ,293124 ,342209 ,206096 ,213945 ,62916 ,58534
1,1,3 ,174200 ,178676 ,179760 ,215283 ,278216 ,84216 ,278135 ,225103 ,293999 ,277300 ,317107 ,386085 ,329084 ,382841 ,230743 ,239157 ,70433
1,1,4 ,122164 ,169934 ,154927 ,174762 ,193162 ,256251 ,75980 ,262011 ,211984 ,287696 ,277404 ,335410 ,380111 ,322854 ,375880 ,226195 ,234786
1,1,5 ,101034 ,119340 ,147555 ,150832 ,157026 ,178164 ,231519 ,71677 ,247090 ,207732 ,288211 ,293830 ,330687 ,373443 ,317432 ,368992 ,222375
1,1,6 ,88369 ,98884 ,103819 ,143924 ,135779 ,145105 ,161270 ,218815 ,67722 ,242588 ,208494 ,305849 ,290236 ,325495 ,367859 ,312199 ,363440
1,1,7 ,82179 ,86251 ,85786 ,100986 ,129205 ,125126 ,130985 ,152002 ,206174 ,66305 ,242809 ,220646 ,301278 ,284894 ,319748 ,360801 ,306657
1,1,8 ,60292 ,80137 ,74760 ,83371 ,90576 ,118961 ,112849 ,123347 ,143092 ,201680 ,66306 ,256731 ,217154 ,295467 ,279613 ,313331 ,354079
1,1,9 ,52331 ,58650 ,69290 ,72477 ,74594 ,83191 ,107026 ,106008 ,115832 ,139630 ,201188 ,69936 ,252047 ,212443 ,289279 ,273330 ,306740
1,1,10 ,108992 ,50782 ,50589 ,67011 ,64690 ,68346 ,74663 ,100295 ,99309 ,112757 ,138953 ,211689 ,68494 ,245984 ,207491 ,282095 ,266933
1,1,11 ,85605 ,105600 ,43733 ,48848 ,59717 ,59178 ,61243 ,69857 ,93808 ,96519 ,112032 ,145974 ,206997 ,66741 ,239870 ,202019 ,275058
1,1,12 ,79765 ,82905 ,90903 ,42210 ,43512 ,54605 ,53005 ,57276 ,65311 ,91134 ,95858 ,117642 ,142678 ,201611 ,65054 ,233443 ,196894
1,1,13 ,52898 ,77274 ,71389 ,87764 ,37611 ,39800 ,48925 ,49587 ,53565 ,63469 ,90538 ,100690 ,115022 ,139009 ,196577 ,63331 ,227593
1,1,14 ,41169 ,51150 ,66416 ,68795 ,78056 ,34338 ,35593 ,45685 ,46288 ,51957 ,62936 ,94924 ,98263 ,111855 ,135285 ,191014 ,61628
1,1,15 ,20084 ,39576 ,43706 ,63629 ,60828 ,70847 ,30529 ,33042 ,42396 ,44636 ,51220 ,65600 ,92095 ,95000 ,108223 ,130689 ,184793
1,1,16 ,41266 ,19189 ,33610 ,41616 ,55917 ,54873 ,62604 ,28168 ,30476 ,40634 ,43735 ,53062 ,63256 ,88493 ,91354 ,103908 ,125661
1,1,17 ,3649 ,39010 ,16123 ,31664 ,36185 ,49909 ,47975 ,57150 ,25706 ,28900 ,39391 ,44827 ,50625 ,60138 ,84196 ,86782 ,98852
1,1,18 ,3481 ,3482 ,33091 ,15335 ,27795 ,32605 ,44052 ,44214 ,52653 ,24609 ,28284 ,40761 ,43177 ,48589 ,57765 ,80746 ,83348
1,1,19 ,3306 ,3307 ,2941 ,31331 ,13400 ,24932 ,28649 ,40414 ,40550 ,50178 ,23975 ,29135 ,39083 ,41253 ,46460 ,55147 ,77200
1,1,20 ,3101 ,3102 ,2758 ,2749 ,27036 ,11870 ,21633 ,25955 ,36602 ,38162 ,48276 ,24388 ,27586 ,36875 ,38953 ,43801 ,52067
1,1,21 ,2870 ,2871 ,2553 ,2545 ,2341 ,23633 ,10164 ,19341 ,23198 ,33994 ,36232 ,48462 ,22789 ,25686 ,34361 ,36241 ,40811
1,1,22 ,2645 ,2645 ,2352 ,2345 ,2157 ,2037 ,20145 ,9046 ,17208 ,21447 ,32129 ,36208 ,45079 ,21123 ,23827 ,31825 ,33615
1,1,23 ,2433 ,2434 ,2164 ,2157 ,1985 ,1875 ,1734 ,17905 ,8037 ,15888 ,20243 ,32063 ,33633 ,41726 ,19567 ,22037 ,29477
1,1,24 ,2225 ,2225 ,1979 ,1972 ,1815 ,1714 ,1586 ,1532 ,15807 ,7373 ,14900 ,20072 ,29593 ,30933 ,38405 ,17982 ,20282
1,1,25 ,2022 ,2023 ,1799 ,1793 ,1650 ,1558 ,1441 ,1392 ,1344 ,14417 ,6875 ,14689 ,18419 ,27061 ,28308 ,35091 ,16454
1,1,26 ,1830 ,1831 ,1628 ,1623 ,1493 ,1410 ,1304 ,1260 ,1217 ,1221 ,13384 ,6748 ,13420 ,16769 ,24655 ,25751 ,31968
1,1,27 ,1642 ,1642 ,1460 ,1456 ,1339 ,1265 ,1170 ,1130 ,1091 ,1095 ,1123 ,13023 ,6112 ,12112 ,15146 ,22234 ,23256
1,1,28 ,1492 ,1492 ,1327 ,1322 ,1217 ,1149 ,1063 ,1027 ,992 ,995 ,1021 ,1107 ,11943 ,5585 ,11077 ,13831 ,20333
1,1,29 ,2318 ,1371 ,1219 ,1215 ,1118 ,1056 ,977 ,944 ,911 ,914 ,938 ,1017 ,1027 ,11042 ,5168 ,10233 ,12795
1,1,30 ,1879 ,2089 ,1098 ,1094 ,1007 ,951 ,880 ,850 ,821 ,823 ,845 ,916 ,925 ,930 ,10011 ,4678 ,9277
1,1,31 ,1533 ,1704 ,1683 ,992 ,913 ,862 ,798 ,770 ,744 ,746 ,766 ,830 ,838 ,843 ,849 ,9122 ,4269
1,1,32 ,1236 ,1373 ,1357 ,1503 ,817 ,772 ,714 ,690 ,666 ,668 ,686 ,744 ,751 ,755 ,760 ,764 ,8223
1,1,33 ,998 ,1110 ,1096 ,1214 ,1241 ,693 ,641 ,619 ,598 ,600 ,616 ,668 ,674 ,678 ,683 ,686 ,691
1,1,34 ,5099 ,5667 ,5598 ,6201 ,6339 ,6652 ,6154 ,5944 ,5740 ,5760 ,5908 ,6408 ,6469 ,6508 ,6552 ,6586 ,6629
1,2,1 ,360333 ,326936 ,428919 ,332988 ,500499 ,506526 ,497911 ,439832 ,514011 ,483379 ,397880 ,412317 ,283944 ,311464 ,178833 ,84032 ,84384 
1,2,2 ,366291 ,354568 ,321021 ,432427 ,330753 ,454840 ,520012 ,509940 ,432259 ,508278 ,479567 ,385012 ,401974 ,276290 ,309628 ,179499 ,90635 
1,2,3 ,264918 ,360430 ,348152 ,323647 ,429524 ,300580 ,466950 ,532576 ,501160 ,427437 ,504269 ,464058 ,375354 ,391139 ,274662 ,310782 ,193603 
1,2,4 ,258342 ,260271 ,353355 ,350450 ,320970 ,389729 ,308099 ,477483 ,522586 ,494794 ,423402 ,487197 ,451708 ,364664 ,388224 ,275254 ,334676 
1,2,5 ,235684 ,253972 ,255324 ,355914 ,347774 ,291419 ,399734 ,315250 ,468826 ,516277 ,490436 ,409329 ,474534 ,439124 ,362179 ,389310 ,296606 
1,2,6 ,311218 ,231819 ,249277 ,257309 ,353382 ,315921 ,299057 ,409227 ,309697 ,463410 ,511999 ,474384 ,398900 ,461557 ,436360 ,363382 ,419730 
1,2,7 ,373000 ,305573 ,227130 ,250770 ,255026 ,320447 ,323627 ,305617 ,401307 ,305577 ,458756 ,494365 ,461479 ,387304 ,457840 ,437034 ,391083 
1,2,8 ,328330 ,365741 ,298989 ,228183 ,248210 ,230946 ,327822 ,330281 ,299299 ,395435 ,302101 ,442358 ,480268 ,447460 ,383667 ,457929 ,469716 
1,2,9 ,216672 ,321991 ,357917 ,300421 ,225889 ,224809 ,236298 ,334613 ,323503 ,294965 ,390998 ,291348 ,429812 ,465752 ,443328 ,383802 ,492251 
1,2,10 ,273572 ,212225 ,314710 ,359184 ,297031 ,204338 ,229732 ,240894 ,327339 ,318423 ,291293 ,376612 ,282733 ,416302 ,460876 ,442933 ,412055 
1,2,11 ,255468 ,266751 ,206493 ,314404 ,353533 ,267483 ,207873 ,233146 ,234597 ,320749 ,313043 ,279313 ,363831 ,272614 ,410091 ,458394 ,473398 
1,2,12 ,225607 ,248427 ,258847 ,205735 ,308623 ,317507 ,271378 ,210394 ,226440 ,229254 ,314480 ,299359 ,269106 ,349863 ,267823 ,406782 ,488602 
1,2,13 ,156411 ,218432 ,240014 ,256772 ,201072 ,275963 ,320724 ,273470 ,203450 ,220317 ,223792 ,299421 ,287162 ,257646 ,342215 ,264503 ,431697 
1,2,14 ,137744 ,150835 ,210197 ,237145 ,249955 ,179080 ,277653 ,321914 ,263395 ,197163 ,214215 ,212230 ,286081 ,273842 ,251013 ,336631 ,279589 
1,2,15 ,148432 ,131993 ,144230 ,206370 ,229388 ,221208 ,179036 ,276919 ,308091 ,253640 ,190489 ,201862 ,201491 ,271084 ,265103 ,245355 ,353579 
1,2,16 ,155509 ,141642 ,125686 ,141013 ,198787 ,202160 ,220232 ,177818 ,263924 ,295444 ,244033 ,178756 ,190849 ,190133 ,261340 ,258047 ,256633 
1,2,17 ,171056 ,147985 ,134502 ,122544 ,135457 ,174707 ,200712 ,218130 ,169006 ,252391 ,283468 ,228369 ,168536 ,179593 ,182792 ,253681 ,269163 
1,2,18 ,160539 ,161481 ,139404 ,130093 ,116776 ,118098 ,172072 ,197210 ,205664 ,160330 ,240227 ,263156 ,213595 ,157331 ,171281 ,176019 ,262497 
1,2,19 ,149932 ,150812 ,151374 ,134175 ,123364 ,101314 ,115749 ,168243 ,185032 ,194155 ,151858 ,221924 ,244929 ,198419 ,149316 ,164128 ,181246 
