owner/fleet,car/truck,region,vintage,powertrain,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1,1,1,1,530228.5758,420088.5628,436189.5799,447448.4832,482101.1432,502890.1713,452604.8018,450634.1705,421106.7845,366953.9015,379926.5409,340926.3721,367656.4537,326201.6303,283306.0142,285459.0513,305665.836,334293.7434,309455.8014,281527.8168,282208.6584,258806.1387,276739.0831,212538.6565,218239,162672,126690,115293,104992,115615
1,1,1,1,2,357.1612903,759.2139263,595.3662182,1722.219219,1925.488481,1837.015674,1551.745257,2376.693444,2459.278464,1068.764421,1329.23185,5477.017042,112.2072581,2127.416029,3123.625837,5246.489442,4680.069515,6563.807831,6734.051098,7831.065111,4281.142412,341.9428762,341.0049652,210.9743839,11,0,0,0,0,0
1,1,1,1,3,8.622016936,5,0,3.737319808,0,6430.925496,4702.521426,3435.065827,5191.958066,4382,6155.504666,7438.973083,5092.980366,6955.964069,3924.154712,7040.361557,15288.79667,17992.83718,19128.05725,16722.90582,14732.7747,9905.640623,4649.241564,1750.317228,1268,199,0,0,101,0
1,1,1,1,4,0,0,0,0,7.911683533,0,0,0,0,0,0,0,0,0,0,0,52.34393404,407.3594639,765.0673743,474.2796421,904.0164543,590.8147987,775,205.0319763,1116,260,218,473,542,380
1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986.062242,583,829,880.4808184,1453.12969,5201.988876,2632,2318,2862,3077,2994,831,1220
1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,752.0500933,423,594,2187.012935,2754.943154,408,33,233,679,883,2294
1,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,43.2,0,0,0,134.0358576,157.9669456,131.8637549,410.0232761,1988.723368,1279.04169,2942,2199,2787,3467,5583,2037
1,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938888889,0,0,1,1,0,0,0,0
1,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.50861079,401.4288919,405.7411804,642.9852886,903.2054959,1204.642467,6988.07815,3565,7254,12188,14366,31567,23075
1,1,1,1,16,0,0,0,0,0,161.6560985,1213,1633,3188.93275,4381.471771,9824.784413,7200.0583,16792.93818,13114.82527,9740.383935,19678.52995,11201.44362,16943.63089,18594.47531,15195.33048,12747.75838,8094.952263,9683.827626,6106.055657,9524,7943,7515,9310,11364,12680
1,1,1,2,1,454282,511786,416635,457821,434858,467385,506380,451589,445265,404072,365193,385669,358284,366065,341491,290326,277349,243662,298407,315398,290397,285631,281776,283311,225693,210783,156953,115132,109618,102923
1,1,1,2,2,66,333,773,613,1904,1416,1945,1498,2255,2249,1122,1151,1692,114,67,2994,5693,4880,6410,6813,7551,3522,319,477,232,11,0,0,0,0
1,1,1,2,3,54,14,19,24,11,138,6386,5763,2772,4360,2460,5861,7134,4597,6623,3727,6799,12889,18224,18191,14881,15030,6873,3039,2179,1471,603,0,0,1316
1,1,1,2,4,0,0,0,0,8,2,0,11,14,1,2,7,0,0,0,0,0,54,406,1035,421,876,592,741,595,447,12,89,200,487
1,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,578,822,849,1399,4956,2848,2236,2765,3001,2957,862
1,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,741,416,582,2122,2811,403,30,229,685,883
1,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,18,10,0,132,107,142,248,1575,533,3455,1314,2424,3366,5796
1,1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
