Test Class,Test Case,Status
test_steo_benchmark,test_steo_buildings_equals_aeo(record_property),inactive
test_steo_benchmark,test_steo_cmm_equals_aeo(record_property),inactive
test_steo_benchmark,test_steo_emm_equals_aeo(record_property),inactive
test_steo_benchmark,test_steo_industrial_equals_aeo(record_property),inactive
test_steo_benchmark,test_steo_integration_equals_aeo(record_property),inactive
test_steo_benchmark,test_steo_total_liquids_equals_aeo(record_property),inactive
test_steo_benchmark,test_steo_hsm_equals_aeo(record_property),inactive
test_steo_benchmark,test_steo_macro_equals_aeo(record_property),inactive
test_steo_benchmark,test_steo_ngmm_equals_aeo(record_property),inactive
test_nems_output_files_exist,test_gas_model_aimms_files_exist(record_property),active
test_nems_output_files_exist,test_coal_model_aimms_files_exist(record_property),active
test_nems_output_files_exist,test_restore_model_aimms_files_exist(record_property),active
test_nems_output_files_exist,test_hmm_model_aimms_files_exist(record_property),active
test_nems_output_files_exist,test_lfmm_gams_model_gdx_files_exist(record_property),active
test_nohup_output_file,test_nohup_contains_no_errors(record_property),active
test_nohup_output_file,test_nohup_contains_no_infeas(record_property),active
test_nohup_output_file,test_nohup_contains_no_duplicate_variable(record_property),active
test_nohup_output_file,test_convergence(record_property),inactive
test_total_energy,test_total_supply_equals_total_demand(record_property),active
test_lfmmlog_file,test_lfshell_err_logfile_existence(record_property),active
test_fuel_check,test_key_fuels_no_negative_quads_and_prices(record_property),active
test_refinery_check,test_refinery_util_rate_less_than_threshold(record_property),active
test_compare_totals,test_48_crude_federal(record_property),active
test_compare_totals,test_48_crude_nonfederal(record_property),active
test_compare_totals,test_48_crude_offshore(record_property),active
test_compare_totals,test_48_crude_onshore(record_property),active
test_compare_totals,test_48_crude_production(record_property),active
test_compare_totals,test_48_natgas_federal(record_property),active
test_compare_totals,test_48_natgas_nonfederal(record_property),active
test_compare_totals,test_48_natgas_offshore(record_property),active
test_compare_totals,test_48_natgas_onshore(record_property),active
test_compare_totals,test_48_natgas_production(record_property),active
test_compare_totals,test_biofuelsheat(record_property),inactive
test_compare_totals,test_coal_production_region(record_property),active
test_compare_totals,test_coal_production_types(record_property),active
test_compare_totals,test_commercial_consumption_total(record_property),active
test_compare_totals,test_commercial_consumption_total_fuel(record_property),active
test_compare_totals,test_commercial_consumption_total_subsect(record_property),active
test_compare_totals,test_commercial_delivered(record_property),active
test_compare_totals,test_commercial_delivered_fuel(record_property),active
test_compare_totals,test_commercial_delivered_region(record_property),active
test_compare_totals,test_commercial_delivered_subsect(record_property),active
test_compare_totals,test_cumulative_additions(record_property),active
test_compare_totals,test_cumulative_planned_additions(record_property),active
test_compare_totals,test_cumulative_retirements(record_property),active
test_compare_totals,test_cumulative_unplanned_additions(record_property),active
test_compare_totals,test_drygas_production(record_property),active
test_compare_totals,test_electric_combinedheatpower(record_property),active
test_compare_totals,test_electric_power_sector(record_property),active
test_compare_totals,test_enduse_generators(record_property),active
test_compare_totals,test_energy_consumed_use(record_property),active
test_compare_totals,test_energy_consumed_use2(record_property),active
test_compare_totals,test_industrial_consumption_total(record_property),active
test_compare_totals,test_industrial_consumption_total_fuel(record_property),active
test_compare_totals,test_industrial_consumption_total_subsect(record_property),active
test_compare_totals,test_industrial_delivered(record_property),active
test_compare_totals,test_industrial_delivered_fuel(record_property),active
test_compare_totals,test_industrial_delivered_region(record_property),active
test_compare_totals,test_industrial_delivered_subsect(record_property),active
test_compare_totals,test_lng_netimport(record_property),active
test_compare_totals,test_power_sector_total_capacity(record_property),active
test_compare_totals,test_power_sector_total_capacity2(record_property),active
test_compare_totals,test_power_sector_total_generation(record_property),active
test_compare_totals,test_price_lowsulflit(record_property),active
test_compare_totals,test_price_lowsulflit_nom(record_property),active
test_compare_totals,test_price_ng_hhub(record_property),active
test_compare_totals,test_price_wpo(record_property),active
test_compare_totals,test_price_wpo_nom(record_property),active
test_compare_totals,test_renew_commercial(record_property),active
test_compare_totals,test_renew_electrical(record_property),active
test_compare_totals,test_renew_industrial(record_property),active
test_compare_totals,test_renew_residential(record_property),active
test_compare_totals,test_residential_consumption_total(record_property),active
test_compare_totals,test_residential_consumption_total_fuel(record_property),active
test_compare_totals,test_residential_consumption_total_subsect(record_property),active
test_compare_totals,test_residential_delivered(record_property),active
test_compare_totals,test_residential_delivered_fuel(record_property),active
test_compare_totals,test_residential_delivered_region(record_property),active
test_compare_totals,test_residential_delivered_subsect(record_property),active
test_compare_totals,test_subtotal_ng_consumption(record_property),active
test_compare_totals,test_subtotal_ng_consumption_region(record_property),active
test_compare_totals,test_total_capacity(record_property),active
test_compare_totals,test_total_capacity_additions(record_property),active
test_compare_totals,test_total_commercial_consumed_region(record_property),inactive
test_compare_totals,test_total_delivered(record_property),active
test_compare_totals,test_total_delivered_biofuelsheat_regions(record_property),inactive
test_compare_totals,test_total_delivered_distillatefuel_regions(record_property),active
test_compare_totals,test_total_delivered_electricity_regions(record_property),active
test_compare_totals,test_total_delivered_electricityre_regions(record_property),active
test_compare_totals,test_total_delivered_h2relatlosses_regions(record_property),inactive
test_compare_totals,test_total_delivered_jetfuel_regions(record_property),active
test_compare_totals,test_total_delivered_kerosene_regions(record_property),active
test_compare_totals,test_total_delivered_leaseandplant_regions(record_property),active
test_compare_totals,test_total_delivered_liquefactexp_regions(record_property),active
test_compare_totals,test_total_delivered_liquefiedpetr_regions(record_property),active
test_compare_totals,test_total_delivered_liquidhydroge_regions(record_property),active
test_compare_totals,test_total_delivered_metallurgical_regions(record_property),active
test_compare_totals,test_total_delivered_motorgasoline_regions(record_property),active
test_compare_totals,test_total_delivered_naturalgas_regions(record_property),active
test_compare_totals,test_total_delivered_netcoalcokeim_regions(record_property),active
test_compare_totals,test_total_delivered_petrochemical_regions(record_property),active
test_compare_totals,test_total_delivered_petroleumsubt_regions(record_property),active
test_compare_totals,test_total_delivered_pipelinenatur_regions(record_property),active
test_compare_totals,test_total_delivered_region(record_property),active
test_compare_totals,test_total_delivered_renewableener_regions(record_property),active
test_compare_totals,test_total_delivered_residualfuel_regions(record_property),active
test_compare_totals,test_total_delivered_steamcoal_regions(record_property),active
test_compare_totals,test_total_energy_co2(record_property),active
test_compare_totals,test_total_energy_co2_commerical(record_property),active
test_compare_totals,test_total_energy_co2_fuel(record_property),active
test_compare_totals,test_total_energy_co2_industrial(record_property),active
test_compare_totals,test_total_energy_co2_residential(record_property),active
test_compare_totals,test_total_energy_co2_transportation(record_property),active
test_compare_totals,test_total_fuel_consumed(record_property),active
test_compare_totals,test_total_fuel_consumed_region(record_property),active
test_compare_totals,test_total_fuel_consumed2(record_property),active
test_compare_totals,test_total_industrial_consumed_region(record_property),inactive
test_compare_totals,test_total_ng_consumption(record_property),active
test_compare_totals,test_total_ng_consumption_region(record_property),active
test_compare_totals,test_total_ng_consumption_sector(record_property),active
test_compare_totals,test_total_ng_lease_consumption_region(record_property),active
test_compare_totals,test_total_ng_liquefy_consumption_region(record_property),active
test_compare_totals,test_total_ng_pipeline_consumption_region(record_property),active
test_compare_totals,test_total_renew_capgen(record_property),active
test_compare_totals,test_total_renew_enduse_capgen(record_property),active
test_compare_totals,test_total_renew_enduse_generation(record_property),active
test_compare_totals,test_total_renew_generation(record_property),active
test_compare_totals,test_total_residential_consumed_region(record_property),inactive
test_compare_totals,test_total_sector_consumed(record_property),active
test_compare_totals,test_total_solar_capacity(record_property),active
test_compare_totals,test_total_solar_generation(record_property),active
test_compare_totals,test_total_transportation_consumed_region(record_property),inactive
test_compare_totals,test_total_unspecified_consumed_region(record_property),active
test_compare_totals,test_total_wind_capacity(record_property),active
test_compare_totals,test_total_wind_generation(record_property),active
test_compare_totals,test_transportation_consumption_total_fuel(record_property),active
test_compare_totals,test_transportation_consumption_total_subsect(record_property),active
test_compare_totals,test_transportation_delivered(record_property),inactive
test_compare_totals,test_transportation_delivered_fuel(record_property),active
test_compare_totals,test_transportation_delivered_region(record_property),active
test_inequality_check,test_AB32_allowance(record_property),inactive
test_inequality_check,test_brent_price(record_property),active
test_compare_totals,test_co2_sequest(record_property),inactive
test_compare_totals,test_total_consumption_motorgasoline(record_property),active
test_compare_totals,test_total_consumption_ethanol(record_property),inactive
test_compare_totals,test_total_consumption_diesel(record_property),active
test_compare_totals,test_total_consumption_jetfuel(record_property),active
test_compare_totals,test_total_consumption_residual(record_property),active
test_compare_totals,test_total_consumption_propane(record_property),active
test_compare_totals,test_total_consumption_lubricants(record_property),active
test_compare_totals,test_total_consumption_petroleum(record_property),active
test_compare_totals,test_total_consumption_Telectricity(record_property),active
test_compare_totals,test_total_consumption_lng(record_property),active
test_compare_totals,test_total_consumption_hydrogen(record_property),active
test_compare_totals,test_total_consumption_pipenatgas(record_property),active
test_compare_totals,test_total_consumption_lngexport(record_property),active
test_compare_totals,test_total_consumption_transport(record_property),active
test_compare_totals,test_eor_total_1(record_property),active
test_compare_totals,test_eor_total_2(record_property),active
test_compare_totals,test_48_crude_onshore_total(record_property),inactive
test_compare_totals,test_crude_total(record_property),active
test_compare_totals,test_48_natgas_onshore_total(record_property),inactive
test_compare_totals,test_natgas_shale_reg(record_property),inactive
test_compare_totals,test_natgas_shale_play(record_property),active
test_compare_totals,test_crude_feedstock(record_property),inactive
test_inequality_check,test_brent_WTI_price(record_property),inactive
