test,start_year,end_year,tolerance,TableNum_total,RegNum_total,varnam2_total,TableNum_subset,RegNum_subset,varnam2_subset
test_48_crude_federal(record_property),2023,2050,0.001,71,0,COP000:fl_crd_total,71,0,COP000:fl_crd_east|COP000:fl_crd_gulfcst|COP000:fl_crd_midcont|COP000:fl_crd_southw|COP000:fl_crd_rockies|COP000:fl_crd_nogrplan|COP000:fl_crd_westcst|COP000:fl_crd_atlant|COP000:fl_crd_glfomx|COP000:fl_crd_pcific|COP000:fl_crd_akoff|COP000:fl_crd_akon|COP000:fl_crd_akoth
test_48_crude_nonfederal(record_property),2023,2050,0.001,71,0,COP000:nfl_crd_total,71,0,COP000:nfl_crd_east|COP000:nfl_crd_gulfcst|COP000:nfl_crd_midcont|COP000:nfl_crd_southw|COP000:nfl_crd_rockies|COP000:nfl_crd_nogrplan|COP000:nfl_crd_westcst|COP000:nfl_crd_atlant|COP000:nfl_crd_glfomx|COP000:nfl_crd_pcific|COP000:nfl_crd_akoff|COP000:nfl_crd_akon|COP000:nfl_crd_akoth
test_48_crude_offshore(record_property),2023,2050,0.001,71,0,COP000:da_Low48Offshore,14,0,OGS000:da_Lower48Offsho
test_48_crude_onshore(record_property),2023,2050,0.001,71,0,COP000:ca_Low48Onshore,14,0,OGS000:da_Lower48Onshor
test_48_crude_production(record_property),2023,2050,0.001,71,0,COP000:ba_Lower48Total,71,0,COP000:ca_Low48Onshore|COP000:da_Low48Offshore
test_48_natgas_federal(record_property),2023,2050,0.001,72,0,L48000:fl_ng_total,72,0,L48000:fl_ng_east|L48000:fl_ng_gulfcst|L48000:fl_ng_midcont|L48000:fl_ng_southw|L48000:fl_ng_rockies|L48000:fl_ng_nogrplan|L48000:fl_ng_westcst|L48000:fl_ng_atlant|L48000:fl_ng_glfomx|L48000:fl_ng_pcific|L48000:fl_ng_akoff|L48000:fl_ng_akon|L48000:fl_ng_akoth
test_48_natgas_nonfederal(record_property),2023,2050,0.001,72,0,L48000:nfl_ng_total,72,0,L48000:nfl_ng_east|L48000:nfl_ng_gulfcst|L48000:nfl_ng_midcont|L48000:nfl_ng_southw|L48000:nfl_ng_rockies|L48000:nfl_ng_nogrplan|L48000:nfl_ng_westcst|L48000:nfl_ng_atlant|L48000:nfl_ng_glfomx|L48000:nfl_ng_pcific|L48000:nfl_ng_akoff|L48000:nfl_ng_akon|L48000:nfl_ng_akoth
test_48_natgas_offshore(record_property),2023,2050,0.001,72,0,L48000:da_Low48Offshore,14,0,OGS000:ha_Lower48Offsho
test_48_natgas_onshore(record_property),2023,2050,0.001,72,0,L48000:ca_Low48Onshore,14,0,OGS000:ha_Lower48Onshor
test_48_natgas_production(record_property),2023,2050,0.001,72,0,L48000:ba_Lower48Total,72,0,L48000:ca_Low48Onshore|L48000:da_Low48Offshore
test_biofuelsheat(record_property),2023,2050,0.002,2,0,QUA000:ea_BiofuelsHeat,2,1|2|3|4|5|6|7|8|9,QUA000:ea_BiofuelsHeat
test_coal_production_region(record_property),2023,2050,0.001,95,0,RCP000:ua_AllSulfur,95,0,RCP000:ba_NorthernAppal|RCP000:da_ResOfAppala|RCP000:ga_Interior|RCP000:ja_Lignite$|RCP000:ma_WyomingPRB|RCP000:wa_Western
test_coal_production_types(record_property),2023,2050,0.001,95,0,RCP000:ua_AllSulfur,95,0,RCP000:ta_PremiumMetall|RCP000:ta_Bituminous|RCP000:ta_Sub-Bituminou|RCP000:ta_Lignite
test_commercial_consumption_total(record_property),2023,2050,0.001,2,0,QUA000:da_Total,5,0,CKI000:pa_TtllOwnUseGen|-CKI000:pa_PurchElecEVCha
test_commercial_consumption_total_fuel(record_property),2023,2050,0.001,2,0,QUA000:ca_Total,2,0,QUA000:ca_DeliveredEner|QUA000:ca_ElectricityRe
test_commercial_consumption_total_subsect(record_property),2023,2050,0.001,5,0,CKI000:pa_TtllOwnUseGen,5,0,CKI000:ma_DeliveredEner|CKI000:na_ElectricityRe
test_commercial_delivered(record_property),2023,2050,0.001,2,0,QUA000:da_DeliveredEner,5,0,CKI000:ma_DeliveredEner|-CKI000:ma_PurchElecEVCha
test_commercial_delivered_fuel(record_property),2023,2050,0.001,2,0,QUA000:da_DeliveredEner,2,0,QUA000:da_LiquefiedPetr|QUA000:da_MotorGasoline|QUA000:da_Kerosene|QUA000:da_DistillateFue|QUA000:da_ResidualFuel|QUA000:da_NaturalGas|QUA000:da_Coal|QUA000:da_RenewableEner|QUA000:da_Electricity
test_commercial_delivered_region(record_property),2023,2050,0.002,2,0,QUA000:da_DeliveredEner,2,1|2|3|4|5|6|7|8|9,QUA000:da_DeliveredEner
test_commercial_delivered_subsect(record_property),2023,2050,0.001,5,0,CKI000:ma_DeliveredEner,5,0,CKI000:la_SpaceHeating|CKI000:la_SpaceCooling|CKI000:la_WaterHeating|CKI000:la_Ventilation|CKI000:la_Cooking|CKI000:la_Lighting|CKI000:la_Refrigeration|CKI000:la_DataCtrServ|CKI000:ma_CompOfficeEquipme|CKI000:ma_OtherUses|CKI000:ma_PurchElecEVCha|-CKI000:ma_OwnGeneration
test_cumulative_additions(record_property),2023,2050,0.001,9,0,EGC000:ea_CumulativeEle,9,0,EGC000:da_Total|EGC000:ea_Total
test_cumulative_planned_additions(record_property),2023,2050,0.001,9,0,EGC000:da_Total,9,0,EGC000:da_CoalSteam|EGC000:da_OtherFossilSt|EGC000:da_CombinedCycle|EGC000:da_CombustionTur|EGC000:da_NuclearPower|EGC000:da_PumpedStorage|EGC000:da_DiurnalStorage|EGC000:da_FuelCells|EGC000:da_HydrogenTurbine|EGC000:da_RenewableSour|EGC000:da_DistributedGe
test_cumulative_retirements(record_property),2023,2050,0.001,9,0,EGC000:fa_Total,9,0,EGC000:fa_CoalSteam|EGC000:fa_OtherFossilSt|EGC000:fa_CombinedCycle|EGC000:fa_CombustionTur|EGC000:fa_NuclearPower|EGC000:fa_PumpedStorage|EGC000:fa_DiurnalStorage|EGC000:fa_HydrogenTurbine|EGC000:fa_FuelCells|EGC000:fa_RenewableSour
test_cumulative_unplanned_additions(record_property),2023,2050,0.001,9,0,EGC000:ea_Total,9,0,EGC000:ea_CoalSteam|EGC000:ea_OtherFossilSt|EGC000:ea_CombinedCycle|EGC000:ea_CombustionTur|EGC000:ea_NuclearPower|EGC000:ea_PumpedStorage|EGC000:ea_DiurnalStorage|EGC000:ea_HydrogenTurbine|EGC000:ea_FuelCells|EGC000:ea_RenewableSour|EGC000:ea_DistributedGe
test_drygas_production(record_property),2023,2050,0.001,13,0,NGS000:ba_DryGasProduct,14,0,OGS000:ha_UnitedStatesT
test_electric_combinedheatpower(record_property),2023,2050,0.001,9,0,EGC000:ca_Total,9,0,EGC000:ca_CoalSteam|EGC000:ca_OtherFossilSt|EGC000:ca_CombinedCycle|EGC000:ca_CombustionTur|EGC000:ca_RenewableSour
test_electric_power_sector(record_property),2023,2050,0.001,9,0,EGC000:ba_Total,9,0,EGC000:ba_CoalSteam|EGC000:ba_OtherFossilSt|EGC000:ba_CombinedCycle|EGC000:ba_CombustionTur|EGC000:ba_NuclearPower|EGC000:ba_PumpedStorage|EGC000:ba_DiurnalStorage|EGC000:ba_HydrogenTurbine|EGC000:ba_FuelCells|EGC000:ba_RenewableSour|EGC000:ba_DistributedGe
test_enduse_generators(record_property),2023,2050,0.001,9,0,EGC000:ha_Total,9,0,EGC000:ha_Coal|EGC000:ha_Petroleum|EGC000:ha_NaturalGas|EGC000:ha_OtherGaseousF|EGC000:ha_RenewableSour|EGC000:ha_Other
test_energy_consumed_use(record_property),2023,2050,0.001,2,0,QUA000:ia_Total,2,0,QUA000:ka_TotalEnergyUs
test_energy_consumed_use2(record_property),2023,2050,0.001,2,0,QUA000:ga_Total,2,0,QUA000:ka_TotalEnergyUs
test_industrial_consumption_total(record_property),2023,2050,0.001,2,0,QUA000:ea_Total,6,0,IKI000:da_Total
test_industrial_consumption_total_fuel(record_property),2023,2050,0.001,2,0,QUA000:ea_Total,2,0,QUA000:ea_DeliveredEner|QUA000:ea_ElectricityRe|QUA000:ea_H2RelatLoss
test_industrial_consumption_total_subsect(record_property),2023,2050,0.001,6,0,IKI000:da_Total,6,0,IKI000:da_DeliveredEner|IKI000:da_ElectricityRe|IKI000:da_HydrogenRe
test_industrial_delivered(record_property),2023,2050,0.001,2,0,QUA000:ea_DeliveredEner,6,0,IKI000:da_DeliveredEner
test_industrial_delivered_fuel(record_property),2023,2050,0.001,2,0,QUA000:ea_DeliveredEner,2,0,QUA000:ea_LiquefiedPetr|QUA000:ea_MotorGasoline|QUA000:ea_DistillateFue|QUA000:ea_ResidualFuel|QUA000:ea_Petrochemical|QUA000:ea_OtherPetroleu|QUA000:ea_NaturalGas$|QUA000:ea_LeaseandPlant|QUA000:ea_Metallurgical|QUA000:ea_SteamCoal|QUA000:ea_NetCoalCokeIm|QUA000:ea_BiofuelsHeat|QUA000:ea_RenewableEner|QUA000:ea_Hydrogen|QUA000:ea_ElectIndUse
