play_id,census_division,census_region
1002,9,4
1003,9,4
1004,9,4
1005,9,4
1006,9,4
1008,9,4
1301,9,4
1302,9,4
1401,9,4
1402,9,4
1403,9,4
1404,9,4
1405,9,4
2002,8,4
2102,8,4
2207,8,4
2208,8,4
2805,8,4
2806,8,4
2808,8,4
3101,8,4
3101,4,2
3102,8,4
3102,4,2
3103,8,4
3103,4,2
3105,8,4
3105,4,2
3106,4,2
3110,4,2
3302,8,4
3304,8,4
3306,8,4
3307,8,4
3310,8,4
3312,8,4
3313,8,4
3402,8,4
3406,8,4
3502,8,4
3701,8,4
3702,8,4
3703,8,4
3707,8,4
3901,8,4
3905,8,4
3905,4,2
3907,8,4
3908,4,2
4301,7,3
4402,8,4
4402,7,3
4403,7,3
4404,7,3
4405,7,3
4406,8,4
4406,7,3
4407,7,3
4408,7,3
4409,7,3
4410,8,4
4410,7,3
4411,8,4
4411,7,3
4412,8,4
4412,7,3
4481,7,3
4501,7,3
4502,7,3
4504,7,3
4505,7,3
4506,7,3
4701,7,3
4705,7,3
4713,7,3
4714,7,3
4715,7,3
4716,7,3
4722,7,3
4726,7,3
4728,7,3
4731,7,3
4733,7,3
4735,7,3
4736,7,3
4738,7,3
4739,7,3
4742,7,3
4749,7,3
4901,7,3
4905,6,3
4910,6,3
4912,7,3
4916,7,3
4921,7,3
4921,6,3
4925,7,3
4925,6,3
4928,7,3
4929,7,3
4930,7,3
4931,7,3
4932,7,3
4934,7,3
4936,7,3
4937,7,3
4938,7,3
4939,7,3
4940,7,3
4940,6,3
4943,7,3
4944,7,3
4945,7,3
5304,4,2
5305,4,2
5308,4,2
5309,4,2
5350,4,2
5501,4,2
5501,7,3
5503,4,2
5503,7,3
5504,4,2
5504,7,3
5505,4,2
5505,7,3
5603,4,2
5800,7,3
5801,7,3
5802,7,3
5804,7,3
5805,7,3
5809,7,3
5810,7,3
5812,7,3
5813,4,2
5813,7,3
5814,4,2
5814,7,3
5816,4,2
5816,7,3
5819,7,3
5820,4,2
5820,7,3
5821,7,3
5822,4,2
5822,7,3
5823,7,3
5825,4,2
5825,7,3
5902,4,2
6001,4,2
6001,7,3
6003,4,2
6003,7,3
6004,4,2
6004,7,3
6005,4,2
6005,7,3
6102,7,3
6103,7,3
6104,7,3
6108,7,3
6109,7,3
6110,7,3
6111,7,3
6112,7,3
6113,7,3
6202,7,3
6204,7,3
6205,7,3
6301,3,2
6307,3,2
6308,3,2
6502,6,3
