facility_type,census_division,year,co2_volume
ammonia,4,2020,38598.74468650757
ammonia,4,2021,35514.17465274596
ammonia,4,2022,34811.702697969085
ammonia,4,2023,30938.189073086804
ammonia,7,2020,740331.1096007855
ammonia,7,2021,681168.4820520635
ammonia,7,2022,667694.9391695876
ammonia,7,2023,593400.2266535799
ethanol,3,2020,1290546.6747030588
ethanol,3,2021,1206960.7823164975
ethanol,3,2022,1158799.5337296485
ethanol,3,2023,1052897.344748312
ethanol,4,2020,4557626.868014327
ethanol,4,2021,4195803.757039056
ethanol,4,2022,4219360.839914149
ethanol,4,2023,3813648.445427191
ng_processing,3,2020,296132.4438403142
ng_processing,3,2021,272467.3928208254
ng_processing,3,2022,267077.97566783504
ng_processing,3,2023,237360.09066143192
ng_processing,7,2020,1027224.6653919477
ng_processing,7,2021,945135.3009179684
ng_processing,7,2022,973252.6415682234
ng_processing,7,2023,864958.3877572162
ng_processing,8,2020,1255638.4303721904
ng_processing,8,2021,1155295.6677507057
ng_processing,8,2022,1479846.145814973
ng_processing,8,2023,1315183.0077238204
