facility_type,census_region,year,co2_volume
ammonia,2,2020,38598.74468650757
ammonia,2,2021,35514.17465274596
ammonia,2,2022,34811.702697969085
ammonia,2,2023,30938.189073086804
ammonia,3,2020,740331.1096007855
ammonia,3,2021,681168.4820520635
ammonia,3,2022,667694.9391695876
ammonia,3,2023,593400.2266535799
ethanol,2,2020,5848173.542717386
ethanol,2,2021,5402764.539355554
ethanol,2,2022,5378160.373643797
ethanol,2,2023,4866545.790175502
ng_processing,2,2020,296132.4438403142
ng_processing,2,2021,272467.3928208254
ng_processing,2,2022,267077.97566783504
ng_processing,2,2023,237360.09066143192
ng_processing,3,2020,1027224.6653919477
ng_processing,3,2021,945135.3009179684
ng_processing,3,2022,973252.6415682234
ng_processing,3,2023,864958.3877572162
ng_processing,4,2020,1255638.4303721904
ng_processing,4,2021,1155295.6677507057
ng_processing,4,2022,1479846.145814973
ng_processing,4,2023,1315183.0077238204
