district_number,district,state,rrc,hsm_region,region_name,lfmm_region_number_old,lfmm_region_name_old,lfmm_region_number,lfmm_region_name,padd,ngpl_region_number,ngpl_50,census_division,census_region,,,,,,
1,Alabama North,AL,0,2,gulf_coast,4,padd_3_gulf,5,padd_3_interior,3,13,2,6,3,,,,,,
2,Alabama South,AL,1,2,gulf_coast,4,padd_3_gulf,4,padd_3_gulf,3,99,99,6,3,,,,,,
3,Alaska,AK,0,12,alaska_onshore_north,8,padd_5_other,8,padd_5_other,5,16,3,9,4,,,,,,
4,Arizona,AZ,0,5,rocky_mountain,6,padd_4_mountain,8,padd_5_other,5,99,99,8,4,,,,,,
5,Arkansas,AR,0,3,midcontinent,2,padd_2_interior,5,padd_3_interior,3,13,4,7,3,,,,,,
6,California,CA,0,7,west_coast,7,padd_5_california,7,padd_5_california,5,16,5,9,4,,,,,,
7,Colorado,CO,0,5,rocky_mountain,6,padd_4_mountain,6,padd_4_mountain,4,15,10,8,4,,,,,,
8,Connecticut,CT,0,1,east_coast,3,padd_1_east_coast,1,padd_1_east_coast,1,99,99,1,1,,,,,,
9,Delaware,DE,0,1,east_coast,3,padd_1_east_coast,1,padd_1_east_coast,1,99,99,5,3,,,,,,
10,Washington DC,DC,0,1,east_coast,3,padd_1_east_coast,1,padd_1_east_coast,1,99,99,5,3,,,,,,
11,Florida,FL,0,2,gulf_coast,4,padd_3_gulf,1,padd_1_east_coast,1,3,11,5,3,,,,,,
12,Georgia,GA,0,1,east_coast,3,padd_1_east_coast,1,padd_1_east_coast,1,99,99,5,3,,,,,,
13,Hawaii,HI,0,7,west_coast,7,padd_5_california,8,padd_5_other,5,99,99,9,4,,,,,,
14,Idaho,ID,0,5,rocky_mountain,6,padd_4_mountain,6,padd_4_mountain,4,99,99,8,4,,,,,,
15,Illinois,IL,0,1,east_coast,3,padd_1_east_coast,3,padd_2_great_lakes,2,99,99,3,2,,,,,,
16,Indiana,IN,0,1,east_coast,3,padd_1_east_coast,3,padd_2_great_lakes,2,99,99,3,2,,,,,,
17,Iowa,IA,0,3,midcontinent,2,padd_2_interior,2,padd_2_interior,2,99,99,4,2,,,,,,
18,Kansas,KS,0,3,midcontinent,2,padd_2_interior,2,padd_2_interior,2,8,12,4,2,,,,,,
19,Kentucky,KY,0,1,east_coast,3,padd_1_east_coast,2,padd_2_interior,2,6,13,6,3,,,,,,
20,Louisiana North,LA,0,2,gulf_coast,4,padd_3_gulf,5,padd_3_interior,3,13,15,7,3,,,,,,
21,Louisiana South,LA,1,2,gulf_coast,4,padd_3_gulf,4,padd_3_gulf,3,12,16,7,3,,,,,,
22,Maine,ME,0,1,east_coast,3,padd_1_east_coast,1,padd_1_east_coast,1,99,99,1,1,,,,,,
23,Maryland,MD,0,1,east_coast,3,padd_1_east_coast,1,padd_1_east_coast,1,99,99,5,3,,,,,,
24,Massachusetts,MA,0,1,east_coast,3,padd_1_east_coast,1,padd_1_east_coast,1,99,99,1,1,,,,,,
25,Michigan,MI,0,1,east_coast,3,padd_1_east_coast,3,padd_2_great_lakes,2,6,18,3,2,,,,,,
26,Minnesota,MN,0,3,midcontinent,2,padd_2_interior,3,padd_2_great_lakes,2,99,99,4,2,,,,,,
27,Mississippi North,MS,0,2,gulf_coast,4,padd_3_gulf,5,padd_3_interior,3,13,19,6,3,,,,,,
28,Mississippi South,MS,1,2,gulf_coast,4,padd_3_gulf,4,padd_3_gulf,3,99,99,6,3,,,,,,
29,Missouri,MO,0,3,midcontinent,2,padd_2_interior,2,padd_2_interior,2,99,99,4,2,,,,,,
30,Montana,MT,0,6,northern_great_plains,6,padd_4_mountain,6,padd_4_mountain,4,15,20,8,4,,,,,,
31,Nebraska,NE,0,3,midcontinent,2,padd_2_interior,2,padd_2_interior,2,99,99,4,2,,,,,,
32,Nevada,NV,0,5,rocky_mountain,6,padd_4_mountain,8,padd_5_other,5,99,99,8,4,,,,,,
33,New Hampshire,NH,0,1,east_coast,3,padd_1_east_coast,1,padd_1_east_coast,1,99,99,1,1,,,,,,
34,New Jersey,NJ,0,1,east_coast,3,padd_1_east_coast,1,padd_1_east_coast,1,99,99,2,1,,,,,,
35,New Mexico East,NM,4,4,southwest,5,padd_3_interior,5,padd_3_interior,3,14,22,8,4,,,,,,
