facility_id,facility_name,facility_type,state,co2_volume,co2_cost_inv_2018$,co2_cost_om_2018$,supply_latitude,supply_longitude,year_operational,years_operating,facility_new,source,plant_id,unit_id,summer_cap,cap_factor,emm_region,emm_census_region,ccs_overnight_cost,ccs_fixed_om_cost,ccs_var_om_cost,rrc,crosswalk_notes,supply_hsm_region,supply_census_region,supply_census_division,co2_ratio,eligibility_45q,cluster_type,operational_status
fpp70972    ,J K Spruce          ,pp_coal,TX,11536324.534477267,65.16953899425526,0.5703641440855276,29.31,-98.32,,0.0,N,1-EMM,7097.0,2    ,785.0,0.567,1.0,7.0,751.8169516,5.574657401,1.005248468,1,,2.0,3,7,1.0,1,not_cluster,N
fpp6180OG2  ,Oak Grove (TX)      ,pp_coal,TX,19289422.139718223,48.72370478972415,0.4577977108923905,31.18,-96.487,,0.0,N,1-EMM,6180.0,OG2  ,855.0,0.84,1.0,7.0,939.8521099,6.968921769,1.861731531,5,,4.0,3,7,1.0,1,not_cluster,N
fpp6180OG1  ,Oak Grove (TX)      ,pp_coal,TX,19116726.353894465,49.18142680367785,0.4611705388670789,31.18,-96.487,,0.0,N,1-EMM,6180.0,OG1  ,855.0,0.832,1.0,7.0,940.1878779,6.971411459,1.844659535,5,,4.0,3,7,1.0,1,not_cluster,N
fpp61463    ,Martin Lake         ,pp_coal,TX,14622697.207955811,69.25143484808319,0.6139276937305183,32.261,-94.571,,0.0,N,1-EMM,6146.0,3    ,805.0,0.615,1.0,7.0,1012.642763,7.508658137,1.468620636,6,,2.0,3,7,1.0,1,not_cluster,N
fpp62641    ,Mountaineer         ,pp_coal,WV,18081199.993201155,41.74638992897746,0.3629034767862379,38.979,-81.934,,0.0,N,1-EMM,6264.0,1    ,1299.0,0.542,11.0,5.0,754.8248253,5.596960523,0.964769819,0,,1.0,3,5,1.0,1,not_cluster,N
fpp81022    ,"Gavin Power, LLC    ",pp_coal,OH,19066013.39085932,39.05073023587356,0.3394699709013624,38.935,-82.116,,0.0,N,1-EMM,8102.0,2    ,1361.0,0.542,11.0,3.0,744.5417456,5.52071238,0.951626631,0,,1.0,2,3,1.0,1,not_cluster,N
fpp81021    ,"Gavin Power, LLC    ",pp_coal,OH,20479259.097840928,36.63528576476178,0.3221008900021895,38.935,-82.116,,0.0,N,1-EMM,8102.0,1    ,1348.0,0.584,11.0,3.0,750.2635093,5.563138761,1.033248821,0,,1.0,2,3,1.0,1,not_cluster,N
fpp56458CHW-T,Hobbs Generating Sta,pp_natgas,NM,54402.04808628608,0.0,0.0,32.728,-103.309,,0.0,N,1-EMM,56458.0,CHW-T,4.3,0.677,17.0,8.0,0.0,0.0,0.0,4,,4.0,4,8,1.0,1,not_cluster,N
fpp56671MKA01,Longview Power Plant,pp_coal,WV,12631442.671177885,55.67947556812338,0.5151432144680923,39.708,-79.959,,0.0,N,1-EMM,56671.0,MKA01,710.0,0.779,11.0,5.0,703.3121036,5.214998165,1.292003816,0,,1.0,3,5,1.0,1,not_cluster,N
fpp2936ST2  ,Painesville         ,pp_coal,OH,175019.5751407488,0.0,0.0,41.727,-81.254,,0.0,N,1-EMM,2936.0,ST2  ,7.0,0.5,11.0,3.0,0.0,0.0,0.0,0,,1.0,2,3,1.0,1,not_cluster,N
