play,census_division,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p2208,8,0,578540,1153020,1642240,2131460,2620690,3053070,3485450,3964520,4139450,3702710,3128230,2639010,2728330,2813580,2870420,2927260,2937420,3194870,3485450,3964520,4139450,4281250,4281250,4281250,4281250,4281250,4281250,4281250,4281250
p3304,8,0,0,618060,624690,520930,520940,520940,514320,470160,470170,184450,150590,0,0,0,0,0,0,0,0,0,0,618060,624690,520930,520940,520940,514320,470160,470170
p3504,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4409,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4411,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4921,7,0,0,583360,547510,479830,479820,479830,461900,461910,424070,268790,140730,112580,0,0,0,0,0,0,0,583360,1130870,1610700,2090520,2570350,3032250,3494160,3918230,4187020,4327750
p4936,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4940,6,0,0,977090,987550,823550,823540,823550,813080,743280,743280,297560,260840,0,0,0,0,0,0,0,977090,1964640,2788190,3611730,4435280,5248360,5991640,6734920,7032480,7293320,7293320
p5813,7,0,441970,856800,1220330,1583870,1954940,2326020,2205350,2585460,2389380,2103250,1818340,1454790,1133500,1172720,1424630,1501070,1712580,2041090,2326020,2647320,3000290,3194880,3323590,3409740,3409740,3409740,3409740,3409740,3409740
hsm_cent1,1,0,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000
hsm_cent2,2,0,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000
hsm_cent3,3,0,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000
hsm_cent4,4,0,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000
hsm_cent5,5,0,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000
hsm_cent6,6,0,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000
