node,DAC-LT,DAC-HT
dac_ts1,0,0
dac_ts2,0,0
dac_ts3,0,0
dac_ts4,33,0
dac_ts5,0,0
dac_ts6,0,0
dac_ts7,5500,0
dac_ts8,0,0
dac_ts9,0,0
dac_ts10,0,0
dac_ts11,0,0
dac_ts12,0,0
dac_ts13,0,0
dac_ts14,0,0
dac_ts15,0,0
dac_ts16,0,0
dac_ts17,0,0
dac_ts18,0,0
dac_ts19,0,0
dac_ts20,0,0
dac_ts21,0,0
dac_ts22,0,0
dac_ts23,0,0
dac_ts24,0,0
dac_ts25,0,0
dac_ts26,0,0
dac_ts27,0,0
dac_ts28,0,0
dac_ts29,0,0
dac_ts30,0,0
dac_ts31,0,0
dac_ts32,0,0
dac_ts33,0,0
dac_ts34,0,0
dac_ts35,0,0
dac_ts36,0,0
dac_ts37,0,0
dac_ts38,0,0
dac_ts39,0,0
dac_ts40,0,0
dac_ts41,0,0
dac_ts42,0,0
dac_ts43,0,0
dac_ts44,0,0
dac_ts45,0,0
dac_ts46,0,0
dac_ts47,0,0
dac_ts48,0,0
dac_ts49,0,0
dac_ts50,0,0
dac_ts51,0,0
dac_ts52,0,0
dac_ts53,0,0
dac_ts54,0,0
dac_ts55,0,0
dac_ts56,0,0
dac_ts57,0,0
dac_ts58,1000,0
dac_ts59,0,0
dac_ts60,0,0
dac_ts61,0,0
dac_ts62,0,0
dac_ts63,0,0
dac_ts64,30,0
dac_ts65,100,0
dac_ts66,0,0
dac_ts67,0,0
dac_ts68,0,0
