FmnID,Shape_Leng,Shape_Area,Unnamed: 0,formation_id,storage_site,formation_name,state,basin,area_mi2,longitude,latitude,depth_top_ft,thickness_ft,storage_coef_p50,aor_size_mi2,max_co2_project_tonnes,max_inj_projects,Number of Wells per Project (wells/project),inj_rate_project_tonnes_yr,Number of Corrective Action Wells (# wells/project),capex_site_dev_2008$,capex_construction_2008$,capex_injection_2008$,capex_pisc_2008$,capex_closure_2008$,fixedom_site_dev_2008$_per_yr,fixedom_construction_2008$_per_yr,fixedom_injection_2008$_per_yr,fixedom_pisc_2008$_per_yr,fixedom_closure_2008$_per_yr,varom_site_dev_2008$_per_ton-yr,varom_construction_2008$_per_ton-yr,varom_injection_2008$_per_ton-yr,varom_pisc_2008$_per_ton-yr,varom_closure_2008$_per_ton-yr,total_costs_20_ops_2008$,project_$_tonne_2008$,rrc,hsm_region,census_division,census_region,storage_aors_existing,node_id,node_type,active_aor_co2_store_remaining,max_injectivity,max_co2_store_cap,storage_aors_available
Dakota5,10.200744,2.905514,15,s40,Dakota5,Dakota,UT,Uinta,10678,-110.418893,39.731114,8640,130,6.72%,88,2912670.4828557507,44.0,2.0,97089.01609519168,22.0,44558054.15522057,9793949.622374998,43365839.640024826,85339231.93818706,0.0,93665.0,186275.0,1030803.4680114484,559366.8,163900.0,0.0,0.0,0.0165,0.0,0.0,233513775.97537887,80.17171092640334,0,5,8,4,0,s40,storage,0,4271916.708188434,128157501.24565303,44.0
Dakota2,3.565002,0.841443,13,s37,Dakota2,Dakota,CO,Piceance,3054,-106.286837,40.637939,4650,155,6.72%,41,1754409.6683774132,27.0,2.0,58480.32227924711,10.0,20823573.777749512,4199555.515390624,16793653.61396952,32448808.47506052,0.0,93665.0,131756.25,816593.1707290051,475512.45,163900.0,0.0,0.0,0.0165,0.0,0.0,115754104.98731482,65.97894840283877,0,5,8,4,0,s37,storage,0,1578968.701539672,47369061.04619016,27.0
Dakota3,5.023208,0.764197,14,s38,Dakota3,Dakota,CO,San Juan,2904,-107.842042,37.196487,5275,187,6.72%,81,2283712.416219636,13.0,2.0,76123.7472073212,20.0,26715646.25420855,4845554.401474999,25847427.78866886,53578644.5595745,0.0,93665.0,140790.0,874225.2191372486,489070.98,163900.0,0.0,0.0,0.0165,0.0,0.0,154499091.48402435,67.65260388599009,0,5,8,4,0,s38,storage,0,989608.7136951756,29688261.410855267,13.0
Dakota6,3.323283,0.669218,16,s41,Dakota6,Dakota,CO,Raton,2540,-104.972078,37.354395,5138,99,6.72%,92,2550808.3923873445,10.0,2.0,85026.94641291148,23.0,26765885.028543446,4612857.469990625,26696209.764994413,56154131.96831025,0.0,93665.0,137696.25,873227.2079251772,485144.13,163900.0,0.0,0.0,0.0165,0.0,0.0,157606554.1598301,61.7869043516528,0,5,8,4,0,s41,storage,0,850269.4641291148,25508083.923873447,10.0
Dakota8,10.459031,6.227593,17,s43,Dakota8,Dakota,CO,Denver,22831,-103.829364,39.955409,5850,210,6.72%,82,4913197.5115823215,101.0,2.0,163773.2503860774,20.0,29264942.667544816,5522059.161249999,28520847.713435605,58673501.55702651,0.0,93665.0,149012.5,901214.1545925348,501468.9,163900.0,0.0,0.0,0.0165,0.0,0.0,167537019.3699298,34.09938618892885,0,5,8,4,0,s43,storage,0,16541098.288993817,496232948.66981447,101.0
Dakota9,5.448464,1.408772,18,s44,Dakota9,Dakota,WY,Denver,5028,-104.531272,41.662894,7355,125,6.72%,91,3326973.635025369,20.0,2.0,110899.12116751232,22.0,38402782.35761626,7972491.1888125,37325289.78349792,74670686.12509243,0.0,93665.0,168537.5,972186.5259209052,532207.2,163900.0,0.0,0.0,0.0165,0.0,0.0,206398876.2729956,62.03802582025022,0,5,8,4,0,s44,storage,0,2217982.4233502466,66539472.70050738,20.0
Dakota10,7.213523,2.402736,19,s45,Dakota10,Dakota,NE,Denver,8564,-103.237192,41.669831,5075,220,6.72%,69,4251048.56510785,45.0,2.0,141701.61883692833,17.0,21496174.899970066,3410556.669215691,22030652.38503826,47481717.09800615,0.0,93665.0,138493.75,857914.6456456952,485242.05,163900.0,0.0,0.0,0.0165,0.0,0.0,138057889.99162966,32.47619684347857,0,3,4,2,0,s45,storage,0,6376572.847661775,191297185.42985326,45.0
Madison1,7.645706,3.519946,77,s118,Madison1,Madison,WY,Powder River,27700,-105.661428,43.852303,11000,833,7.47%,64,12864049.4737969,157.0,2.0,428801.64912656334,16.0,67007023.58114255,17840695.70693437,57513233.6479364,103221822.1232824,0.0,93665.0,228391.25,1146759.941648421,617427.57,163900.0,0.0,0.0,0.0165,0.0,0.0,304629831.2186171,23.680710482272715,0,5,8,4,0,s118,storage,0,67321858.91287044,2019655767.3861134,157.0
Nugget1,6.10655,1.614481,94,s153,Nugget1,Nugget,CO,Green River,5877,-107.939045,40.611594,9450,428,7.44%,30,4261737.983009217,71.0,2.0,142057.9327669739,7.0,44851965.02895448,11829900.139475,35877847.48387805,62313059.43222639,0.0,93665.0,201510.0,1036349.0772139488,579963.12,163900.0,0.0,0.0,0.0165,0.0,0.0,206945863.16320595,48.55903013940836,0,5,8,4,0,s153,storage,0,10086113.226455148,302583396.79365444,71.0
Nugget2,13.880546,6.380285,95,s154,Nugget2,Nugget,WY,Green River,22707,-108.488886,41.830741,9963,382,7.44%,58,7384532.766998678,142.0,2.0,246151.0922332893,14.0,54343455.84031573,13964593.914234374,46833776.67915225,84493530.58407593,0.0,93665.0,207931.25,1077658.771098301,590239.95,163900.0,0.0,0.0,0.0165,0.0,0.0,254091848.25285384,34.40865607481423,0,5,8,4,0,s154,storage,0,34953455.09712708,1048603652.9138124,142.0
Tensleep4,7.22678,1.942545,122,s212,Tensleep4,Tensleep,WY,Wyoming Thrust Belt,6902,-110.592718,41.988206,6375,440,7.44%,6,1326490.7790756656,417.0,2.0,44216.359302522185,1.0,25861204.01512165,6858528.473234375,15351244.85174048,23036409.571890257,0.0,93665.0,159393.75,880104.1519723373,515252.85,163900.0,0.0,0.0,0.0165,0.0,0.0,115767201.90852848,87.27328054944955,0,5,8,4,0,s212,storage,0,18438221.82915175,553146654.8745526,417.0
Tensleep5,6.840195,1.231888,123,s213,Tensleep5,Tensleep,UT,Wyoming Thrust Belt,4436,-111.185568,41.139183,6780,420,7.44%,67,14230266.80980291,24.0,2.0,474342.2269934304,16.0,33251801.524236925,7024554.559374998,30861849.62725426,61269432.47829191,0.0,93665.0,164687.5,939912.3158004296,523558.5,163900.0,0.0,0.0,0.0165,0.0,0.0,182947732.5524017,12.856240504666651,0,5,8,4,0,s213,storage,0,11384213.44784233,341526403.43526983,24.0
Arbuckle4,14.479524,8.617247,2,s4,Arbuckle4,Arbuckle,KS,Ozark Plateau,32460,-99.2057,37.695,5365,720,7.91%,75,12889089.275480408,157.0,2.0,429636.3091826802,18.0,23181859.79161076,3433185.1078164144,25205828.918713085,55923840.53209321,0.0,93665.0,149356.25,892021.9947678264,497253.15,163900.0,0.0,0.0,0.0165,0.0,0.0,155538483.70649853,12.067453361688443,0,3,4,2,0,s4,storage,0,67452900.5416808,2023587016.2504241,157.0
Arbuckle3,4.330707,0.82197,1,s3,Arbuckle3,Arbuckle,KS,Las Animas Arch,3039,-101.817,39.2763,5870,245,7.91%,58,4776083.727968,19.0,2.0,159202.79093226665,14.0,21772077.25804565,3461597.2402804103,22516687.98686799,48709402.25189257,0.0,93665.0,149768.75,886559.4507511839,502303.35,163900.0,0.0,0.0,0.0164999999999999,0.0,0.0,141720326.38233975,29.672914976855967,0,3,4,2,0,s3,storage,0,3024853.0277130664,90745590.83139199,19.0
Arbuckle1,7.898882,2.674358,0,s1,Arbuckle1,Arbuckle,OK,Northern Shelf Area,10229,-98.554415,36.399382,6562,572,7.91%,14,1952657.6561296568,265.0,2.0,65088.58853765522,3.0,19794611.88468388,4271639.137135,16286465.700784087,31395828.01117897,0.0,93665.0,163780.0,898995.4339729684,520752.96,163900.0,0.0,0.0,0.0165,0.0,0.0,117276598.43976413,60.05998955916159,0,3,7,3,0,s1,storage,0,17248475.962478634,517454278.8743591,265.0
Atoka1,16.545344,12.587236,3,s5,Atoka1,Atoka,TX,Permian,51294,-102.444,31.7932,10000,372,7.47%,23,2863937.624020528,809.0,2.0,95464.58746735094,5.0,37827088.32294819,9485223.292559998,33261836.127628125,61097668.315089054,0.0,93665.0,208302.5,1053721.074812872,590902.38,163900.0,0.0,0.0,0.0165,0.0,0.0,194191620.9704096,67.8058136956888,8,4,7,3,0,s5,storage,0,77230851.26108691,2316925537.8326073,809.0
Basal Cambrian1,7.71821,2.758189,4,s7,Basal Cambrian1,Basal Cambrian,MT,Kevin Dome,8799,-111.34087,48.43529,4980,260,6.23%,58,2539374.0085564177,55.0,2.0,84645.80028521392,14.0,26115579.644680142,5579556.445117913,22147007.128606796,42529828.87463685,0.0,93665.0,137737.5,846621.3031220257,483710.1,163900.0,0.0,0.0,0.0165,0.0,0.0,139141931.57830584,54.79379213517476,0,6,8,4,0,s7,storage,0,4655519.015686765,139665570.47060296,55.0
Basal Cambrian8,11.427926,3.532627,5,s14,Basal Cambrian8,Basal Cambrian,ND,Williston,11350,-99.54196,47.85124,4595,260,6.23%,23,1442924.167441303,179.0,2.0,48097.47224804343,5.0,18768487.50934781,4061054.67011246,13344151.63269332,24310286.395507883,0.0,93665.0,132443.75,803864.5612725023,475590.45,163900.0,0.0,0.0,0.0165,0.0,0.0,101620406.40836714,70.42671312974663,0,6,4,2,0,s14,storage,0,8609447.532399774,258283425.9719932,179.0
Canyon1,8.153195,3.865241,6,s17,Canyon1,Canyon,TX,Palo Duro,15157,-101.65746,34.678773,5517,724,7.47%,23,3201386.115986502,239.0,2.0,106712.8705328834,5.0,20747960.059507564,4442680.945486874,16604452.128997494,31985057.15743905,0.0,93665.0,151501.25,862585.065658348,500505.99,163900.0,0.0,0.0,0.0165,0.0,0.0,117955171.02287348,36.845031105073616,10,3,7,3,0,s17,storage,0,25504376.057359133,765131281.7207739,239.0
Canyon2,5.737951,2.163021,7,s18,Canyon2,Canyon,NM,Tucumcari,8502,-103.845977,34.630852,5517,724,7.47%,12,1670288.4083407836,257.0,2.0,55676.28027802612,3.0,17803529.699779227,3947876.6082075,13474778.104838084,24993229.386126462,0.0,93665.0,151501.25,856970.4723652251,500505.99,163900.0,0.0,0.0,0.0165,0.0,0.0,103776880.42100824,62.13111454452181,4,4,8,4,0,s18,storage,0,14308804.031452712,429264120.9435814,257.0
Canyon3,16.473407,12.303211,8,s19,Canyon3,Canyon,TX,Permian,49915,-102.456551,31.762763,7850,1000,7.47%,19,3794327.5746001257,953.0,2.0,126477.58582000418,4.0,30185303.206981342,7346367.2818749985,24904366.700564127,46308002.43422281,0.0,93665.0,187375.0,975863.2329827236,552963.0,163900.0,0.0,0.0,0.0165,0.0,0.0,158074892.3829158,41.66084484668536,8,4,7,3,0,s19,storage,0,120533139.28646399,3615994178.5939198,953.0
Cedar Keys-Lawson1,4.876514,1.344055,9,s21,Cedar Keys-Lawson1,Cedar Keys-Lawson,FL,South Florida,5666,-81.232485,27.839607,3550,300,5.31%,15,1668290.8703380276,137.0,2.0,55609.69567793425,3.0,12711836.947927631,2335850.056875,8182854.740194739,15603981.16923685,0.0,93665.0,118625.0,752179.354872611,454023.0,163900.0,0.0,0.0,0.0164999999999999,0.0,0.0,77905605.998898,46.69785550232786,0,2,5,3,0,s21,storage,0,7618528.307876992,228555849.23630977,137.0
Cedar Keys-Lawson2,12.285173,3.991001,10,s22,Cedar Keys-Lawson2,Cedar Keys-Lawson,FL,South Florida,16981,-81.245866,26.70484,4800,500,5.31%,77,13335416.142396905,80.0,2.0,444513.8714132301,19.0,22597200.41506803,3489473.0384375,23261235.51336808,50752857.02170145,0.0,93665.0,138562.5,861175.2812484272,482743.5,163900.0,0.0,0.0,0.0165,0.0,0.0,146677818.9405346,10.999118240802852,0,2,5,3,0,s22,storage,0,35561109.713058405,1066833291.3917524,80.0
Cedar Keys-Lawson3,2.913711,0.206507,11,s23,Cedar Keys-Lawson3,Cedar Keys-Lawson,FL,South Florida,889,-80.766134,25.318595,4600,300,5.31%,46,4949458.384005414,7.0,2.0,164981.94613351382,11.0,18599186.029623747,3141509.6034375,16787858.911266178,35199754.01957169,0.0,93665.0,133062.5,822379.523375152,476167.5,163900.0,0.0,0.0,0.0165,0.0,0.0,116422280.29812394,23.52222632568287,0,2,5,3,0,s23,storage,0,1154873.6229345966,34646208.6880379,7.0
Cisco1,8.051523,3.828115,12,s24,Cisco1,Cisco,TX,Palo Duro,15012,-101.65746,34.678773,4663,277,7.47%,99,5122363.458120433,55.0,2.0,170745.4486040144,24.0,23537355.77640644,3354724.1847500005,25541840.11431985,56471644.8803379,0.0,93665.0,133612.5,860878.0020903744,477225.0,163900.0,0.0,0.0,0.0165,0.0,0.0,152480539.9388014,29.767614341593724,10,3,7,3,0,s24,storage,0,9390999.673220793,281729990.1966238,55.0
Entrada1,7.732997,2.508363,21,s50,Entrada1,Entrada,CO,Piceance,9237,-108.04389,39.586576,4675,160,7.44%,67,3865293.800022733,50.0,2.0,128843.12666742444,16.0,23211182.76754786,4226834.600703124,21210896.12215179,43432143.36299665,0.0,93665.0,132168.75,834747.2983814001,476098.65,163900.0,0.0,0.0,0.0165,0.0,0.0,134659379.77503493,34.83807098292061,0,5,8,4,0,s50,storage,0,6442156.333371222,193264690.00113666,50.0
Entrada2,11.088946,2.934762,22,s51,Entrada2,Entrada,UT,Uinta,10799,-110.40894,39.645765,7240,670,7.44%,89,22806044.87915366,44.0,2.0,760201.4959717888,22.0,39235003.282029554,8176130.441749999,38321721.55365615,77690483.29960911,0.0,93665.0,174450.0,986731.3581346374,536207.4,163900.0,0.0,0.0,0.0165,0.0,0.0,218381790.54985827,9.575609962491772,0,5,8,4,0,s51,storage,0,33448865.822758704,1003465974.6827611,44.0
Entrada6,5.448464,1.408772,23,s55,Entrada6,Entrada,WY,Denver,5028,-104.53127,41.662894,7163,382,7.44%,91,12612289.661451222,20.0,2.0,420409.6553817074,22.0,38782082.18787313,8086971.341734375,37459580.77847825,75259506.69489095,0.0,93665.0,169431.25,972780.2543689844,531187.95,163900.0,0.0,0.0,0.0165,0.0,0.0,210642621.67863527,16.701378364505295,0,5,8,4,0,s55,storage,0,8408193.107634148,252245793.22902444,20.0
Entrada7,7.213523,2.402736,24,s56,Entrada7,Entrada,NE,Denver,8564,-103.23719,41.669831,7522,151,7.44%,69,3792771.092802768,45.0,2.0,126425.7030934256,17.0,30933482.985745743,5846895.127178501,31841291.76748711,66173011.55734898,0.0,93665.0,171191.25,966698.0878132784,536035.77,163900.0,0.0,0.0,0.0165,0.0,0.0,183062988.6546508,48.26628978533255,0,3,4,2,0,s56,storage,0,5689156.639204152,170674699.17612457,45.0
Entrada9,5.273926,1.485768,25,s58,Entrada9,Entrada,NM,San Juan,5705,-107.60356,36.504894,3000,130,7.44%,44,2234254.790599203,47.0,2.0,74475.15968664011,11.0,15713145.360208936,2995235.88675,12505295.031740883,24340625.06466471,0.0,93665.0,108725.0,743458.9727643719,440419.2,163900.0,0.0,0.0,0.0164999999999999,0.0,0.0,93937754.87954973,42.044334099584326,4,4,8,4,0,s58,storage,0,3500332.5052720853,105009975.15816255,47.0
Eutaw1,12.123983,7.296426,26,s59,Eutaw1,Eutaw,MS,Gulf Coast Onshore,29518,-89.8942,31.9943,6055,70,6.72%,83,2968396.8015915886,129.0,2.0,98946.56005305296,20.0,24710274.61436096,3912749.274453125,27439705.594303105,59613739.35501559,0.0,93665.0,149906.25,905466.2926904048,504141.75,163900.0,0.0,0.0,0.0165,0.0,0.0,160810825.6364661,54.17430228675724,0,2,6,3,0,s59,storage,0,12764106.246843832,382923187.4053149,129.0
