COMPOSITE TABLE:
ImpSec              nUS                 DReg                USi                 Pinlandtr
E                   NI                  01NE                UI                  999.99
E                   NI                  02YP                UI                  999.99
E                   NI                  03S1                UI                  999.99
E                   NI                  04S2                UI                  999.99
E                   NI                  05GF                UI                  999.99
E                   NI                  06OH                UI                  999.99
E                   NI                  07EN                UI                  999.99
E                   NI                  08KT                UI                  999.99
E                   NI                  09AM                UI                  999.99
E                   NI                  10C1                UI                  999.99
E                   NI                  11C2                UI                  999.99
E                   NI                  12WS                UI                  999.99
E                   NI                  13MT                UI                  999.99
E                   NI                  14CU                UI                  999.99
E                   NI                  15ZN                UI                  999.99
E                   NI                  16PC                UI                  999.99
E                   NW                  01NE                UI                  999.99
E                   NW                  02YP                UI                  999.99
E                   NW                  03S1                UI                  999.99
E                   NW                  04S2                UI                  999.99
E                   NW                  05GF                UI                  999.99
E                   NW                  06OH                UI                  999.99
E                   NW                  07EN                UI                  999.99
E                   NW                  08KT                UI                  999.99
E                   NW                  09AM                UI                  999.99
E                   NW                  10C1                UI                  999.99
E                   NW                  11C2                UI                  999.99
E                   NW                  12WS                UI                  999.99
E                   NW                  13MT                UI                  999.99
E                   NW                  14CU                UI                  999.99
E                   NW                  15ZN                UI                  999.99
E                   NW                  16PC                UI                  999.99
E                   CL                  01NE                UI                  999.99
E                   CL                  02YP                UI                  999.99
E                   CL                  03S1                UI                  999.99
E                   CL                  04S2                UI                  999.99
E                   CL                  05GF                UI                  999.99
E                   CL                  06OH                UI                  999.99
E                   CL                  07EN                UI                  999.99
E                   CL                  08KT                UI                  999.99
E                   CL                  09AM                UI                  999.99
E                   CL                  10C1                UI                  999.99
E                   CL                  11C2                UI                  999.99
E                   CL                  12WS                UI                  999.99
E                   CL                  13MT                UI                  999.99
E                   CL                  14CU                UI                  999.99
E                   CL                  15ZN                UI                  999.99
E                   CL                  16PC                UI                  999.99
E                   VZ                  01NE                UI                  999.99
E                   VZ                  02YP                UI                  999.99
E                   VZ                  03S1                UI                  999.99
E                   VZ                  04S2                UI                  999.99
E                   VZ                  05GF                UI                  999.99
E                   VZ                  06OH                UI                  999.99
E                   VZ                  07EN                UI                  999.99
E                   VZ                  08KT                UI                  999.99
E                   VZ                  09AM                UI                  999.99
E                   VZ                  10C1                UI                  999.99
E                   VZ                  11C2                UI                  999.99
E                   VZ                  12WS                UI                  999.99
E                   VZ                  13MT                UI                  999.99
E                   VZ                  14CU                UI                  999.99
E                   VZ                  15ZN                UI                  999.99
