  COMPOSITE TABLE:
  Ae        InternationalExportMaxShare  
!----------------------------------------------------------------------
  US        65                     
  NA        65                     
  CL        65                     
  VZ        65                     
  PO        65                     
  RS        65                       
  SF        65                       
  IN        65                       
  HI        65                       
  AU        65                       
  VT        65                       
                      
                      
                      
                      
                      
                      
                      
                      
                      
  
  
  
  
  
  
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
                      
                      
                      
                      
                      
                      
                      
                      
                      
  
  
  
  
                      
  
  
  
  
  
  
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
  
  
  
  
  
  
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
  
  
  
  
  
  
  
  
  
                      
  
  
  
  
  
                      
  
  
  
  
  
  
  
  
  
  
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
  
                      
                      
  
  
  
  
  
  
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
                      
  
  
  
  
  
  
  
  
  
                      
  
  
  
  
  
                      
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  

