COMPOSITE TABLE:
i  tc yr    InternationalDemand
!------------------------------------------------
AS 1  1990  0.20
AS 1  2001  0.00
AS 1  2002  0.00
AS 1  2003  0.00
AS 1  2004  0.00
AS 1  2005  0.00
AS 1  2006  0.00
AS 1  2007  0.00
AS 1  2008  0.26
AS 1  2009  0.22
AS 1  2010  0.35
AS 1  2011  0.48
AS 1  2012  0.47
AS 1  2013  1.02
AS 1  2014  1.92
AS 1  2015  3.29
AS 1  2016  5.26
AS 1  2017  5.03
AS 1  2018  9.90
AS 1  2019  14.67
AS 1  2020  16.33
AS 1  2021  17.69
AS 1  2022  18.85
AS 1  2023  19.82
AS 1  2024  21.18
AS 1  2025  22.00
AS 1  2026  22.22
AS 1  2027  22.43
AS 1  2028  22.65
AS 1  2029  22.88
AS 1  2030  23.10
AS 1  2031  23.33
AS 1  2032  23.56
AS 1  2033  23.79
AS 1  2034  24.02
AS 1  2035  24.26
AS 1  2036  24.49
AS 1  2037  24.73
AS 1  2038  24.98
AS 1  2039  25.22
AS 1  2040  25.47
AS 1  2041  25.72
AS 1  2042  25.97
AS 1  2043  26.22
AS 1  2044  26.48
AS 1  2045  26.74
AS 1  2046  27.00
AS 1  2047  27.27
AS 1  2048  27.54
AS 1  2049  27.81
AS 1  2050  28.08
BT 1  1990  8.50
BT 1  2001  10.40
BT 1  2002  6.50
BT 1  2003  6.70
BT 1  2004  6.90
BT 1  2005  8.90
BT 1  2006  8.80
BT 1  2007  7.30
BT 1  2008  6.97
BT 1  2009  5.14
BT 1  2010  6.97
BT 1  2011  6.86
BT 1  2012  5.24
BT 1  2013  6.93
BT 1  2014  10.12
BT 1  2015  5.19
BT 1  2016  2.86
BT 1  2017  2.89
BT 1  2018  2.91
BT 1  2019  2.31
BT 1  2020  1.81
BT 1  2021  2.31
BT 1  2022  2.31
BT 1  2023  2.31
BT 1  2024  2.21
BT 1  2025  2.20
BT 1  2026  2.20
BT 1  2027  2.20
BT 1  2028  2.20
BT 1  2029  2.20
BT 1  2030  2.20
BT 1  2031  2.20
BT 1  2032  2.20
BT 1  2033  2.20
BT 1  2034  2.20
BT 1  2035  2.20
BT 1  2036  2.20
BT 1  2037  2.20
BT 1  2038  2.20
BT 1  2039  2.20
BT 1  2040  2.20
BT 1  2041  2.20
BT 1  2042  2.20
BT 1  2043  2.20
BT 1  2044  2.20
BT 1  2045  2.20
BT 1  2046  2.20
BT 1  2047  2.20
BT 1  2048  2.20
BT 1  2049  2.20
BT 1  2050  2.20
CH 1  1990  0.00
CH 1  2001  0.00
CH 1  2002  0.00
CH 1  2003  3.10
CH 1  2004  6.20
CH 1  2005  4.30
CH 1  2006  3.50
CH 1  2007  2.80
CH 1  2008  2.40
CH 1  2009  38.13
CH 1  2010  36.22
CH 1  2011  26.71
CH 1  2012  51.50
CH 1  2013  72.44
CH 1  2014  60.01
CH 1  2015  44.42
CH 1  2016  46.55
CH 1  2017  51.87
CH 1  2018  48.36
CH 1  2019  52.87
CH 1  2020  52.67
CH 1  2021  53.64
CH 1  2022  52.67
CH 1  2023  52.67
CH 1  2024  50.44
CH 1  2025  51.00
CH 1  2026  50.90
CH 1  2027  50.80
CH 1  2028  50.69
CH 1  2029  50.59
CH 1  2030  50.49
CH 1  2031  50.39
CH 1  2032  50.29
CH 1  2033  50.19
CH 1  2034  50.09
CH 1  2035  49.99
CH 1  2036  49.88
CH 1  2037  49.78
CH 1  2038  49.68
CH 1  2039  49.58
CH 1  2040  49.49
CH 1  2041  49.39
CH 1  2042  49.29
CH 1  2043  49.19
CH 1  2044  49.09
CH 1  2045  48.99
CH 1  2046  48.89
CH 1  2047  48.79
CH 1  2048  48.70
CH 1  2049  48.60
CH 1  2050  48.50
EA 1  1990  17.00
EA 1  2001  25.60
EA 1  2002  24.10
EA 1  2003  25.20
EA 1  2004  26.40
EA 1  2005  26.30
EA 1  2006  27.30
EA 1  2007  28.00
EA 1  2008  28.45
EA 1  2009  25.92
EA 1  2010  35.41
