COMPOSITE TABLE:						
nUS	tc	InternationalHeatContent	InternationalSO2Unit	InternationalMercuryUnit	InternationalCO2Unit	InternationalScaleFactor	ScaleUSPrices
!--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	
NI	2	25.00				2.56			7.42				207.00			1.0040				0.9967
NW	2	23.20				1.72			7.42				207.00			1.0040				0.9967
CL	2	23.68				1.01			7.42				207.00			1.0035				0.9967
VZ	2	24.00				1.17			7.42				207.00			1.0015				0.9967
PO	2	22.40				2.86			7.42				207.00			1.0010				0.9967
RE	2	22.00				2.91			7.42				207.00			1.0020				0.9967
RA	2	22.80				2.81			7.42				207.00			1.0030				0.9967
SF	2	22.40				2.86			7.42				207.00			1.0035				0.9967
IN	2	20.12				0.60			7.42				207.00			1.0040				0.9967
HI	2	23.20				2.93			7.42				207.00			1.0030				0.9967
AU	2	22.80				2.11			7.42				207.00			1.0070				0.9967
VT	2	20.12				0.60			7.42				207.00			1.0030				0.9967
NI	1	24.76				1.62			7.42				207.00			0.9990				0.999
NW	1	24.76				1.62			7.42				207.00			1.0050				0.9927
CL	1	24.76				1.62			7.42				207.00			1.0000				1
VZ	1	24.76				1.62			7.42				207.00			1.0000				1
PO	1	25.20				2.54			7.42				207.00			1.0020				0.9927
RE	1	24.48				1.96			7.42				207.00			1.0025				0.9927
RA	1	24.48				1.63			7.42				207.00			1.0090				0.9927
SF	1	24.40				1.64			7.42				207.00			1.0060				0.9927
IN	1	23.20				1.90			7.42				207.00			1.0020				0.9927
HI	1	24.40				2.46			7.42				207.00			1.0020				0.9927
AU	1	24.30				1.65			7.42				207.00			1.0060				0.9927
VT	1	23.20				1.90			7.42				207.00			1.0010				0.9927
