COMPOSITE TABLE:
nUS     s       tc      yr      InternationalFOB        InternationalSupply
!-------------------------------------------------------------------------------------------------------------------------------------------------------------
AU      1       1       2015    54.44                   136.00
AU      2       1       2015    60.84                   7.56
AU      3       1       2015    67.60                   7.56
AU      4       1       2015    74.71                   7.56
AU      5       1       2015    82.18                   7.56
AU      6       1       2015    90.00                   7.56
AU      7       1       2015    98.18                   7.56
AU      8       1       2015    106.71                  7.56
AU      9       1       2015    115.60                  7.56
AU      10      1       2015    124.84                  7.56
AU      1       2       2015    19.96                   112.50
AU      2       2       2015    26.38                   25.00
AU      3       2       2015    33.13                   25.00
AU      4       2       2015    40.17                   25.00
AU      5       2       2015    47.47                   25.00
AU      6       2       2015    55.00                   25.00
AU      7       2       2015    62.74                   25.00
AU      8       2       2015    70.68                   25.00
AU      9       2       2015    78.80                   25.00
AU      10      2       2015    87.09                   25.00
AU      1       1       2016    54.44                   138.72
AU      2       1       2016    60.84                   7.71
AU      3       1       2016    67.60                   7.71
AU      4       1       2016    74.71                   7.71
AU      5       1       2016    82.18                   7.71
AU      6       1       2016    90.00                   7.71
AU      7       1       2016    98.18                   7.71
AU      8       1       2016    106.71                  7.71
AU      9       1       2016    115.60                  7.71
AU      10      1       2016    124.84                  7.71
AU      1       2       2016    19.96                   114.75
AU      2       2       2016    26.38                   25.50
AU      3       2       2016    33.13                   25.50
AU      4       2       2016    40.17                   25.50
AU      5       2       2016    47.47                   25.50
AU      6       2       2016    55.00                   25.50
AU      7       2       2016    62.74                   25.50
AU      8       2       2016    70.68                   25.50
AU      9       2       2016    78.80                   25.50
AU      10      2       2016    87.09                   25.50
AU      1       1       2017    54.44                   141.49
AU      2       1       2017    60.84                   7.86
AU      3       1       2017    67.60                   7.86
AU      4       1       2017    74.71                   7.86
AU      5       1       2017    82.18                   7.86
AU      6       1       2017    90.00                   7.86
AU      7       1       2017    98.18                   7.86
AU      8       1       2017    106.71                  7.86
AU      9       1       2017    115.60                  7.86
AU      10      1       2017    124.84                  7.86
AU      1       2       2017    19.96                   117.05
AU      2       2       2017    26.38                   26.01
AU      3       2       2017    33.13                   26.01
AU      4       2       2017    40.17                   26.01
