COMPOSITE TABLE:
DReg      tc   ExpSec   USe      yr       ExportLowerBound      ExportUpperBound
02YP      1    X1       UI       2010     0.000                 0.000
02YP      1    X2       UI       2010     25.000                100.000
02YP      1    X3       UI       2010     0.000                 0.000
02YP      2    X4       UI       2010     0.000                 10.000
02YP      2    X5       UI       2010     0.000                 25.000
02YP      2    X6       UI       2010     0.000                 0.000
03S1      1    X1       UE       2010     200.000               375.000
03S1      1    X2       UE       2010     0.000                 0.000
03S1      1    X3       UE       2010     0.000                 0.000
03S1      2    X4       UE       2010     0.001                 500.000
03S1      2    X5       UE       2010     0.000                 0.000
03S1      2    X6       UE       2010     0.000                 0.000
04S2      1    X1       UE       2010     0.000                 0.000
04S2      1    X2       UE       2010     500.000               1250.000
04S2      1    X3       UE       2010     0.000                 0.000
04S2      2    X4       UE       2010     0.000                 0.000
04S2      2    X5       UE       2010     0.001                 300.000
04S2      2    X6       UE       2010     0.000                 0.000
06OH      1    X1       UI       2010     0.001                 40.000
06OH      1    X2       UI       2010     0.001                 60.000
06OH      1    X3       UI       2010     0.000                 0.000
06OH      2    X4       UI       2010     0.000                 0.000
06OH      2    X5       UI       2010     0.001                 50.000
06OH      2    X6       UI       2010     0.000                 0.000
07EN      1    X1       UI       2010     0.000                 6.000
07EN      1    X2       UI       2010     0.000                 0.000
07EN      1    X3       UI       2010     0.000                 0.000
07EN      2    X4       UI       2010     0.000                 50.000
07EN      2    X5       UI       2010     0.000                 0.000
07EN      2    X6       UI       2010     0.000                 0.000
09AM      1    X1       UG       2010     150.000               600.000
09AM      1    X2       UG       2010     0.000                 0.000
09AM      1    X3       UG       2010     0.000                 0.000
09AM      2    X4       UG       2010     0.000                 0.000
09AM      2    X5       UG       2010     0.000                 100.000
09AM      2    X6       UG       2010     0.000                 100.000
10C1      1    X1       UI       2010     0.000                 0.000
10C1      1    X2       UI       2010     0.000                 0.000
10C1      1    X3       UI       2010     0.000                 0.000
10C1      2    X4       UI       2010     0.000                 0.000
10C1      2    X5       UI       2010     0.000                 25.000
10C1      2    X6       UI       2010     0.000                 0.000
12WS      1    X1       UG       2010     0.000                 100.000
12WS      1    X2       UG       2010     0.000                 60.000
12WS      1    X3       UG       2010     0.000                 1.453
12WS      2    X4       UG       2010     0.000                 100.000
12WS      2    X5       UG       2010     50.000                700.000
12WS      2    X6       UG       2010     0.000                 125.000
16PC      1    X1       UW       2010     0.000                 0.000
16PC      1    X2       UW       2010     0.000                 0.000
16PC      1    X3       UW       2010     0.001                 23.568
16PC      2    X4       UW       2010     10.000                150.000
16PC      2    X5       UA       2010     0.000                 25.000
16PC      2    X6       UW       2010     10.000                1000.000
02YP      1    X1       UI       2011     0.000                 0.000
02YP      1    X2       UI       2011     25.000                100.000
02YP      1    X3       UI       2011     0.000                 0.000
02YP      2    X4       UI       2011     0.000                 10.000
02YP      2    X5       UI       2011     0.000                 25.000
02YP      2    X6       UI       2011     0.000                 0.000
03S1      1    X1       UE       2011     200.000               375.000
03S1      1    X2       UE       2011     0.000                 0.000
03S1      1    X3       UE       2011     0.000                 0.000
03S1      2    X4       UE       2011     0.001                 500.000
03S1      2    X5       UE       2011     0.000                 0.000
03S1      2    X6       UE       2011     0.000                 0.000
04S2      1    X1       UE       2011     0.000                 0.000
04S2      1    X2       UE       2011     500.000               1250.000
04S2      1    X3       UE       2011     0.000                 0.000
04S2      2    X4       UE       2011     0.000                 0.000
04S2      2    X5       UE       2011     0.001                 300.000
04S2      2    X6       UE       2011     0.000                 0.000
06OH      1    X1       UI       2011     0.001                 40.000
06OH      1    X2       UI       2011     0.001                 60.000
06OH      1    X3       UI       2011     0.000                 0.000
06OH      2    X4       UI       2011     0.000                 0.000
06OH      2    X5       UI       2011     0.001                 50.000
06OH      2    X6       UI       2011     0.000                 0.000
