COMPOSITE TABLE:
e    i    tc   vclass    IntlNauticalMiles   VesselLadingT
!--------------------------------------------------------------------------------------------------
AU   AS   1    Capesize  3787                150000
AU   AS   2    Capesize  3787                150000
AU   BT   1    Panamax   11818               70000
AU   BT   2    Panamax   11818               70000
AU   CH   1    Capesize  3815                150000
AU   CH   2    Capesize  3815                150000
AU   EA   1    Capesize  4313                150000
AU   EA   2    Capesize  4313                150000
AU   GY   1    Panamax   11993               70000
AU   GY   2    Panamax   11993               70000
AU   IN   1    Capesize  5150                150000
AU   IN   2    Capesize  5150                150000
AU   JA   1    Panamax   3847                65000
AU   JA   2    Panamax   3847                65000
AU   LA   1    Panamax   9823                70000
AU   LA   2    Panamax   6669                70000
AU   MX   1    Panamax   7094                45000
AU   MX   2    Panamax   7094                45000
AU   NE   1    No_Ship   10149               0
AU   NE   2    Panamax   10149               35000
AU   NI   1    No_Ship   11041               0
AU   NI   2    No_Ship   11041               0
AU   OW   1    Capesize  11753               150000
AU   OW   2    Capesize  11753               150000
AU   PS   1    Panamax   11130               70000
AU   PS   2    Panamax   11130               70000
AU   RM   1    Capesize  8834                120000
AU   RM   2    Capesize  8834                120000
AU   SC   1    Panamax   12854               70000
AU   SC   2    Panamax   12854               70000
AU   TL   1    Capesize  9463                120000
AU   TL   2    Capesize  9463                120000
AU   UE   1    No_Ship   9356                0
AU   UE   2    Panamax   9356                35000
AU   UG   1    No_Ship   9379                0
AU   UG   2    Panamax   9379                35000
AU   UI   1    No_Ship   9987                0
AU   UI   2    No_Ship   9987                0
AU   UN   1    No_Ship   4084                0
AU   UN   2    Panamax   4084                35000
CL   AS   1    No_Ship   11104               0
CL   AS   2    Panamax   11104               70000
CL   BT   1    No_Ship   4543                0
CL   BT   2    Panamax   4543                70000
CL   CH   1    No_Ship   9595                0
CL   CH   2    Panamax   9595                70000
CL   EA   1    No_Ship   8887                0
CL   EA   2    Panamax   8887                70000
CL   GY   1    No_Ship   4718                0
CL   GY   2    Panamax   4718                70000
CL   IN   1    No_Ship   10643               0
CL   IN   2    Panamax   10643               70000
CL   JA   1    No_Ship   8126                0
