    COMPOSITE TABLE:
cl::SReg    cl::Sulf    cl::Mtyp    cl::Rank    cl::DReg    cl::Sec      cl::Trate2  cl::Trate3
    !----------------------------------------------------------
    1APN        1A          1S          1B          01NE        E            88.22       88.22
    1APN        1A          1S          1B          02YP        E            4.34        4.34
    1APN        1A          1S          1B          03S1        E            13.13       13.13
    1APN        1A          1S          1B          04S2        E            25.61       25.61
    1APN        1A          1S          1B          05GF        E            16.44       16.44
    1APN        1A          1S          1B          06OH        E            22.96       22.96
    1APN        1A          1S          1B          07EN        E            7.67        7.67
    1APN        1A          1S          1B          08KT        E            2.85        2.85
    1APN        1A          1S          1B          09AM        E            12.50       12.50
    1APN        1A          1S          1B          10C1        E            999.99      999.99
    1APN        1A          1S          1B          11C2        E            999.99      999.99
    1APN        1A          1S          1B          12WS        E            999.99      999.99
    1APN        1A          1S          1B          13MT        E            999.99      999.99
    1APN        1A          1S          1B          14CU        E            999.99      999.99
    1APN        1A          1S          1B          15ZN        E            999.99      999.99
    1APN        1A          1S          1B          16PC        E            999.99      999.99
    1APN        1A          1S          5G          01NE        E            999.99      999.99
    1APN        1A          1S          5G          02YP        E            3.25        3.25
    1APN        1A          1S          5G          03S1        E            5.95        5.95
    1APN        1A          1S          5G          04S2        E            999.99      999.99
    1APN        1A          1S          5G          05GF        E            999.99      999.99
    1APN        1A          1S          5G          06OH        E            999.99      999.99
    1APN        1A          1S          5G          07EN        E            999.99      999.99
    1APN        1A          1S          5G          08KT        E            999.99      999.99
    1APN        1A          1S          5G          09AM        E            999.99      999.99
    1APN        1A          1S          5G          10C1        E            999.99      999.99
    1APN        1A          1S          5G          11C2        E            999.99      999.99
    1APN        1A          1S          5G          12WS        E            999.99      999.99
    1APN        1A          1S          5G          13MT        E            999.99      999.99
    1APN        1A          1S          5G          14CU        E            999.99      999.99
    1APN        1A          1S          5G          15ZN        E            999.99      999.99
    1APN        1A          1S          5G          16PC        E            999.99      999.99
    2APR        1A          1S          1B          01NE        E            999.99      999.99
    2APR        1A          1S          1B          02YP        E            7.15        7.15
    2APR        1A          1S          1B          03S1        E            2.53        2.53
    2APR        1A          1S          1B          04S2        E            7.33        7.33
    2APR        1A          1S          1B          05GF        E            8.33        8.33
    2APR        1A          1S          1B          06OH        E            2.55        2.55
    2APR        1A          1S          1B          07EN        E            8.99        8.99
    2APR        1A          1S          1B          08KT        E            6.24        6.24
    2APR        1A          1S          1B          09AM        E            17.56       17.56
    2APR        1A          1S          1B          10C1        E            999.99      999.99
    2APR        1A          1S          1B          11C2        E            999.99      999.99
    2APR        1A          1S          1B          12WS        E            999.99      999.99
    2APR        1A          1S          1B          13MT        E            999.99      999.99
    2APR        1A          1S          1B          14CU        E            999.99      999.99
    2APR        1A          1S          1B          15ZN        E            999.99      999.99
    2APR        1A          1S          1B          16PC        E            999.99      999.99
    3INR        1A          1S          1B          01NE        E            999.99      999.99
    3INR        1A          1S          1B          02YP        E            47.63       47.63
    3INR        1A          1S          1B          03S1        E            13.05       13.05
    3INR        1A          1S          1B          04S2        E            14.38       14.38
    3INR        1A          1S          1B          05GF        E            12.28       12.28
    3INR        1A          1S          1B          06OH        E            17.55       17.55
    3INR        1A          1S          1B          07EN        E            3.09        3.09
    3INR        1A          1S          1B          08KT        E            5.41        5.41
    3INR        1A          1S          1B          09AM        E            2.50        2.50
    3INR        1A          1S          1B          10C1        E            999.99      999.99
    3INR        1A          1S          1B          11C2        E            10.33       10.33
    3INR        1A          1S          1B          12WS        E            12.84       12.84
    3INR        1A          1S          1B          13MT        E            999.99      999.99
    3INR        1A          1S          1B          14CU        E            999.99      999.99
    3INR        1A          1S          1B          15ZN        E            999.99      999.99
    3INR        1A          1S          1B          16PC        E            999.99      999.99
    4LGN        1A          1S          3L          01NE        E            999.99      999.99
    4LGN        1A          1S          3L          02YP        E            999.99      999.99
    4LGN        1A          1S          3L          03S1        E            999.99      999.99
    4LGN        1A          1S          3L          04S2        E            999.99      999.99
    4LGN        1A          1S          3L          05GF        E            999.99      999.99
    4LGN        1A          1S          3L          06OH        E            999.99      999.99
    4LGN        1A          1S          3L          07EN        E            999.99      999.99
    4LGN        1A          1S          3L          08KT        E            999.99      999.99
    4LGN        1A          1S          3L          09AM        E            4.92        4.92
    4LGN        1A          1S          3L          10C1        E            3.20        3.20
    4LGN        1A          1S          3L          11C2        E            999.99      999.99
    4LGN        1A          1S          3L          12WS        E            1.39        1.39
    4LGN        1A          1S          3L          13MT        E            3.02        3.02
    4LGN        1A          1S          3L          14CU        E            999.99      999.99
    4LGN        1A          1S          3L          15ZN        E            999.99      999.99
    4LGN        1A          1S          3L          16PC        E            999.99      999.99
    5PRB        1A          1S          2S          01NE        E            999.99      999.99
    5PRB        1A          1S          2S          02YP        E            999.99      999.99
    5PRB        1A          1S          2S          03S1        E            23.38       23.38
    5PRB        1A          1S          2S          04S2        E            999.99      999.99
    5PRB        1A          1S          2S          05GF        E            18.59       18.59
    5PRB        1A          1S          2S          06OH        E            16.42       16.42
    5PRB        1A          1S          2S          07EN        E            11.44       11.44
    5PRB        1A          1S          2S          08KT        E            10.94       10.94
    5PRB        1A          1S          2S          09AM        E            11.55       11.55
    5PRB        1A          1S          2S          10C1        E            12.52       12.52
    5PRB        1A          1S          2S          11C2        E            6.94        6.94
    5PRB        1A          1S          2S          12WS        E            10.60       10.60
