COMPOSITE TABLE:
SReg   Sulf    Mtyp    Rank    DReg    SubSec  Trate1
!-------------------------------------------------------------
1APN   1A      1S      1B      01NE    R1         39.43
1APN   1A      1S      1B      02YP    R1            10
1APN   1A      1S      1B      03S1    R1         17.53
1APN   1A      1S      1B      04S2    R1         11.32
1APN   1A      1S      1B      05GF    R1         35.14
1APN   1A      1S      1B      06OH    R1          4.23
1APN   1A      1S      1B      07EN    R1           5.5
1APN   1A      1S      1B      08KT    R1         18.41
1APN   1A      1S      1B      09AM    R1         16.35
1APN   1A      1S      1B      10C1    R1        999.99
1APN   1A      1S      1B      11C2    R1        999.99
1APN   1A      1S      1B      12WS    R1        999.99
1APN   1A      1S      1B      13MT    R1        999.99
1APN   1A      1S      1B      14CU    R1        999.99
1APN   1A      1S      1B      15ZN    R1        999.99
1APN   1A      1S      1B      16PC    R1        999.99
1APN   1A      1S      5G      01NE    R1        999.99
1APN   1A      1S      5G      02YP    R1        999.99
1APN   1A      1S      5G      03S1    R1        999.99
1APN   1A      1S      5G      04S2    R1        999.99
1APN   1A      1S      5G      05GF    R1        999.99
1APN   1A      1S      5G      06OH    R1        999.99
1APN   1A      1S      5G      07EN    R1        999.99
1APN   1A      1S      5G      08KT    R1        999.99
1APN   1A      1S      5G      09AM    R1        999.99
1APN   1A      1S      5G      10C1    R1        999.99
1APN   1A      1S      5G      11C2    R1        999.99
1APN   1A      1S      5G      12WS    R1        999.99
1APN   1A      1S      5G      13MT    R1        999.99
1APN   1A      1S      5G      14CU    R1        999.99
1APN   1A      1S      5G      15ZN    R1        999.99
1APN   1A      1S      5G      16PC    R1        999.99
2APR   1A      1S      1B      01NE    R1        999.99
2APR   1A      1S      1B      02YP    R1            20
2APR   1A      1S      1B      03S1    R1          3.25
2APR   1A      1S      1B      04S2    R1           6.5
2APR   1A      1S      1B      05GF    R1            11
2APR   1A      1S      1B      06OH    R1          13.5
2APR   1A      1S      1B      07EN    R1          5.85
2APR   1A      1S      1B      08KT    R1             5
2APR   1A      1S      1B      09AM    R1          4.75
2APR   1A      1S      1B      10C1    R1        999.99
2APR   1A      1S      1B      11C2    R1        999.99
2APR   1A      1S      1B      12WS    R1        999.99
2APR   1A      1S      1B      13MT    R1        999.99
2APR   1A      1S      1B      14CU    R1        999.99
2APR   1A      1S      1B      15ZN    R1        999.99
2APR   1A      1S      1B      16PC    R1        999.99
3INR   1A      1S      1B      01NE    R1        999.99
3INR   1A      1S      1B      02YP    R1        999.99
3INR   1A      1S      1B      03S1    R1        999.99
3INR   1A      1S      1B      04S2    R1         20.67
3INR   1A      1S      1B      05GF    R1        999.99
3INR   1A      1S      1B      06OH    R1        999.99
3INR   1A      1S      1B      07EN    R1        999.99
3INR   1A      1S      1B      08KT    R1           4.2
3INR   1A      1S      1B      09AM    R1        999.99
3INR   1A      1S      1B      10C1    R1         29.31
3INR   1A      1S      1B      11C2    R1         30.31
3INR   1A      1S      1B      12WS    R1        999.99
3INR   1A      1S      1B      13MT    R1        999.99
3INR   1A      1S      1B      14CU    R1        999.99
3INR   1A      1S      1B      15ZN    R1        999.99
3INR   1A      1S      1B      16PC    R1        999.99
4LGN   1A      1S      3L      01NE    R1        999.99
4LGN   1A      1S      3L      02YP    R1        999.99
4LGN   1A      1S      3L      03S1    R1        999.99
4LGN   1A      1S      3L      04S2    R1        999.99
4LGN   1A      1S      3L      05GF    R1        999.99
4LGN   1A      1S      3L      06OH    R1        999.99
4LGN   1A      1S      3L      07EN    R1        999.99
4LGN   1A      1S      3L      08KT    R1        999.99
4LGN   1A      1S      3L      09AM    R1        999.99
4LGN   1A      1S      3L      10C1    R1        999.99
4LGN   1A      1S      3L      11C2    R1        999.99
4LGN   1A      1S      3L      12WS    R1        999.99
4LGN   1A      1S      3L      13MT    R1        999.99
4LGN   1A      1S      3L      14CU    R1        999.99
4LGN   1A      1S      3L      15ZN    R1        999.99
4LGN   1A      1S      3L      16PC    R1        999.99
5PRB   1A      1S      2S      01NE    R1        999.99
5PRB   1A      1S      2S      02YP    R1        999.99
5PRB   1A      1S      2S      03S1    R1        999.99
5PRB   1A      1S      2S      04S2    R1        999.99
5PRB   1A      1S      2S      05GF    R1        999.99
5PRB   1A      1S      2S      06OH    R1        999.99
5PRB   1A      1S      2S      07EN    R1        999.99
5PRB   1A      1S      2S      08KT    R1        999.99
5PRB   1A      1S      2S      09AM    R1        999.99
5PRB   1A      1S      2S      10C1    R1        999.99
5PRB   1A      1S      2S      11C2    R1        999.99
5PRB   1A      1S      2S      12WS    R1        999.99
5PRB   1A      1S      2S      13MT    R1        999.99
5PRB   1A      1S      2S      14CU    R1        999.99
5PRB   1A      1S      2S      15ZN    R1        999.99
5PRB   1A      1S      2S      16PC    R1        999.99
6WSR   1A      1S      1B      01NE    R1        999.99
6WSR   1A      1S      1B      02YP    R1        999.99
6WSR   1A      1S      1B      03S1    R1        999.99
6WSR   1A      1S      1B      04S2    R1        999.99
6WSR   1A      1S      1B      05GF    R1        999.99
6WSR   1A      1S      1B      06OH    R1        999.99
6WSR   1A      1S      1B      07EN    R1        999.99
6WSR   1A      1S      1B      08KT    R1        999.99
6WSR   1A      1S      1B      09AM    R1        999.99
6WSR   1A      1S      1B      10C1    R1        999.99
6WSR   1A      1S      1B      11C2    R1        999.99
6WSR   1A      1S      1B      12WS    R1         61.42
6WSR   1A      1S      1B      13MT    R1            20
6WSR   1A      1S      1B      13MT    R2            20
6WSR   1A      1S      1B      15ZN    R1        999.99
6WSR   1A      1S      1B      13MT    I1            20
6WSR   1A      1S      2S      01NE    R1        999.99
6WSR   1A      1S      2S      02YP    R1        999.99
6WSR   1A      1S      2S      03S1    R1        999.99
6WSR   1A      1S      2S      04S2    R1        999.99
6WSR   1A      1S      2S      05GF    R1        999.99
6WSR   1A      1S      2S      06OH    R1        999.99
6WSR   1A      1S      2S      07EN    R1        999.99
6WSR   1A      1S      2S      08KT    R1        999.99
6WSR   1A      1S      2S      09AM    R1        999.99
6WSR   1A      1S      2S      10C1    R1        999.99
6WSR   1A      1S      2S      11C2    R1        999.99
6WSR   1A      1S      2S      12WS    R1        999.99
6WSR   1A      1S      2S      13MT    R1        999.99
6WSR   1A      1S      2S      14CU    R1        999.99
6WSR   1A      1S      2S      15ZN    R1        999.99
6WSR   1A      1S      2S      16PC    R1        999.99
1APN   1A      2D      1B      01NE    R1         39.43
1APN   1A      2D      1B      02YP    R1            15
1APN   1A      2D      1B      03S1    R1         17.53
1APN   1A      2D      1B      04S2    R1         11.32
1APN   1A      2D      1B      05GF    R1            24
1APN   1A      2D      1B      06OH    R1          4.23
1APN   1A      2D      1B      07EN    R1           5.5
1APN   1A      2D      1B      08KT    R1         18.41
1APN   1A      2D      1B      09AM    R1         16.35
1APN   1A      2D      1B      10C1    R1        999.99
1APN   1A      2D      1B      11C2    R1        999.99
1APN   1A      2D      1B      12WS    R1        999.99
1APN   1A      2D      1B      13MT    R1        999.99
1APN   1A      2D      1B      14CU    R1        999.99
1APN   1A      2D      1B      15ZN    R1        999.99
1APN   1A      2D      1B      16PC    R1        999.99
2APR   1A      2D      1B      01NE    R1        999.99
2APR   1A      2D      1B      02YP    R1            20
2APR   1A      2D      1B      03S1    R1           6.5
2APR   1A      2D      1B      04S2    R1             9
2APR   1A      2D      1B      05GF    R1          13.5
2APR   1A      2D      1B      06OH    R1            15
2APR   1A      2D      1B      07EN    R1          5.85
2APR   1A      2D      1B      08KT    R1           4.5
2APR   1A      2D      1B      09AM    R1             5
2APR   1A      2D      1B      10C1    R1        999.99
2APR   1A      2D      1B      11C2    R1        999.99
2APR   1A      2D      1B      12WS    R1        999.99
2APR   1A      2D      1B      13MT    R1        999.99
2APR   1A      2D      1B      14CU    R1        999.99
2APR   1A      2D      1B      15ZN    R1        999.99
2APR   1A      2D      1B      16PC    R1        999.99
3INR   1A      2D      1B      01NE    R1        999.99
3INR   1A      2D      1B      02YP    R1        999.99
3INR   1A      2D      1B      03S1    R1        999.99
3INR   1A      2D      1B      04S2    R1         20.67
3INR   1A      2D      1B      05GF    R1        999.99
3INR   1A      2D      1B      06OH    R1        999.99
3INR   1A      2D      1B      07EN    R1        999.99
3INR   1A      2D      1B      08KT    R1           4.2
3INR   1A      2D      1B      09AM    R1        999.99
3INR   1A      2D      1B      10C1    R1         29.31
3INR   1A      2D      1B      11C2    R1         30.31
3INR   1A      2D      1B      12WS    R1        999.99
3INR   1A      2D      1B      13MT    R1        999.99
3INR   1A      2D      1B      14CU    R1        999.99
3INR   1A      2D      1B      15ZN    R1        999.99
3INR   1A      2D      1B      16PC    R1        999.99
1APN   1A      2D      4P      01NE    R1        999.99
1APN   1A      2D      4P      02YP    R1        999.99
1APN   1A      2D      4P      03S1    R1        999.99
1APN   1A      2D      4P      04S2    R1        999.99
1APN   1A      2D      4P      05GF    R1        999.99
1APN   1A      2D      4P      06OH    R1        999.99
1APN   1A      2D      4P      07EN    R1        999.99
1APN   1A      2D      4P      08KT    R1        999.99
1APN   1A      2D      4P      09AM    R1        999.99
1APN   1A      2D      4P      10C1    R1        999.99
1APN   1A      2D      4P      11C2    R1        999.99
1APN   1A      2D      4P      12WS    R1        999.99
1APN   1A      2D      4P      13MT    R1        999.99
1APN   1A      2D      4P      14CU    R1        999.99
1APN   1A      2D      4P      15ZN    R1        999.99
1APN   1A      2D      4P      16PC    R1        999.99
1APN   1A      2D      4P      01NE    R1        999.99
1APN   1A      2D      4P      02YP    R1        999.99
1APN   1A      2D      4P      03S1    R1        999.99
1APN   1A      2D      4P      04S2    R1        999.99
1APN   1A      2D      4P      05GF    R1        999.99
1APN   1A      2D      4P      06OH    R1        999.99
1APN   1A      2D      4P      07EN    R1        999.99
1APN   1A      2D      4P      08KT    R1        999.99
1APN   1A      2D      4P      09AM    R1        999.99
1APN   1A      2D      4P      10C1    R1        999.99
1APN   1A      2D      4P      11C2    R1        999.99
1APN   1A      2D      4P      12WS    R1        999.99
1APN   1A      2D      4P      13MT    R1        999.99
1APN   1A      2D      4P      14CU    R1        999.99
1APN   1A      2D      4P      15ZN    R1        999.99
1APN   1A      2D      4P      16PC    R1        999.99
1APN   1A      1S      1B      01NE    R2         39.43
1APN   1A      1S      1B      02YP    R2            10
1APN   1A      1S      1B      03S1    R2         17.53
1APN   1A      1S      1B      04S2    R2         11.32
1APN   1A      1S      1B      05GF    R2         35.14
1APN   1A      1S      1B      06OH    R2          4.23
1APN   1A      1S      1B      07EN    R2           5.5
1APN   1A      1S      1B      08KT    R2         18.41
1APN   1A      1S      1B      09AM    R2         16.35
1APN   1A      1S      1B      10C1    R2        999.99
1APN   1A      1S      1B      11C2    R2        999.99
1APN   1A      1S      1B      12WS    R2        999.99
1APN   1A      1S      1B      13MT    R2        999.99
1APN   1A      1S      1B      14CU    R2        999.99
1APN   1A      1S      1B      15ZN    R2        999.99
1APN   1A      1S      1B      16PC    R2        999.99
1APN   1A      1S      5G      01NE    R2        999.99
1APN   1A      1S      5G      02YP    R2        999.99
1APN   1A      1S      5G      03S1    R2        999.99
1APN   1A      1S      5G      04S2    R2        999.99
1APN   1A      1S      5G      05GF    R2        999.99
1APN   1A      1S      5G      06OH    R2        999.99
1APN   1A      1S      5G      07EN    R2        999.99
1APN   1A      1S      5G      08KT    R2        999.99
1APN   1A      1S      5G      09AM    R2        999.99
1APN   1A      1S      5G      10C1    R2        999.99
1APN   1A      1S      5G      11C2    R2        999.99
1APN   1A      1S      5G      12WS    R2        999.99
1APN   1A      1S      5G      13MT    R2        999.99
1APN   1A      1S      5G      14CU    R2        999.99
1APN   1A      1S      5G      15ZN    R2        999.99
1APN   1A      1S      5G      16PC    R2        999.99
2APR   1A      1S      1B      01NE    R2        999.99
2APR   1A      1S      1B      02YP    R2            20
2APR   1A      1S      1B      03S1    R2         22.69
2APR   1A      1S      1B      04S2    R2         25.08
2APR   1A      1S      1B      05GF    R2         33.14
2APR   1A      1S      1B      06OH    R2         29.81
2APR   1A      1S      1B      07EN    R2          5.85
2APR   1A      1S      1B      08KT    R2         14.97
2APR   1A      1S      1B      09AM    R2         15.35
2APR   1A      1S      1B      10C1    R2        999.99
2APR   1A      1S      1B      11C2    R2        999.99
2APR   1A      1S      1B      12WS    R2        999.99
2APR   1A      1S      1B      13MT    R2        999.99
2APR   1A      1S      1B      14CU    R2        999.99
2APR   1A      1S      1B      15ZN    R2        999.99
2APR   1A      1S      1B      16PC    R2        999.99
3INR   1A      1S      1B      01NE    R2        999.99
3INR   1A      1S      1B      02YP    R2        999.99
3INR   1A      1S      1B      03S1    R2        999.99
3INR   1A      1S      1B      04S2    R2         20.67
3INR   1A      1S      1B      05GF    R2        999.99
3INR   1A      1S      1B      06OH    R2        999.99
3INR   1A      1S      1B      07EN    R2        999.99
3INR   1A      1S      1B      08KT    R2           4.2
3INR   1A      1S      1B      09AM    R2        999.99
3INR   1A      1S      1B      10C1    R2         29.31
3INR   1A      1S      1B      11C2    R2         30.31
3INR   1A      1S      1B      12WS    R2        999.99
3INR   1A      1S      1B      13MT    R2        999.99
3INR   1A      1S      1B      14CU    R2        999.99
3INR   1A      1S      1B      15ZN    R2        999.99
3INR   1A      1S      1B      16PC    R2        999.99
4LGN   1A      1S      3L      01NE    R2        999.99
4LGN   1A      1S      3L      02YP    R2        999.99
4LGN   1A      1S      3L      03S1    R2        999.99
4LGN   1A      1S      3L      04S2    R2        999.99
4LGN   1A      1S      3L      05GF    R2        999.99
4LGN   1A      1S      3L      06OH    R2        999.99
4LGN   1A      1S      3L      07EN    R2        999.99
4LGN   1A      1S      3L      08KT    R2        999.99
4LGN   1A      1S      3L      09AM    R2        999.99
4LGN   1A      1S      3L      10C1    R2        999.99
4LGN   1A      1S      3L      11C2    R2        999.99
4LGN   1A      1S      3L      12WS    R2        999.99
4LGN   1A      1S      3L      13MT    R2        999.99
4LGN   1A      1S      3L      14CU    R2        999.99
4LGN   1A      1S      3L      15ZN    R2        999.99
4LGN   1A      1S      3L      16PC    R2        999.99
5PRB   1A      1S      2S      01NE    R2        999.99
5PRB   1A      1S      2S      02YP    R2        999.99
5PRB   1A      1S      2S      03S1    R2        999.99
5PRB   1A      1S      2S      04S2    R2        999.99
5PRB   1A      1S      2S      05GF    R2        999.99
5PRB   1A      1S      2S      06OH    R2        999.99
5PRB   1A      1S      2S      07EN    R2        999.99
5PRB   1A      1S      2S      08KT    R2        999.99
5PRB   1A      1S      2S      09AM    R2        999.99
5PRB   1A      1S      2S      10C1    R2        999.99
5PRB   1A      1S      2S      11C2    R2        999.99
5PRB   1A      1S      2S      12WS    R2        999.99
5PRB   1A      1S      2S      13MT    R2        999.99
5PRB   1A      1S      2S      14CU    R2        999.99
5PRB   1A      1S      2S      15ZN    R2        999.99
5PRB   1A      1S      2S      16PC    R2        999.99
6WSR   1A      1S      1B      01NE    R2        999.99
6WSR   1A      1S      1B      02YP    R2        999.99
6WSR   1A      1S      1B      03S1    R2        999.99
6WSR   1A      1S      1B      04S2    R2        999.99
6WSR   1A      1S      1B      05GF    R2        999.99
6WSR   1A      1S      1B      06OH    R2        999.99
6WSR   1A      1S      1B      07EN    R2        999.99
6WSR   1A      1S      1B      08KT    R2        999.99
6WSR   1A      1S      1B      09AM    R2        999.99
6WSR   1A      1S      1B      10C1    R2        999.99
6WSR   1A      1S      1B      11C2    R2        999.99
6WSR   1A      1S      1B      12WS    R2         61.42
6WSR   1A      1S      1B      13MT    I2            20
