  COMPOSITE TABLE:
  Sreg    Dreg    Sec   Tonrailmile
!----------------------------------------------------------------------------------
  01NA    01NE    E     918       
  01NA    02YP    E     154       
  01NA    03S1    E     231       
  01NA    04S2    E     503       
  01NA    05GF    E     1100      
  01NA    06OH    E     8         
  01NA    07EN    E     375       
  01NA    08KT    E     0         
  01NA    09AM    E     0         
  01NA    10C1    E     791       
  01NA    11C2    E     791       
  01NA    12WS    E     1500      
  01NA    13MT    E     1773      
  01NA    14CU    E     2100      
  01NA    15ZN    E     2300      
  01NA    16PC    E     3000      
  02CA    01NE    E     1044      
  02CA    02YP    E     628       
  02CA    03S1    E     306       
  02CA    04S2    E     306       
  02CA    05GF    E     564       
  02CA    06OH    E     161       
  02CA    07EN    E     229       
  02CA    08KT    E     173       
  02CA    09AM    E     721       
  02CA    10C1    E     600       
  02CA    11C2    E     776       
  02CA    12WS    E     1334      
  02CA    13MT    E     1773      
  02CA    14CU    E     1410      
  02CA    15ZN    E     1972      
  02CA    16PC    E     2365      
  03SA    01NE    E     1100      
  03SA    02YP    E     700       
  03SA    03S1    E     200       
  03SA    04S2    E     200       
  03SA    05GF    E     208       
  03SA    06OH    E     400       
  03SA    07EN    E     0         
  03SA    08KT    E     0         
  03SA    09AM    E     137       
  03SA    10C1    E     1000      
  03SA    11C2    E     1000      
  03SA    12WS    E     1134      
  03SA    13MT    E     1742      
  03SA    14CU    E     1379      
  03SA    15ZN    E     1603      
  03SA    16PC    E     2534      
  04EI    01NE    E     1100      
  04EI    02YP    E     623       
  04EI    03S1    E     700       
  04EI    04S2    E     700       
  04EI    05GF    E     862       
  04EI    06OH    E     0         
  04EI    07EN    E     76        
  04EI    08KT    E     103       
  04EI    09AM    E     340       
  04EI    10C1    E     327       
  04EI    11C2    E     327       
  04EI    12WS    E     776       
  04EI    13MT    E     1179      
  04EI    14CU    E     1010      
  04EI    15ZN    E     1572      
  04EI    16PC    E     2365      
  05WI    01NE    E     1300      
  05WI    02YP    E     800       
  05WI    03S1    E     800       
  05WI    04S2    E     800       
  05WI    05GF    E     711       
  05WI    06OH    E     700       
  05WI    07EN    E     430       
  05WI    08KT    E     606       
  05WI    09AM    E     740       
  05WI    10C1    E     109       
  05WI    11C2    E     109       
  05WI    12WS    E     446       
  05WI    13MT    E     1047      
  05WI    14CU    E     674       
  05WI    15ZN    E     1067      
  05WI    16PC    E     2095      
  06GL    01NE    E     2000      
  06GL    02YP    E     1800      
  06GL    03S1    E     731       
  06GL    04S2    E     731       
  06GL    05GF    E     805       
  06GL    06OH    E     1800      
  06GL    07EN    E     661       
  06GL    08KT    E     930       
  06GL    09AM    E     631       
  06GL    10C1    E     950       
  06GL    11C2    E     950       
  06GL    12WS    E     15        
  06GL    13MT    E     1695      
  06GL    14CU    E     1065      
  06GL    15ZN    E     1188      
  06GL    16PC    E     2733      
  07DL    01NE    E     2000      
  07DL    02YP    E     2000      
  07DL    03S1    E     2100      
  07DL    04S2    E     2100      
  07DL    05GF    E     1768      
  07DL    06OH    E     1900      
  07DL    07EN    E     992       
  07DL    08KT    E     1600      
  07DL    09AM    E     1589      
  07DL    10C1    E     10        
  07DL    11C2    E     10        
  07DL    12WS    E     1438      
  07DL    13MT    E     54        
  07DL    14CU    E     1074      
  07DL    15ZN    E     1806      
  07DL    16PC    E     1481      
  08WM    01NE    E     2026      
  08WM    02YP    E     2000      
  08WM    03S1    E     1500      
  08WM    04S2    E     1500      
  08WM    05GF    E     1889      
  08WM    06OH    E     1571      
  08WM    07EN    E     1286      
  08WM    08KT    E     1546      
  08WM    09AM    E     1641      
  08WM    10C1    E     825       
  08WM    11C2    E     825       
  08WM    12WS    E     1310      
  08WM    13MT    E     0         
  08WM    14CU    E     524       
  08WM    15ZN    E     1599      
  08WM    16PC    E     1258      
  09NW    01NE    E     2100      
  09NW    02YP    E     1655      
  09NW    03S1    E     2082      
  09NW    04S2    E     2082      
  09NW    05GF    E     1805      
  09NW    06OH    E     1538      
  09NW    07EN    E     1230      
  09NW    08KT    E     1435      
  09NW    09AM    E     1542      
  09NW    10C1    E     882       
  09NW    11C2    E     882       
  09NW    12WS    E     1318      
  09NW    13MT    E     192       
  09NW    14CU    E     447       
  09NW    15ZN    E     1441      
  09NW    16PC    E     1247      
  10SW    01NE    E     2100      
  10SW    02YP    E     1655      
  10SW    03S1    E     2082      
  10SW    04S2    E     2082      
  10SW    05GF    E     1805      
  10SW    06OH    E     1538      
  10SW    07EN    E     1230      
  10SW    08KT    E     1435      
  10SW    09AM    E     1542      
  10SW    10C1    E     882       
  10SW    11C2    E     882       
  10SW    12WS    E     1318      
  10SW    13MT    E     192       
  10SW    14CU    E     447       
  10SW    15ZN    E     1441      
  10SW    16PC    E     1247      
  11WW    01NE    E     2100      
  11WW    02YP    E     1755      
  11WW    03S1    E     2182      
  11WW    04S2    E     2182      
  11WW    05GF    E     1905      
  11WW    06OH    E     1577      
  11WW    07EN    E     1330      
  11WW    08KT    E     1535      
  11WW    09AM    E     1642      
  11WW    10C1    E     982       
  11WW    11C2    E     982       
  11WW    12WS    E     1665      
  11WW    13MT    E     164       
  11WW    14CU    E     1201      
  11WW    15ZN    E     1246      
  11WW    16PC    E     1180      
  12RM    01NE    E     2455      
  12RM    02YP    E     1977      
  12RM    03S1    E     2397      
  12RM    04S2    E     2397      
  12RM    05GF    E     1858      
  12RM    06OH    E     1568      
  12RM    07EN    E     1422      
  12RM    08KT    E     1504      
  12RM    09AM    E     1681      
  12RM    10C1    E     1173      
  12RM    11C2    E     1173      
  12RM    12WS    E     1361      
  12RM    13MT    E     920       
  12RM    14CU    E     139       
  12RM    15ZN    E     965       
  12RM    16PC    E     858       
  13ZN    01NE    E     2555      
  13ZN    02YP    E     2077      
  13ZN    03S1    E     2497      
  13ZN    04S2    E     2497      
  13ZN    05GF    E     1782      
  13ZN    06OH    E     1649      
  13ZN    07EN    E     1543      
  13ZN    08KT    E     1568      
  13ZN    09AM    E     1605      
  13ZN    10C1    E     1373      
  13ZN    11C2    E     1373      
  13ZN    12WS    E     839       
  13ZN    13MT    E     1290      
  13ZN    14CU    E     273       
  13ZN    15ZN    E     74        
  13ZN    16PC    E     694       
  14AW    01NE    E     3000      
  14AW    02YP    E     3000      
  14AW    03S1    E     3000      
  14AW    04S2    E     3000      
  14AW    05GF    E     3000      
  14AW    06OH    E     2500      
  14AW    07EN    E     2241      
  14AW    08KT    E     2800      
  14AW    09AM    E     2835      
  14AW    10C1    E     2000      
  14AW    11C2    E     2000      
  14AW    12WS    E     2489      
  14AW    13MT    E     1048      
  14AW    14CU    E     1694      
  14AW    15ZN    E     1813      
  14AW    16PC    E     0         
  01NA    01NE    I     918       
  01NA    02YP    I     154       
  01NA    03S1    I     0         
  01NA    04S2    I     503       
  01NA    05GF    I     1100      
  01NA    06OH    I     0         
  01NA    07EN    I     375       
  01NA    08KT    I     0         
  01NA    09AM    I     0         
  01NA    10C1    I     791       
  01NA    11C2    I     791       
  01NA    12WS    I     1500      
  01NA    13MT    I     1773      
  01NA    14CU    I     2100      
  01NA    15ZN    I     2300      
  01NA    16PC    I     3000      
  02CA    01NE    I     1044      
  02CA    02YP    I     628       
  02CA    03S1    I     0         
  02CA    04S2    I     306       
  02CA    05GF    I     564       
  02CA    06OH    I     0         
  02CA    07EN    I     229       
  02CA    08KT    I     173       
  02CA    09AM    I     721       
  02CA    10C1    I     0         
  02CA    11C2    I     0         
  02CA    12WS    I     0         
  02CA    13MT    I     1773      
  02CA    14CU    I     1410      
  02CA    15ZN    I     1972      
  02CA    16PC    I     2365      
  03SA    01NE    I     1100      
  03SA    02YP    I     700       
  03SA    03S1    I     200       
  03SA    04S2    I     200       
  03SA    05GF    I     208       
  03SA    06OH    I     400       
  03SA    07EN    I     0         
  03SA    08KT    I     0         
  03SA    09AM    I     0         
  03SA    10C1    I     1000      
  03SA    11C2    I     1000      
  03SA    12WS    I     0         
  03SA    13MT    I     1742      
  03SA    14CU    I     1379      
  03SA    15ZN    I     1603      
  03SA    16PC    I     2534      
  04EI    01NE    I     0         
  04EI    02YP    I     623       
  04EI    03S1    I     0         
  04EI    04S2    I     700       
  04EI    05GF    I     862       
  04EI    06OH    I     0         
  04EI    07EN    I     76        
  04EI    08KT    I     0         
  04EI    09AM    I     340       
  04EI    10C1    I     327       
  04EI    11C2    I     0         
  04EI    12WS    I     0         
  04EI    13MT    I     1179      
  04EI    14CU    I     1010      
  04EI    15ZN    I     1572      
  04EI    16PC    I     2365      
  05WI    01NE    I     1300      
  05WI    02YP    I     800       
  05WI    03S1    I     800       
  05WI    04S2    I     800       
  05WI    05GF    I     711       
  05WI    06OH    I     700       
  05WI    07EN    I     430       
  05WI    08KT    I     606       
  05WI    09AM    I     740       
  05WI    10C1    I     109       
  05WI    11C2    I     109       
  05WI    12WS    I     446       
  05WI    13MT    I     1047      
  05WI    14CU    I     674       
  05WI    15ZN    I     1067      
  05WI    16PC    I     2095      
  06GL    01NE    I     2000      
  06GL    02YP    I     1800      
  06GL    03S1    I     731       
  06GL    04S2    I     731       
  06GL    05GF    I     805       
  06GL    06OH    I     1800      
  06GL    07EN    I     661       
  06GL    08KT    I     930       
  06GL    09AM    I     631       
  06GL    10C1    I     950       
  06GL    11C2    I     950       
  06GL    12WS    I     0         
  06GL    13MT    I     1695      
  06GL    14CU    I     1065      
  06GL    15ZN    I     1188      
  06GL    16PC    I     2733      
  07DL    01NE    I     2000      
  07DL    02YP    I     2000      
  07DL    03S1    I     2100      
  07DL    04S2    I     2100      
  07DL    05GF    I     1768      
  07DL    06OH    I     1900      
  07DL    07EN    I     992       
  07DL    08KT    I     1600      
  07DL    09AM    I     1589      
  07DL    10C1    I     0         
  07DL    11C2    I     10        
  07DL    12WS    I     1438      
  07DL    13MT    I     54        
  07DL    14CU    I     1074      
  07DL    15ZN    I     1806      
  07DL    16PC    I     1481      
  08WM    01NE    I     2026      
  08WM    02YP    I     2000      
  08WM    03S1    I     1500      
  08WM    04S2    I     1500      
  08WM    05GF    I     1889      
  08WM    06OH    I     1571      
  08WM    07EN    I     1286      
  08WM    08KT    I     1546      
  08WM    09AM    I     1641      
  08WM    10C1    I     825       
  08WM    11C2    I     825       
  08WM    12WS    I     1310      
  08WM    13MT    I     0         
  08WM    14CU    I     524       
  08WM    15ZN    I     1599      
  08WM    16PC    I     1258      
  09NW    01NE    I     2100      
  09NW    02YP    I     1655      
  09NW    03S1    I     2082      
  09NW    04S2    I     2082      
  09NW    05GF    I     1805      
  09NW    06OH    I     1538      
  09NW    07EN    I     1230      
  09NW    08KT    I     1435      
  09NW    09AM    I     1542      
  09NW    10C1    I     882       
  09NW    11C2    I     882       
  09NW    12WS    I     1318      
  09NW    13MT    I     0         
  09NW    14CU    I     447       
  09NW    15ZN    I     1441      
  09NW    16PC    I     1247      
