 COMPOSITE TABLE:
 Sreg         TonsPCar   Trigger   Trig_Incr   ChargePermile_car
!--------------------------------------------------------------------
 01NA         110        2.00      0.04        0.01
 02CA         110        2.00      0.04        0.01
 03SA         110        2.00      0.04        0.01
 04EI         110        2.00      0.04        0.01
 05WI         110        1.25      0.06        0.01
 06GL         110        1.25      0.06        0.01
 07DL         110        1.25      0.06        0.01
 08WM         120        1.25      0.06        0.01
 09NW         120        1.25      0.06        0.01
 10SW         120        1.25      0.06        0.01
 11WW         110        1.25      0.06        0.01
 12RM         110        1.25      0.06        0.01
 13ZN         110        1.25      0.06        0.01
 14AW         110        1.25      0.06        0.01

