     COMPOSITE TABLE:
cl:: commodity         cl:: yr         cl:: USe         cl:: arcdestnode         cl:: ICMM_USA_export_MMst         cl:: ICMM_USA_export_Mmt         cl:: ICMM_USA_export_trills
     'Metallurgical'        2010            'UE'             'BRZ_demand'             5.260707779                       4.772439495                      137.7703838
     'Metallurgical'        2010            'UE'             'CHI_demand'             1.119396346                       1.015500491                      29.31538316
     'Metallurgical'        2010            'UE'             'IND_demand'             4.350182611                       3.946423974                      113.9250369
     'Metallurgical'        2010            'UE'             'JPN_demand'             1.854220063                       1.682122146                      48.55936128
     'Metallurgical'        2010            'UE'             'WEU_demand'             18.10589687                       16.42541288                      474.1674439
     'Metallurgical'        2010            'UG'             'BRZ_demand'             1.146778896                       1.040341552                      30.03249282
     'Metallurgical'        2010            'UG'             'CHI_demand'             0.3078611996                      0.2792873145                     8.062442813
     'Metallurgical'        2010            'UG'             'IND_demand'             0.5073303723                      0.4602429193                     13.28625406
     'Metallurgical'        2010            'UG'             'JPN_demand'             0.5376861541                      0.4877812541                     14.0812284
     'Metallurgical'        2010            'UG'             'WEU_demand'             4.401579948                       3.99305091                       115.2710594
     'Metallurgical'        2010            'UG'             'MEX_demand'             2.390329709                       2.168473215                      62.59930321
     'Metallurgical'        2010            'UI'             'CAN_demand'             5.483370158                       4.974435647                      143.6015918
     'Metallurgical'        2011            'UE'             'BRZ_demand'             5.731340606                       5.199390921                      148.2920982
     'Metallurgical'        2011            'UE'             'CHI_demand'             5.543642711                       5.029114052                      143.4356228
     'Metallurgical'        2011            'UE'             'IND_demand'             5.775315744                       5.239284543                      149.4299063
     'Metallurgical'        2011            'UE'             'JPN_demand'             25.22846411                       22.88690487                      652.7586013
     'Metallurgical'        2011            'UE'             'SKO_demand'             3.481345402                       3.15822718                       90.07596127
     'Metallurgical'        2011            'UE'             'WEU_demand'             18.20260953                       16.51314924                      470.9723862
     'Metallurgical'        2011            'UG'             'AFRN_demand'            1.439086398                       1.305518772                      37.23476864
     'Metallurgical'        2011            'UG'             'BRZ_demand'             1.249371896                       1.133412467                      32.32611578
     'Metallurgical'        2011            'UG'             'CHI_demand'             1.524636471                       1.383128586                      39.44828216
     'Metallurgical'        2011            'UG'             'IND_demand'             0.6735333545                      0.6110199078                     17.42693049
     'Metallurgical'        2011            'UG'             'JPN_demand'             7.315742135                       6.636737519                      189.2867352
     'Metallurgical'        2011            'UG'             'MEA_demand'             5.363165532                       4.865387715                      138.7659755
     'Metallurgical'        2011            'UG'             'WEU_demand'             4.425090991                       4.014379794                      114.4943344
     'Metallurgical'        2011            'UG'             'MEX_demand'             0.8749708232                      0.7937611228                     22.63890217
     'Metallurgical'        2011            'UI'             'CAN_demand'             5.495932298                       4.985831842                      142.2011687
     'Metallurgical'        2012            'UE'             'BRZ_demand'             5.247500896                       4.760458397                      136.3205168
     'Metallurgical'        2012            'UE'             'CHI_demand'             28.58380943                       25.93082657                      742.5553134
