COMPOSITE TABLE:
pu_id               mx_unt_echo         Plantid             Unitid              PlantName                     PlantState          NDReg_plant         Bit_share      GOB_share      Lig_share      SubBit_share   Plant_L_Prof   Plant_S_Prof
3_3                 1                   3                   "3"                 "Barry"                       "AL"                9                   0.8927         0.0000         0.0000         0.1073         1              3
3_4                 2                   3                   "4"                 "Barry"                       "AL"                9                   0.8927         0.0000         0.0000         0.1073         1              3
3_5                 3                   3                   "5"                 "Barry"                       "AL"                9                   0.8927         0.0000         0.0000         0.1073         1              3
8_10                4                   8                   "10"                "Gorgas"                      "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
8_6                 5                   8                   "6"                 "Gorgas"                      "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
8_7                 6                   8                   "7"                 "Gorgas"                      "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
8_8                 7                   8                   "8"                 "Gorgas"                      "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
8_9                 8                   8                   "9"                 "Gorgas"                      "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
26_5                9                   26                  "5"                 "E C Gaston"                  "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
47_1                10                  47                  "1"                 "Colbert"                     "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
47_2                11                  47                  "2"                 "Colbert"                     "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
47_3                12                  47                  "3"                 "Colbert"                     "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
47_4                13                  47                  "4"                 "Colbert"                     "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
47_5                14                  47                  "5"                 "Colbert"                     "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
50_1                15                  50                  "1"                 "Widows Creek"                "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
50_2                16                  50                  "2"                 "Widows Creek"                "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
50_3                17                  50                  "3"                 "Widows Creek"                "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
50_4                18                  50                  "4"                 "Widows Creek"                "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
50_5                19                  50                  "5"                 "Widows Creek"                "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
50_6                20                  50                  "6"                 "Widows Creek"                "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
50_7                21                  50                  "7"                 "Widows Creek"                "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
50_8                22                  50                  "8"                 "Widows Creek"                "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
51_1                23                  51                  "1"                 "Dolet Hills"                 "LA"                12                  0.0000         0.0000         1.0000         0.0000         11             1
56_1                24                  56                  "1"                 "Lowman Energy Center"        "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
56_2                25                  56                  "2"                 "Lowman Energy Center"        "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
56_3                26                  56                  "3"                 "Lowman Energy Center"        "AL"                9                   1.0000         0.0000         0.0000         0.0000         1              1
59_1                27                  59                  "1"                 "Platte"                      "NE"                11                  0.0000         0.0000         0.0000         1.0000         1              11
60_1                28                  60                  "1"                 "Whelan Energy Center"        "NE"                11                  0.0000         0.0000         0.0000         1.0000         1              11
60_2                29                  60                  "2"                 "Whelan Energy Center"        "NE"                11                  0.0000         0.0000         0.0000         1.0000         1              11
87_1                30                  87                  "1"                 "Escalante"                   "NM"                15                  0.0000         0.0000         0.0000         1.0000         1              11
108_1               31                  108                 "1"                 "Holcomb"                     "KS"                11                  0.0000         0.0000         0.0000         1.0000         1              11
113_1               32                  113                 "1"                 "Cholla"                      "AZ"                15                  0.0000         0.0000         0.0000         1.0000         1              11
113_2               33                  113                 "2"                 "Cholla"                      "AZ"                15                  0.0000         0.0000         0.0000         1.0000         1              11
113_3               34                  113                 "3"                 "Cholla"                      "AZ"                15                  0.0000         0.0000         0.0000         1.0000         1              11
113_4               35                  113                 "4"                 "Cholla"                      "AZ"                15                  0.0000         0.0000         0.0000         1.0000         1              11
127_1               36                  127                 "1"                 "Oklaunion"                   "TX"                12                  0.0000         0.0000         0.0000         1.0000         1              11
130_1               37                  130                 "1"                 "Cross"                       "SC"                4                   1.0000         0.0000         0.0000         0.0000         1              1
130_2               38                  130                 "2"                 "Cross"                       "SC"                4                   1.0000         0.0000         0.0000         0.0000         1              1
130_3               39                  130                 "3"                 "Cross"                       "SC"                4                   1.0000         0.0000         0.0000         0.0000         1              1
130_4               40                  130                 "4"                 "Cross"                       "SC"                4                   1.0000         0.0000         0.0000         0.0000         1              1
136_1               41                  136                 "1"                 "Seminole (FL)"               "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
136_2               42                  136                 "2"                 "Seminole (FL)"               "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
