    COMPOSITE TABLE:
cl::NSREGN         cl::yr             cl::hcldist
    1                  2014               144.000
    2                  2014               169.530
    3                  2014               136.600
    4                  2014               79.490
    5                  2014               431.990
    6                  2014               82.590
    1                  2015               146.202
    2                  2015               132.240
    3                  2015               120.710
    4                  2015               71.570
    5                  2015               410.950
    6                  2015               65.490
    1                  2016               122.131
    2                  2016               103.270
    3                  2016               97.200
    4                  2016               73.100
    5                  2016               323.640
    6                  2016               51.980
    1                  2017               110.930
    2                  2017               94.330
    3                  2017               104.300
    4                  2017               70.110
    5                  2017               345.540
    6                  2017               56.280
    1                  2018               118.632
    2                  2018               96.940
    3                  2018               107.710
    4                  2018               59.180
    5                  2018               334.940
    6                  2018               56.850
    1                  2019               116.934
    2                  2019               92.080
    3                  2019               100.140
    4                  2019               54.830
    5                  2019               304.070
    6                  2019               53.650
    1                  2020               85.053
    2                  2020               59.470
    3                  2020               67.780
    4                  2020               49.660
    5                  2020               238.680
    6                  2020               40.510
    1                  2021               97.867
    2                  2021               64.370
    3                  2021               72.660
    4                  2021               47.360
    5                  2021               260.010
    6                  2021               41.790
    1                  2022               70.101
    2                  2022               27.329
    3                  2022               64.376
    4                  2022               47.610
    5                  2022               243.160
    6                  2022               49.931
    1                  2023               58.516
    2                  2023               26.626
    3                  2023               61.631
    4                  2023               41.243
    5                  2023               232.364
    6                  2023               41.575
    1                  2024               47.423
    2                  2024               27.058
    3                  2024               55.279
    4                  2024               39.468
    5                  2024               187.693
    6                  2024               38.647
    ;
