COMPOSITE TABLE:
M4     M11    tc     yr     hclworld
1      1      1      1998   11.20
2      1      1      1998   77.30
3      1      1      1998   2.50
4      1      1      1998   92.20
1      2      1      1998   8.40
2      2      1      1998   5.00
3      2      1      1998   17.60
4      2      1      1998   31.00
1      3      1      1998   45.90
2      3      1      1998   14.80
3      3      1      1998   0.40
4      3      1      1998   66.30
1      4      1      1998   8.90
2      4      1      1998   2.50
3      4      1      1998   0.00
4      4      1      1998   11.40
1      5      1      1998   14.40
2      5      1      1998   0.00
3      5      1      1998   0.00
4      5      1      1998   14.40
1      6      1      1998   0.70
2      6      1      1998   5.20
3      6      1      1998   0.60
4      6      1      1998   6.40
1      7      1      1998   2.40
2      7      1      1998   25.70
3      7      1      1998   0.00
4      7      1      1998   30.20
1      8      1      1998   25.50
2      8      1      1998   0.00
3      8      1      1998   9.90
4      8      1      1998   38.90
1      9      1      1998   0.30
2      9      1      1998   2.80
3      9      1      1998   0.10
4      9      1      1998   3.20
1      10     1      1998   2.20
2      10     1      1998   37.10
3      10     1      1998   1.90
4      10     1      1998   51.80
1      11     1      1998   119.80
2      11     1      1998   170.30
3      11     1      1998   33.00
4      11     1      1998   345.60
1      1      2      1998   17.90
2      1      2      1998   63.20
3      1      2      1998   4.90
4      1      2      1998   91.60
1      2      2      1998   28.60
2      2      2      1998   6.70
3      2      2      1998   11.80
4      2      2      1998   47.10
1      3      2      1998   1.20
2      3      2      1998   4.20
3      3      2      1998   1.90
4      3      2      1998   7.60
1      4      2      1998   1.70
2      4      2      1998   3.00
3      4      2      1998   0.00
4      4      2      1998   4.70
1      5      2      1998   6.00
2      5      2      1998   0.00
3      5      2      1998   0.00
4      5      2      1998   6.00
1      6      2      1998   6.70
2      6      2      1998   21.90
3      6      2      1998   2.70
4      6      2      1998   31.20
1      7      2      1998   0.10
2      7      2      1998   7.70
3      7      2      1998   0.00
4      7      2      1998   5.30
1      8      2      1998   0.30
2      8      2      1998   0.30
3      8      2      1998   0.20
4      8      2      1998   0.80
1      9      2      1998   0.00
2      9      2      1998   0.00
3      9      2      1998   0.00
4      9      2      1998   0.00
1      10     2      1998   0.80
2      10     2      1998   4.60
3      10     2      1998   0.20
4      10     2      1998   6.00
1      11     2      1998   63.50
2      11     2      1998   111.60
3      11     2      1998   21.60
4      11     2      1998   200.40
1      1      1      1999   12.30
2      1      1      1999   76.20
3      1      1      1999   1.30
4      1      1      1999   87.40
1      2      1      1999   4.90
2      2      1      1999   4.50
3      2      1      1999   17.00
4      2      1      1999   26.50
1      3      1      1999   49.30
2      3      1      1999   19.00
3      3      1      1999   1.70
4      3      1      1999   70.20
1      4      1      1999   12.10
2      4      1      1999   4.90
3      4      1      1999   0.00
4      4      1      1999   17.00
1      5      1      1999   14.00
2      5      1      1999   0.00
3      5      1      1999   0.00
4      5      1      1999   14.00
1      6      1      1999   0.10
2      6      1      1999   4.50
3      6      1      1999   0.70
4      6      1      1999   5.40
1      7      1      1999   3.40
2      7      1      1999   31.50
3      7      1      1999   0.40
4      7      1      1999   33.70
1      8      1      1999   25.80
2      8      1      1999   0.00
3      8      1      1999   9.30
4      8      1      1999   38.70
1      9      1      1999   0.50
2      9      1      1999   1.50
3      9      1      1999   0.00
4      9      1      1999   2.00
1      10     1      1999   10.20
2      10     1      1999   38.80
3      10     1      1999   3.20
4      10     1      1999   55.20
1      11     1      1999   132.60
2      11     1      1999   180.90
3      11     1      1999   33.60
4      11     1      1999   350.10
1      1      2      1999   23.30
2      1      2      1999   69.70
3      1      2      1999   6.70
4      1      2      1999   102.00
1      2      2      1999   19.40
2      2      2      1999   4.10
3      2      2      1999   8.70
4      2      2      1999   32.20
1      3      2      1999   0.90
2      3      2      1999   0.80
3      3      2      1999   0.80
4      3      2      1999   2.90
1      4      2      1999   2.60
2      4      2      1999   2.90
3      4      2      1999   0.00
4      4      2      1999   5.50
1      5      2      1999   3.30
2      5      2      1999   0.00
3      5      2      1999   0.70
4      5      2      1999   3.90
1      6      2      1999   6.90
2      6      2      1999   20.10
3      6      2      1999   2.80
4      6      2      1999   31.90
1      7      2      1999   0.20
2      7      2      1999   6.90
3      7      2      1999   0.00
4      7      2      1999   7.20
1      8      2      1999   0.60
2      8      2      1999   0.00
3      8      2      1999   1.40
4      8      2      1999   1.80
1      9      2      1999   0.00
2      9      2      1999   0.00
3      9      2      1999   0.00
4      9      2      1999   0.00
1      10     2      1999   1.30
2      10     2      1999   8.60
3      10     2      1999   0.40
4      10     2      1999   11.10
1      11     2      1999   58.50
2      11     2      1999   113.00
3      11     2      1999   21.50
4      11     2      1999   198.30
1      1      1      2000   13.80
2      1      1      2000   83.20
3      1      1      2000   2.30
4      1      1      2000   96.70
1      2      1      2000   5.80
2      2      1      2000   4.30
3      2      1      2000   15.40
4      2      1      2000   25.60
1      3      1      2000   55.60
2      3      1      2000   14.40
3      3      1      2000   1.30
4      3      1      2000   74.30
1      4      1      2000   18.40
2      4      1      2000   6.00
3      4      1      2000   0.10
4      4      1      2000   23.30
1      5      1      2000   15.70
2      5      1      2000   0.00
3      5      1      2000   0.00
4      5      1      2000   14.60
1      6      1      2000   0.30
2      6      1      2000   3.30
3      6      1      2000   0.70
4      6      1      2000   5.10
1      7      1      2000   3.20
2      7      1      2000   53.80
3      7      1      2000   0.20
4      7      1      2000   53.00
1      8      1      2000   30.40
2      8      1      2000   0.00
3      8      1      2000   15.00
4      8      1      2000   46.40
1      9      1      2000   0.20
2      9      1      2000   1.30
3      9      1      2000   0.00
4      9      1      2000   1.50
1      10     1      2000   4.30
2      10     1      2000   45.20
3      10     1      2000   2.40
4      10     1      2000   58.30
1      11     1      2000   147.70
2      11     1      2000   211.50
3      11     1      2000   37.50
4      11     1      2000   398.80
1      1      2      2000   25.70
2      1      2      2000   76.20
3      1      2      2000   6.60
4      1      2      2000   109.10
1      2      2      2000   21.60
2      2      2      2000   2.30
3      2      2      2000   8.90
4      2      2      2000   32.80
1      3      2      2000   0.40
2      3      2      2000   0.30
3      3      2      2000   1.00
4      3      2      2000   2.80
1      4      2      2000   3.10
2      4      2      2000   3.70
3      4      2      2000   0.00
4      4      2      2000   8.00
1      5      2      2000   3.30
2      5      2      2000   0.00
3      5      2      2000   0.10
4      5      2      2000   3.00
1      6      2      2000   8.20
2      6      2      2000   19.30
3      6      2      2000   3.60
4      6      2      2000   32.80
1      7      2      2000   0.30
2      7      2      2000   7.10
3      7      2      2000   0.00
4      7      2      2000   7.40
1      8      2      2000   0.40
2      8      2      2000   0.10
3      8      2      2000   0.10
4      8      2      2000   0.70
1      9      2      2000   0.20
2      9      2      2000   0.10
3      9      2      2000   0.00
4      9      2      2000   0.30
1      10     2      2000   0.30
2      10     2      2000   10.50
3      10     2      2000   0.00
4      10     2      2000   10.90
1      11     2      2000   63.50
2      11     2      2000   119.60
3      11     2      2000   20.40
4      11     2      2000   204.70
1      1      1      2001   9.50
2      1      1      2001   85.20
3      1      1      2001   2.00
4      1      1      2001   97.10
1      2      1      2001   6.40
2      2      1      2001   2.80
3      2      1      2001   14.00
4      2      1      2001   23.30
1      3      1      2001   62.40
2      3      1      2001   8.50
3      3      1      2001   2.10
4      3      1      2001   74.70
1      4      1      2001   18.50
2      4      1      2001   7.10
3      4      1      2001   0.00
4      4      1      2001   25.80
1      5      1      2001   18.10
2      5      1      2001   0.00
3      5      1      2001   0.60
4      5      1      2001   18.70
1      6      1      2001   0.00
2      6      1      2001   2.30
3      6      1      2001   1.10
4      6      1      2001   3.50
1      7      1      2001   5.30
2      7      1      2001   80.40
3      7      1      2001   1.80
4      7      1      2001   87.50
1      8      1      2001   29.50
2      8      1      2001   0.00
3      8      1      2001   20.40
4      8      1      2001   49.80
1      9      1      2001   0.10
2      9      1      2001   1.30
3      9      1      2001   0.00
4      9      1      2001   1.40
1      10     1      2001   11.90
2      10     1      2001   48.20
3      10     1      2001   2.30
4      10     1      2001   62.40
1      11     1      2001   161.80
2      11     1      2001   235.80
3      11     1      2001   44.30
4      11     1      2001   444.30
1      1      2      2001   31.40
2      1      2      2001   78.90
3      1      2      2001   6.60
4      1      2      2001   117.10
1      2      2      2001   15.70
2      2      2      2001   0.40
3      2      2      2001   9.30
4      2      2      2001   25.40
1      3      2      2001   0.70
2      3      2      2001   0.10
3      3      2      2001   0.30
4      3      2      2001   1.50
1      4      2      2001   0.70
2      4      2      2001   2.80
3      4      2      2001   0.00
4      4      2      2001   3.60
1      5      2      2001   2.10
2      5      2      2001   0.00
3      5      2      2001   0.00
4      5      2      2001   2.10
1      6      2      2001   7.30
2      6      2      2001   16.60
3      6      2      2001   5.10
4      6      2      2001   30.10
1      7      2      2001   0.30
2      7      2      2001   11.60
3      7      2      2001   0.80
4      7      2      2001   12.70
1      8      2      2001   0.00
2      8      2      2001   0.00
3      8      2      2001   0.00
4      8      2      2001   0.00
1      9      2      2001   0.00
2      9      2      2001   0.00
3      9      2      2001   0.00
4      9      2      2001   0.00
1      10     2      2001   0.10
2      10     2      2001   13.00
3      10     2      2001   0.00
4      10     2      2001   13.10
1      11     2      2001   58.20
2      11     2      2001   123.40
3      11     2      2001   22.10
4      11     2      2001   205.70
1      1      1      2002   11.49
2      1      1      2002   94.69
3      1      1      2002   3.39
4      1      1      2002   110.07
1      2      1      2002   4.20
2      2      1      2002   1.60
3      2      1      2002   12.90
4      2      1      2002   18.80
1      3      1      2002   64.30
2      3      1      2002   8.20
3      3      1      2002   0.70
4      3      1      2002   75.00
1      4      1      2002   20.20
2      4      1      2002   10.60
3      4      1      2002   0.00
4      4      1      2002   30.80
1      5      1      2002   18.41
2      5      1      2002   0.01
3      5      1      2002   0.01
4      5      1      2002   18.73
1      6      1      2002   0.21
2      6      1      2002   2.01
3      6      1      2002   1.51
4      6      1      2002   3.73
1      7      1      2002   2.00
2      7      1      2002   72.00
3      7      1      2002   3.70
4      7      1      2002   77.70
1      8      1      2002   29.20
2      8      1      2002   0.00
3      8      1      2002   18.40
4      8      1      2002   47.50
1      9      1      2002   0.00
2      9      1      2002   5.30
3      9      1      2002   0.00
4      9      1      2002   5.30
1      10     1      2002   12.50
2      10     1      2002   55.00
3      10     1      2002   2.40
4      10     1      2002   69.87
1      11     1      2002   162.40
2      11     1      2002   249.30
3      11     1      2002   43.00
4      11     1      2002   457.43
1      1      2      2002   29.49
2      1      2      2002   79.69
3      1      2      2002   5.79
4      1      2      2002   114.97
1      2      2      2002   12.40
2      2      2      2002   0.00
3      2      2      2002   8.40
4      2      2      2002   20.80
1      3      2      2002   0.60
2      3      2      2002   0.00
3      3      2      2002   0.60
4      3      2      2002   1.30
1      4      2      2002   0.60
2      4      2      2002   3.10
3      4      2      2002   0.00
4      4      2      2002   3.70
1      5      2      2002   2.31
2      5      2      2002   0.01
3      5      2      2002   0.31
4      5      2      2002   2.63
1      6      2      2002   7.31
2      6      2      2002   14.91
3      6      2      2002   3.61
4      6      2      2002   25.83
1      7      2      2002   0.30
2      7      2      2002   12.70
3      7      2      2002   1.70
4      7      2      2002   14.60
1      8      2      2002   0.00
2      8      2      2002   0.00
3      8      2      2002   0.00
4      8      2      2002   0.00
1      9      2      2002   0.00
2      9      2      2002   0.00
3      9      2      2002   0.00
4      9      2      2002   0.00
1      10     2      2002   0.10
2      10     2      2002   14.30
3      10     2      2002   0.10
4      10     2      2002   14.60
1      11     2      2002   53.01
2      11     2      2002   124.71
3      11     2      2002   20.51
4      11     2      2002   198.53
1      1      1      2003   12.54
2      1      1      2003   96.12
3      1      1      2003   6.80
4      1      1      2003   115.80
1      2      1      2003   3.04
2      2      1      2003   0.23
3      2      1      2003   18.52
4      2      1      2003   21.79
1      3      1      2003   70.22
2      3      1      2003   5.47
3      3      1      2003   0.45
4      3      1      2003   77.16
1      4      1      2003   24.20
2      4      1      2003   9.48
3      4      1      2003   0.00
4      4      1      2003   33.84
1      5      1      2003   15.11
2      5      1      2003   0.00
3      5      1      2003   0.00
4      5      1      2003   15.10
1      6      1      2003   0.00
2      6      1      2003   0.85
3      6      1      2003   0.66
4      6      1      2003   1.54
1      7      1      2003   6.23
2      7      1      2003   81.24
3      7      1      2003   1.08
4      7      1      2003   88.96
1      8      1      2003   32.49
2      8      1      2003   0.00
3      8      1      2003   25.20
4      8      1      2003   57.75
1      9      1      2003   0.77
2      9      1      2003   5.73
3      9      1      2003   0.00
4      9      1      2003   6.54
1      10     1      2003   16.13
2      10     1      2003   64.82
3      10     1      2003   2.92
4      10     1      2003   85.28
1      11     1      2003   180.72
2      11     1      2003   263.94
3      11     1      2003   55.63
4      11     1      2003   503.75
1      1      2      2003   28.98
2      1      2      2003   85.14
3      1      2      2003   8.08
4      1      2      2003   122.25
1      2      2      2003   13.98
2      2      2      2003   0.02
3      2      2      2003   7.22
4      2      2      2003   21.22
1      3      2      2003   0.97
2      3      2      2003   0.00
3      3      2      2003   0.51
