COMPOSITE TABLE:
m3            yr            hclprdbt
1             1998          14.270
2             1998          9.660
3             1998          23.950
1             1999          13.150
2             1999          10.030
3             1999          23.190
1             2000          12.650
2             2000          9.970
3             2000          22.620
1             2001          12.970
2             2001          10.450
3             2001          23.420
1             2002          12.090
2             2002          10.530
3             2002          22.620
1             2003          11.470
2             2003          10.500
3             2003          21.970
1             2004          11.790
2             2004          10.920
3             2004          22.710
1             2005          11.973
2             2005          11.051
3             2005          23.020
1             2006          11.952
2             2006          11.663
3             2006          23.620
1             2007          11.668
2             2007          11.656
3             2007          23.320
1             2008          11.954
2             2008          11.726
3             2008          23.680
1             2009          10.780
2             2009          10.679
3             2009          21.460
1             2010          10.859
2             2010          11.016
3             2010          21.870
1             2011          11.080
2             2011          10.988
3             2011          22.070
1             2013          9.953
2             2013          9.911
3             2013          19.864
1             2012          10.290
2             2012          10.258
3             2012          20.548
1             2014          10.359
2             2014          10.114
3             2014          20.472
1             2015          8.834
2             2015          9.297
3             2015          18.315
3             2016          15.055
1             2016          7.435
2             2016          7.620
3             2017          15.787
1             2017          7.887
2             2017          7.900
3             2018          15.364
1             2018          7.840
2             2018          7.525
3             2019          14.178
1             2019          7.266
2             2019          6.912
3             2020          11.006
1             2020          5.373
2             2020          5.633
3             2021          11.902
1             2021          5.918
2             2021          5.984
3             2022          12.006
1             2022          6.520
2             2022          5.486
;





































