COMPOSITE TABLE:
yr                  hwcdistst           hwcprodbtu          hclexptn            hclexpbt            hclimptn            hclimpbt            hclmmtn1            hclmmbt1
1998                8.69                109.80              78.05               2.09                8.72                0.22                17.67               0.83
1999                8.68                109.00              58.48               1.53                9.09                0.23                16.63               0.79
2000                9.09                112.30              58.49               1.53                12.51               0.31                16.78               0.80
2001                10.09               122.70              48.67               1.27                19.79               0.49                17.59               0.84
2002                9.05                110.10              39.60               1.03                16.88               0.42                17.90               0.87
2003                10.02               123.80              43.01               1.12                25.04               0.63                17.93               0.88
2004                11.30               138.60              48.00               1.25                27.28               0.68                20.07               0.98
2005                13.35               161.50              49.94               1.27                30.46               0.76                23.34               1.15
2006                14.41               174.10              49.65               1.26                36.25               0.91                24.63               1.21
2007                14.08               170.20              59.16               1.51                36.35               0.91                25.82               1.27
2008                14.15               171.50              81.52               2.07                34.21               0.86                31.25               1.55
2010                13.65               163.30              81.72               2.10                19.35               0.48                35.61               1.77
2011                13.21               153.30              107.26              2.75                13.09               0.33                41.01               2.04
2009                13.67               165.00              59.10               1.51                22.64               0.57                33.24               1.67
2012                11.20               129.20              125.75              3.09                9.16                0.21                39.95               1.98
2013                11.30               126.70              117.66              2.89                8.91                0.20                37.24               1.84
2014                11.20               119.80              97.26               2.47                11.35               0.25                34.86               1.71
2015                9.97                117.35              73.95               1.98                11.32               0.26                33.32               1.65
2016                10.14               129.38              60.27               1.61                9.85                0.22                31.37               1.53
2017                9.95                113.10              96.95               2.54                7.78                0.17                35.73               1.74
2018                10.16               114.16              115.63              2.97                5.95                0.13                38.42               1.84
2019                9.26                125.12              92.85               2.43                6.70                0.14                37.85               1.81
2020                7.76                93.42               69.07               1.83                4.79                0.10                32.12               1.55
2021                7.86                85.31               90.87               2.30                5.39                0.12                37.95               1.79
;
