COMPOSITE TABLE:
Sec            yr             hclcon         hcldprtn1      hcldprbt1
C              1998           28.20          46.06          1.68
E              1998           936.60         25.64          1.25
I              1998           67.40          32.30          1.39
R              1998           4.90           32.65          1.51
X              1998           78.00          38.89          1.45
C              1999           28.11          45.85          1.67
E              1999           940.90         24.72          1.22
I              1999           64.70          31.59          1.40
R              1999           4.90           36.06          1.51
X              1999           58.50          36.50          1.40
C              2000           28.94          44.38          1.62
E              2000           985.80         24.28          1.20
I              2000           65.20          31.46          1.40
R              2000           4.10           36.28          1.45
X              2000           58.50          34.90          1.34
C              2001           26.08          46.42          1.69
E              2001           964.43         24.68          1.23
I              2001           65.30          32.26          1.41
R              2001           4.40           39.11          1.57
X              2001           48.70          36.97          1.42
C              2002           23.66          50.67          1.85
E              2002           977.51         25.42          1.25
I              2002           63.13          35.49          1.57
R              2002           4.40           37.43          1.63
X              2002           39.60          40.44          1.55
C              2003           24.25          50.63          1.85
E              2003           1005.12        25.91          1.28
I              2003           61.26          34.70          1.54
R              2003           4.24           35.36          1.59
X              2003           43.01          39.80          1.53
C              2004           23.67          61.50          2.24
E              2004           1016.27        27.29          1.36
I              2004           62.20          39.30          1.75
R              2004           5.12           41.08          1.84
X              2004           48.00          54.11          2.07
C              2005           23.43          83.79          3.19
E              2005           1037.48        31.03          1.54
I              2005           60.34          47.63          2.15
R              2005           4.72           50.27          2.25
X              2005           49.94          67.10          2.63
C              2006           22.96          92.87          3.54
E              2006           1026.64        33.95          1.69
I              2006           59.47          51.67          2.34
R              2006           3.23           52.30          2.37
X              2006           49.65          70.93          2.79
C              2007           22.72          94.97          3.61
E              2007           1045.14        35.29          1.76
I              2007           56.62          54.42          2.43
R              2007           3.53           54.51          2.47
X              2007           59.16          70.25          2.76
C              2008           22.07          118.09         4.49
E              2008           1040.58        40.69          2.05
I              2008           54.39          63.44          2.84
R              2008           3.51           86.50          3.76
X              2008           81.52          97.68          3.85
C              2009           15.33          143.01         5.43
E              2009           933.63         43.33          2.19
I              2009           45.31          64.88          2.97
R              2009           3.21           97.28          4.26
X              2009           59.10          101.44         3.96
C              2010           21.09          153.59         5.84
E              2010           975.05         44.27          2.25
I              2010           49.29          64.39          2.95
R              2010           3.08           88.42          3.91
X              2010           81.72          120.41         4.68
C              2011           21.43          184.44         7.01
E              2011           932.48         46.24          2.37
I              2011           46.24          70.62          3.27
R              2011           2.79           91.94          4.16
X              2011           107.26         148.86         5.80
C              2012           20.75          190.55         7.24
E              2012           823.55         45.77          2.37
I              2012           42.84          70.33          3.28
R              2012           2.04           90.76          4.26
X              2012           125.75         118.43         4.82
C              2013           21.47          156.99         5.47
E              2013           858.35         45.22          2.34
I              2013           43.33          69.32          3.21
R              2013           1.95           90.51          4.26
X              2013           117.66         95.06          3.86
C              2014           21.30          135.16         4.73
E              2014           851.60         45.67          2.35
I              2014           42.81          68.19          3.17
R              2014           1.89           90.30          3.76
X              2014           117.66         84.39          3.21
C              2015           19.71          118.66         4.16
E              2015           738.44         42.48          2.21
I              2015           38.73          65.45          3.08
R              2015           1.47           85.70          4.14
X              2015           73.95          81.59          3.05
C              2016           16.49          102.00         3.57
E              2016           678.56         40.30          2.10
I              2016           34.85          60.34          2.87
R              2016           1.16           81.09          4.04
X              2016           60.27          79.09          2.95
C              2017           17.54          130.89         4.57
E              2017           664.75         39.14          2.05
I              2017           33.62          57.87          2.79
R              2017           1.02           82.56          4.24
X              2017           96.95          77.32          2.95
C              2018           18.34          128.76         4.50
E              2018           636.50         39.27          2.06
I              2018           31.58          59.03          2.85
R              2018           0.91           83.86          4.35
X              2018           115.63         103.29         4.02
C              2019           18.56          145.85         5.09
E              2019           552.62         38.52          2.01
I              2019           29.80          62.02          2.98
R              2019           0.88           87.13          4.54
X              2019           92.52          105.52         4.04
C              2020           14.41          127.16         4.43
E              2020           436.52         36.54          1.92
I              2020           25.58          56.42          2.77
R              2020           0.81           85.55          4.61
X              2020           69.07          86.29          3.26
C              2021           17.59          122.37         4.27
E              2021           501.25         37.65          1.98
X              2021           85.12          107.14         4.29
I              2021           25.85          57.93          2.81
R              2021           0.81           83.00          4.51
;
