COMPOSITE TABLE:
SCrv1  SReg  Sulf  Mtyp  Rank  CSupplyRegionName1      SRegStates          MTypeLabel        RankLabel         SulfLabel      BY_MMP            BY_PROD       BY_TPH          BY_PROD_CAP     BY_CAP_UTIL    CAP_UTIL_HIST     Btu
1      01NA  2M    2D    1B    "Northern Appalachia"   "PA,OH,MD,N.WV"     "Deep"            "Bituminous"      "Medium"       21.853            15.241        5.035           18.932          0.805          85.000            24.921
2      01NA  3H    2D    1B    "Northern Appalachia"   "PA,OH,MD,N.WV"     "Deep"            "Bituminous"      "High"         19.621            55.030        5.035           68.356          0.805          85.000            25.475
3      01NA  2M    2D    4P    "Northern Appalachia"   "PA,OH,MD,N.WV"     "Underground"     "Premium"         "Medium"       62.974            14.293        5.035           17.755          0.805          85.000            28.735
4      01NA  2M    1S    1B    "Northern Appalachia"   "PA,OH,MD,N.WV"     "Surface"         "Bituminous"      "Medium"       26.808            2.032         2.104           3.223           0.630          65.000            23.491
5      01NA  3H    1S    1B    "Northern Appalachia"   "PA,OH,MD,N.WV"     "Surface"         "Bituminous"      "High"         15.312            2.482         2.104           3.938           0.630          65.000            20.993
6      01NA  3H    1S    5G    "Northern Appalachia"   "PA,OH,MD,N.WV"     "Surface"         "GOB"             "High"         2.489             7.857         2.104           12.088          0.650          65.000            12.526
7      02CA  1C    2D    1B    "Central Appalachia"    "S.WV,VA,E.KY,N.TN" "Deep"            "Bituminous"      "Low"          30.659            1.603         1.874           1.985           0.808          75.000            25.654
8      02CA  2M    2D    1B    "Central Appalachia"    "S.WV,VA,E.KY,N.TN" "Deep"            "Bituminous"      "Medium"       27.482            2.362         1.874           2.925           0.808          75.000            23.538
9      02CA  2M    2D    4P    "Central Appalachia"    "S.WV,VA,E.KY,N.TN" "Underground"     "Premium"         "Medium"       56.658            36.857        1.874           45.639          0.808          75.000            28.711
10     02CA  1C    1S    1B    "Central Appalachia"    "S.WV,VA,E.KY,N.TN" "Surface"         "Bituminous"      "Low"          33.889            7.141         2.402           10.477          0.682          65.000            25.864
11     02CA  2M    1S    1B    "Central Appalachia"    "S.WV,VA,E.KY,N.TN" "Surface"         "Bituminous"      "Medium"       26.257            7.483         2.402           10.979          0.682          65.000            24.069
12     03SA  1C    2D    1B    "Southern Appalachia"   "AL,S.TN"           "Deep"            "Bituminous"      "Low"          34.736            0.151         2.197           0.247           0.610          80.000            26.740
13     03SA  2M    2D    1B    "Southern Appalachia"   "AL,S.TN"           "Deep"            "Bituminous"      "Medium"       36.408            0.013         2.197           0.022           0.610          80.000            27.550
14     03SA  1C    2D    4P    "Southern Appalachia"   "AL,S.TN"           "Underground"     "Premium"         "Low"          76.868            10.757        2.197           17.645          0.610          80.000            28.699
15     03SA  1C    1S    1B    "Southern Appalachia"   "AL,S.TN"           "Surface"         "Bituminous"      "Low"          43.626            0.338         1.663           0.562           0.601          75.000            26.339
16     03SA  2M    1S    1B    "Southern Appalachia"   "AL,S.TN"           "Surface"         "Bituminous"      "Medium"       39.117            0.911         1.663           1.516           0.601          75.000            24.073
17     04EI  2M    2D    1B    "East Interior"         "W.KY,IL,IN,MS"     "Deep"            "Bituminous"      "Medium"       16.376            6.038         6.021           7.453           0.810          80.000            22.478
18     04EI  3H    2D    1B    "East Interior"         "W.KY,IL,IN,MS"     "Deep"            "Bituminous"      "High"         17.455            54.143        6.021           66.837          0.810          80.000            23.068
19     04EI  2M    1S    1B    "East Interior"         "W.KY,IL,IN,MS"     "Surface"         "Bituminous"      "Medium"       21.257            1.946         6.157           2.598           0.749          75.000            22.282
20     04EI  3H    1S    1B    "East Interior"         "W.KY,IL,IN,MS"     "Surface"         "Bituminous"      "High"         20.291            11.588        6.157           15.468          0.749          75.000            22.254
21     04EI  2M    1S    3L    "East Interior"         "W.KY,IL,IN,MS"     "Surface"         "Lignite"         "Medium"       12.116            3.050         6.157           4.071           0.749          75.000            10.412
22     05WI  3H    1S    1B    "West Interior"         "IA,MO,KS,AR,OK,TX" "Surface"         "Bituminous"      "High"         23.461            0.080         3.932           0.179           0.447          80.000            21.282
23     06GL  2M    1S    3L    "Gulf Lignite"          "TX,LA"             "Surface"         "Lignite"         "Medium"       7.567             15.117        7.784           16.259          0.930          85.000            13.519
24     06GL  3H    1S    3L    "Gulf Lignite"          "TX,LA"             "Surface"         "Lignite"         "High"         11.811            3.663         7.784           3.940           0.930          85.000            11.086
25     07DL  2M    1S    3L    "Dakota Lignite"        "ND,E.MT"           "Surface"         "Lignite"         "Medium"       8.777             26.926        11.944          35.877          0.751          85.000            13.811
26     08WM  1C    2D    1B    "Western Montana"       "W.MT"              "Deep"            "Bituminous"      "Low"          17.576            7.512         14.469          11.403          0.659          80.000            18.150
27     08WM  1C    1S    2S    "Western Montana"       "W.MT"              "Surface"         "Subbituminous"   "Low"          6.088             14.072        16.535          22.338          0.630          80.000            18.441
