COMPOSITE TABLE:
SCrv1   SReg    Sulf    Mtyp    Rank    yr      TPH_Growth_Rate     WAGE_MULTIPLIER     ADJ_MMP_MULT         ADJ_MMP_ADD        P_EQUIP             PPI_STEEL_EXPLO     SCLIMIT
1       01NA    2M      2D      1B      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
2       01NA    3H      2D      1B      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
3       01NA    2M      2D      4P      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
4       01NA    2M      1S      1B      1990    1.000               1.000               1.000               0.000               145.8               124.2               999.99
5       01NA    3H      1S      1B      1990    1.000               1.000               1.000               0.000               145.8               124.2               999.99
6       01NA    3H      1S      5G      1990    1.000               1.000               1.000               0.000               145.8               124.2               999.99
7       02CA    1C      2D      1B      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
8       02CA    2M      2D      1B      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
9       02CA    2M      2D      4P      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
10      02CA    1C      1S      1B      1990    1.000               1.000               1.000               0.000               145.8               124.2               999.99
11      02CA    2M      1S      1B      1990    1.000               1.000               1.000               0.000               145.8               124.2               999.99
12      03SA    1C      2D      1B      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
13      03SA    2M      2D      1B      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
14      03SA    1C      2D      4P      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
15      03SA    1C      1S      1B      1990    1.000               1.000               1.000               0.000               145.8               124.2               999.99
16      03SA    2M      1S      1B      1990    1.000               1.000               1.000               0.000               145.8               124.2               999.99
17      04EI    2M      2D      1B      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
18      04EI    3H      2D      1B      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
19      04EI    2M      1S      1B      1990    1.000               1.000               1.000               0.000               145.8               124.2               999.99
20      04EI    3H      1S      1B      1990    1.000               1.000               1.000               0.000               145.8               124.2               999.99
21      04EI    2M      1S      3L      1990    1.000               1.000               1.000               0.000               145.8               124.2               999.99
22      05WI    3H      1S      1B      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
23      06GL    2M      1S      3L      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
24      06GL    3H      1S      3L      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
25      07DL    2M      1S      3L      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
26      08WM    1C      2D      1B      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
27      08WM    1C      1S      2S      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
28      08WM    2M      1S      2S      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
29      09NW    1C      1S      2S      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
30      09NW    2M      1S      2S      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
31      10SW    1C      1S      2S      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
32      11WW    1C      2D      2S      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
33      11WW    1C      1S      2S      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
34      11WW    2M      1S      2S      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
35      12RM    1C      2D      1B      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
36      12RM    1C      2D      4P      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
37      12RM    1C      1S      2S      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
38      13ZN    2M      2D      1B      1990    1.000               1.000               1.000               0.000               135.8               124.2               999.99
39      13ZN    1C      1S      1B      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
40      13ZN    2M      1S      2S      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
41      14AW    1C      1S      2S      1990    1.000               1.000               1.000               0.000               145.8               133.1               999.99
