Variable,FractionTolerance,AbsoluteTolerance,RelaxFactor,Test,Relax,PQType,QMATCH,Module
PELRS,0.01,0,0.5,0,1,P,QELRS,ALL
PELCM,0.01,0,0.5,0,1,P,QELCM,ALL
PELTR,0.01,0,0.5,0,1,P,QELTR,ALL
PELIN,0.01,0,0.5,0,1,P,QELIN,ALL
PGFRS,0.01,0,1,-1,1,P,QGFRS,ALL
PGFCM,0.01,0,1,-1,1,P,QGFCM,ALL
PGFTR,0.01,0,0.5,-1,1,P,QGFTR,ALL
PGFIN,0.01,0,1,0,1,P,QGFIN,ALL
PGFEL,0.01,0,0.5,0,1,P,QGFEL,ALL
PGIRS,0.01,0,1,-1,1,P,QGIRS,ALL
PGICM,0.01,0,1,-1,1,P,QGICM,ALL
PGITR,0.01,0,0.5,-1,1,P,QGITR,ALL
PGIIN,0.01,0,1,0,1,P,QGIIN,ALL
PGIEL,0.01,0,0.5,0,1,P,QGIEL,ALL
PNGRS,0.01,0,0.8,0,1,P,QNGRS,ALL
PNGCM,0.01,0,0.8,0,1,P,QNGCM,ALL
PNGTR,0.01,0,0.5,0,1,P,QNGTR,ALL
PNGIN,0.01,0,0.8,0,1,P,QNGIN,ALL
PNGEL,0.01,0,0.5,0,1,P,QNGEL,ALL
PGPTR,0.01,0,1,0,1,P,QGPTR,ALL
PLPIN,0.01,0,1,0,1,P,QLPIN,ALL
PCLRS,0.01,0,1,0,1,P,QCLRS,ALL
PCLCM,0.01,0,1,0,1,P,QCLCM,ALL
PCLIN,0.01,0,0.5,0,1,P,QCLIN,ALL
PCLEL,0.01,0,0.5,0,1,P,QCLEL,ALL
PMCIN,0.01,0,1,0,1,P,QMCIN,ALL
PMGCM,0.01,0,0.5,0,1,P,QMGCM,ALL
PMGTR,0.01,0,0.5,0,1,P,QMGTR,ALL
PMGIN,0.01,0,0.5,0,1,P,QMGIN,ALL
PJFTR,0.01,0,0.5,0,1,P,QJFTR,ALL
PDSRS,0.01,0,0.5,0,1,P,QDSRS,ALL
PDSCM,0.01,0,0.5,0,1,P,QDSCM,ALL
PDSTR,0.01,0,0.5,0,1,P,QDSTR,ALL
PDSIN,0.01,0,0.5,0,1,P,QDSIN,ALL
PDSEL,0.01,0,0.5,0,1,P,QDSEL,ALL
PKSRS,0.01,0,0.5,0,1,P,QKSRS,ALL
PKSCM,0.01,0,0.5,0,1,P,QKSCM,ALL
PKSIN,0.01,0,0.5,0,1,P,QKSIN,ALL
PLGRS,0.01,0,0.5,0,1,P,QLGRS,ALL
PLGCM,0.01,0,0.5,0,1,P,QLGCM,ALL
PLGTR,0.01,0,0.5,0,1,P,QLGTR,ALL
PLGIN,0.01,0,0.5,0,1,P,QLGIN,ALL
PRLCM,0.01,0,0.5,0,1,P,QRLCM,ALL
PRLTR,0.01,0,0.5,0,1,P,QRLTR,ALL
PRLIN,0.01,0,0.5,0,1,P,QRLIN,ALL
PRLEL,0.01,0,0.5,0,1,P,QRLEL,ALL
PRHTR,0.01,0,0.5,0,1,P,QRHTR,ALL
PRHEL,0.01,0,0.5,0,1,P,QRHEL,ALL
PRSCM,0.01,0,0.5,-1,1,P,QRSCM,ALL
PRSTR,0.01,0,0.5,-1,1,P,QRSTR,ALL
PRSIN,0.01,0,0.5,-1,1,P,QRSIN,ALL
PRSEL,0.01,0,0.5,-1,1,P,QRSEL,ALL
PPFIN,0.01,0,0.5,0,1,P,QPFIN,ALL
PASIN,0.01,0,0.5,0,1,P,QASIN,ALL
POTTR,0.01,0,0.5,0,1,P,QOTTR,ALL
POTIN,0.01,0,0.5,0,1,P,QOTIN,ALL
PTPRS,0.01,0,1,-1,1,P,QTPRS,ALL
PTPCM,0.01,0,1,-1,1,P,QTPCM,ALL
PTPTR,0.01,0,1,-1,1,P,QTPTR,ALL
PTPIN,0.01,0,1,-1,1,P,QTPIN,ALL
PTPRF,0.01,0,1,-1,1,P,QTPRF,ALL
PTPEL,0.01,0,0.5,-1,1,P,QTPEL,ALL
PMETR,0.01,0,1,0,1,P,QMETR,ALL
PETTR,0.01,0,0.5,0,1,P,QETTR,ALL
PHYTR,0.01,0,1,0,1,P,QHYTR,ALL
PUREL,0.01,0,0.5,0,1,P,QUREL,ALL
PH1TR,0.01,0,0.5,-1,1,P,QH1TR,ALL
PH2TR,0.01,0,0.5,-1,1,P,QH2TR,ALL
PH3TR,0.01,0,0.5,-1,1,P,QH3TR,ALL
