Variable,FractionTolerance,AbsoluteTolerance,RelaxFactor,Test,Relax,PQType,QMATCH,Module,CVTAB ID,Variables_in_Group,Group_Name,Weight_Class_Name,Weight_Class,Weight_Start
PELRS,0.01,0,0.5,0,1,P,QELRS,EMM,52,PELRS PELCM PELIN PELTR,Electricity Prices,End-Use Prices,3,24.5
PELCM,0.01,0,0.5,0,1,P,QELCM,EMM,52,PELRS PELCM PELIN PELTR,Electricity Prices,End-Use Prices,3,24.5
PELTR,0.01,0,0.5,0,1,P,QELTR,EMM,52,PELRS PELCM PELIN PELTR,Electricity Prices,End-Use Prices,3,24.5
PELIN,0.01,0,0.5,0,1,P,QELIN,EMM,52,PELRS PELCM PELIN PELTR,Electricity Prices,End-Use Prices,3,24.5
PGFRS,0.01,0,1,-1,1,P,QGFRS,NGMM,,,,,,
PGFCM,0.01,0,1,-1,1,P,QGFCM,NGMM,,,,,,
PGFTR,0.01,0,0.5,-1,1,P,QGFTR,NGMM,,,,,,
PGFIN,0.01,0,1,0,1,P,QGFIN,NGMM,,,,,,
PGFEL,0.01,0,0.5,0,1,P,QGFEL,NGMM,,,,,,
PGIRS,0.01,0,1,-1,1,P,QGIRS,NGMM,,,,,,
PGICM,0.01,0,1,-1,1,P,QGICM,NGMM,,,,,,
PGITR,0.01,0,0.5,-1,1,P,QGITR,NGMM,,,,,,
PGIIN,0.01,0,1,0,1,P,QGIIN,NGMM,,,,,,
PGIEL,0.01,0,0.5,0,1,P,QGIEL,NGMM,,,,,,
PNGRS,0.01,0,1,0,1,P,QNGRS,NGMM,53,PNGRS PNGCM PNGIN PNGTR,Natural Gas Prices,End-Use Prices,3,24.5
PNGCM,0.01,0,1,0,1,P,QNGCM,NGMM,53,PNGRS PNGCM PNGIN PNGTR,Natural Gas Prices,End-Use Prices,3,24.5
PNGTR,0.01,0,0.5,0,1,P,QNGTR,NGMM,53,PNGRS PNGCM PNGIN PNGTR,Natural Gas Prices,End-Use Prices,3,24.5
PNGIN,0.01,0,1,0,1,P,QNGIN,NGMM,53,PNGRS PNGCM PNGIN PNGTR,Natural Gas Prices,End-Use Prices,3,24.5
