Variable,FractionTolerance,AbsoluteTolerance,RelaxFactor,Test,Relax,PQType,QMATCH,Module,CVTAB ID,Variables_in_Group,Group_Name,Weight_Class_Name,Weight_Class,Weight_Start
QELRS,0.01,10,1,0,1,Q,NA,RDM,1,QELRS QELCM QELIN QELTR,Electricity Demand,End-Use Quantity,1,24.5
QELCM,0.01,10,1,0,1,Q,NA,CDM,1,QELRS QELCM QELIN QELTR,Electricity Demand,End-Use Quantity,1,24.5
QELTR,0.01,10,1,0,1,Q,NA,TDM,1,QELRS QELCM QELIN QELTR,Electricity Demand,End-Use Quantity,1,24.5
QELIN,0.01,10,1,0,1,Q,NA,IDM,1,QELRS QELCM QELIN QELTR,Electricity Demand,End-Use Quantity,1,24.5
QELRF,0.01,10,1,0,1,Q,NA,LFMM,,,,,,
QELHM,0.01,10,1,0,1,Q,NA,HYDROGEN,,,,,,
QGFRS,0.01,10,1,-1,1,Q,NA,RDM,,,,,,
QGFCM,0.01,10,1,-1,1,Q,NA,CDM,,,,,,
QGFTR,0.01,10,1,-1,1,Q,NA,TDM,,,,,,
QGFIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QGFRF,0.01,10,1,-1,1,Q,NA,LFMM,,,,,,
QGFEL,0.01,10,0.8,0,1,Q,NA,EMM,,,,,,
QGFHM,0.01,10,0.8,-1,1,Q,NA,HYDROGEN,,,,,,
QGIRS,0.01,10,1,-1,1,Q,NA,RDM,,,,,,
QGICM,0.01,10,1,-1,1,Q,NA,CDM,,,,,,
QGITR,0.01,10,1,-1,1,Q,NA,TDM,,,,,,
QGIIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QGIRF,0.01,10,1,-1,1,Q,NA,LFMM,,,,,,
QGIEL,0.01,10,0.8,0,1,Q,NA,EMM,,,,,,
QGIHM,0.01,10,0.8,-1,1,Q,NA,HYDROGEN,,,,,,
QNGRS,0.01,10,1,0,1,Q,NA,RDM,2,QNGRS QNGCM QNGIN QNGTR,Natural Gas Demand,End-Use Quantity,1,24.5
QNGCM,0.01,10,1,0,1,Q,NA,CDM,2,QNGRS QNGCM QNGIN QNGTR,Natural Gas Demand,End-Use Quantity,1,24.5
QNGTR,0.01,10,1,0,1,Q,NA,TDM,2,QNGRS QNGCM QNGIN QNGTR,Natural Gas Demand,End-Use Quantity,1,24.5
QNGIN,0.01,10,1,0,1,Q,NA,IDM,2,QNGRS QNGCM QNGIN QNGTR,Natural Gas Demand,End-Use Quantity,1,24.5
QNGRF,0.01,10,1,0,1,Q,NA,LFMM,,,,,,
QNGEL,0.01,10,0.8,0,1,Q,NA,EMM,10,QNGEL,Natural Gas,Electricity Quantity,2,24.5
QNGHM,0.01,10,0.8,0,1,Q,NA,HYDROGEN,,,,,,
QGPTR,0.01,10,1,0,1,Q,NA,TDM,,,,,,
QLPIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QCLRS,0.01,10,1,0,1,Q,NA,RDM,8,QCLRS QCLCM QCLIN,Steam Coal Demand,End-Use Quantity,1,24.5
QCLCM,0.01,10,1,0,1,Q,NA,CDM,8,QCLRS QCLCM QCLIN,Steam Coal Demand,End-Use Quantity,1,24.5
QCLIN,0.01,10,1,0,1,Q,NA,IDM,8,QCLRS QCLCM QCLIN,Steam Coal Demand,End-Use Quantity,1,24.5
QCLRF,0.01,10,1,0,1,Q,NA,LFMM,,,,,,
QCLEL,0.01,10,0.8,0,1,Q,NA,EMM,13,QCLEL,Steam Coal,Electricity Quantity,2,24.5
QCLHM,0.01,10,1,0,1,Q,NA,HYDROGEN,,,,,,
QMCIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QMGCM,0.01,10,1,0,1,Q,NA,CDM,6,QMGCM QMGTR QMGIN,Motor Gasoline Demand,End-Use Quantity,1,24.5
QMGTR,0.01,10,1,0,1,Q,NA,TDM,6,QMGCM QMGTR QMGIN,Motor Gasoline Demand,End-Use Quantity,1,24.5
QMGIN,0.01,10,1,0,1,Q,NA,IDM,6,QMGCM QMGTR QMGIN,Motor Gasoline Demand,End-Use Quantity,1,24.5
QJFTR,0.01,10,1,0,1,Q,NA,TDM,7,QJFTR,Jet Fuel Demand,End-Use Quantity,1,24.5
QDSRS,0.01,10,1,0,1,Q,NA,RDM,4,QDSRS QDSCM QDSTR QDSIN,Distillate Fuel Demand,End-Use Quantity,1,24.5
QDSCM,0.01,10,1,0,1,Q,NA,CDM,4,QDSRS QDSCM QDSTR QDSIN,Distillate Fuel Demand,End-Use Quantity,1,24.5
QDSTR,0.01,10,1,0,1,Q,NA,TDM,4,QDSRS QDSCM QDSTR QDSIN,Distillate Fuel Demand,End-Use Quantity,1,24.5
QDSIN,0.01,10,1,0,1,Q,NA,IDM,4,QDSRS QDSCM QDSTR QDSIN,Distillate Fuel Demand,End-Use Quantity,1,24.5
QDSRF,0.01,10,1,0,1,Q,NA,LFMM,,,,,,
QDSEL,0.01,10,0.8,0,1,Q,NA,EMM,11,QDSEL,Distillate,Electricity Quantity,2,24.5
QKSRS,0.01,10,1,0,1,Q,NA,RDM,,,,,,
QKSCM,0.01,10,1,0,1,Q,NA,CDM,,,,,,
QKSIN,0.01,10,1,0,1,Q,NA,IDM,,,,,,
QLGRS,0.01,10,1,0,1,Q,NA,RDM,3,QLGRS QLGCM QLGTR QLGIN,Liquid Petroleum Gas Dmd,End-Use Quantity,1,24.5
QLGCM,0.01,10,1,0,1,Q,NA,CDM,3,QLGRS QLGCM QLGTR QLGIN,Liquid Petroleum Gas Dmd,End-Use Quantity,1,24.5
QLGTR,0.01,10,1,0,1,Q,NA,TDM,3,QLGRS QLGCM QLGTR QLGIN,Liquid Petroleum Gas Dmd,End-Use Quantity,1,24.5
QLGIN,0.01,10,1,0,1,Q,NA,IDM,3,QLGRS QLGCM QLGTR QLGIN,Liquid Petroleum Gas Dmd,End-Use Quantity,1,24.5
QLGRF,0.01,10,1,0,1,Q,NA,LFMM,,,,,,
QRLCM,0.01,10,1,0,1,Q,NA,CDM,,,,,,
