Composite table
CoalSupplyCurve	RIC	MNUMYR	ECP_RIC_Split(CoalSupplyCurve,RIC,MNUMYR)
01		1	32	1
02		1	32	1
04		1	32	1
05		1	32	1
06		1	32	1
07		1	32	1
08		1	32	1
10		1	32	1
11		1	32	1
16		1	32	1
17		1	32	1
18		1	32	0.995500144
18		4	32	0.004499856
19		1	32	1
20		1	32	1
21		1	32	1
22		4	32	1
23		4	32	1
24		4	32	1
25		1	32	0.99913338
25		4	32	0.00086662
27		1	32	0.687711093
27		4	32	0.312288907
28		1	32	0.400947867
28		4	32	0.599052133
29		1	32	0.437653647
29		4	32	0.562346354
30		1	32	0.376940133
30		4	32	0.623059867
31		1	32	0.704718854
31		4	32	0.295281146
32		4	32	1
33		4	32	1
34		4	32	1
35		1	32	0.046735395
35		4	32	0.953264605
37		4	32	1
38		4	32	1
40		4	32	1
01		1	33	1
02		1	33	1
04		1	33	1
05		1	33	1
06		1	33	1
07		1	33	1
08		1	33	1
10		1	33	1
11		1	33	1
16		1	33	1
17		1	33	1
18		1	33	0.995964947
18		4	33	0.004035053
19		1	33	1
20		1	33	1
21		1	33	1
23		4	33	1
24		4	33	1
25		1	33	1
27		1	33	0.796381524
27		4	33	0.203618476
28		1	33	0.400947867
28		4	33	0.599052133
29		1	33	0.488101897
29		4	33	0.511898103
30		1	33	0.419753086
30		4	33	0.580246914
31		1	33	0.790549404
31		4	33	0.209450596
32		4	33	1
33		4	33	1
34		4	33	1
35		4	33	1
37		4	33	1
38		4	33	1
40		4	33	1
01		1	34	1
02		1	34	1
04		1	34	1
05		1	34	1
06		1	34	1
07		1	34	1
08		1	34	1
10		1	34	1
11		1	34	1
17		1	34	1
18		1	34	0.996571837
18		4	34	0.003428163
19		1	34	1
20		1	34	1
21		1	34	1
23		4	34	1
24		4	34	1
25		1	34	1
27		1	34	0.785277416
27		4	34	0.214722584
28		1	34	0.400947867
28		4	34	0.599052133
29		1	34	0.501808302
29		4	34	0.498191698
31		1	34	0.911234043
31		4	34	0.088765957
32		4	34	1
34		4	34	1
35		4	34	1
37		4	34	1
38		4	34	1
40		4	34	1
01		1	35	1
02		1	35	1
04		1	35	1
06		1	35	1
08		1	35	1
10		1	35	1
11		1	35	1
17		1	35	1
18		1	35	0.996908984
18		4	35	0.003091016
19		1	35	1
20		1	35	1
21		1	35	1
23		4	35	1
24		4	35	1
25		1	35	1
27		1	35	0.818821536
27		4	35	0.181178464
28		4	35	1
29		1	35	0.592131898
29		4	35	0.407868102
31		1	35	0.683058441
31		4	35	0.316941559
32		4	35	1
34		4	35	1
35		4	35	1
37		4	35	1
38		4	35	1
40		4	35	1
01		1	36	1
02		1	36	1
05		1	36	1
06		1	36	1
11		1	36	1
17		1	36	1
18		1	36	0.996963323
18		4	36	0.003036677
19		1	36	1
20		1	36	1
21		1	36	1
23		4	36	1
24		4	36	1
25		1	36	1
27		1	36	0.802224475
27		4	36	0.197775525
28		4	36	1
29		1	36	0.318936547
29		4	36	0.681063453
31		1	36	0.979796009
31		4	36	0.020203991
35		4	36	1
37		4	36	1
38		4	36	1
40		4	36	1
01		1	37	1
02		1	37	1
05		1	37	1
06		1	37	1
11		1	37	1
18		1	37	0.997038624
18		4	37	0.002961376
21		1	37	1
23		4	37	1
25		1	37	1
27		1	37	0.924967026
27		4	37	0.075032974
29		1	37	0.290952553
29		4	37	0.709047447
31		1	37	0.937718366
31		4	37	0.062281634
35		4	37	1
37		4	37	1
38		4	37	1
40		4	37	1
01		1	38	1
02		1	38	1
05		1	38	1
06		1	38	1
11		1	38	1
18		1	38	0.996872213
18		4	38	0.003127788
21		1	38	1
25		1	38	1
27		1	38	0.915968261
27		4	38	0.084031739
29		1	38	0.288892971
29		4	38	0.711107029
31		1	38	0.950044814
31		4	38	0.049955186
35		4	38	1
37		4	38	1
38		4	38	1
40		4	38	1
01		1	39	1
02		1	39	1
05		1	39	1
06		1	39	1
11		1	39	1
18		1	39	0.996002956
18		4	39	0.003997044
21		1	39	1
25		1	39	1
27		1	39	0.896830543
27		4	39	0.103169458
29		1	39	0.454212833
29		4	39	0.545787167
31		1	39	0.632980191
31		4	39	0.367019809
35		4	39	1
38		4	39	1
40		4	39	1
02		1	40	1
05		1	40	1
06		1	40	1
11		1	40	1
18		1	40	0.992448338
18		4	40	0.007551662
21		1	40	1
25		1	40	1
27		1	40	0.774509984
27		4	40	0.225490016
29		1	40	0.433994313
29		4	40	0.566005688
31		1	40	0.722686774
31		4	40	0.277313226
35		4	40	1
38		4	40	1
40		4	40	1
02		1	41	1
05		1	41	1
06		1	41	1
11		1	41	1
15		1	41	1
18		1	41	0.992290222
18		4	41	0.007709778
21		1	41	1
25		1	41	1
27		1	41	0.767554693
27		4	41	0.232445307
29		1	41	0.466037525
29		4	41	0.533962475
31		1	41	0.702940707
31		4	41	0.297059293
38		4	41	1
40		4	41	1
02		1	42	1
05		1	42	1
06		1	42	1
11		1	42	1
18		1	42	1
21		1	42	1
25		1	42	1
27		1	42	0.768268348
27		4	42	0.231731652
29		1	42	0.467622543
29		4	42	0.532377457
31		1	42	0.71711002
31		4	42	0.282889981
38		4	42	1
40		4	42	1
02		1	43	1
05		1	43	1
06		1	43	1
11		1	43	1
18		1	43	1
21		1	43	1
25		1	43	1
27		1	43	0.772112295
27		4	43	0.227887705
29		1	43	0.411947394
29		4	43	0.588052606
31		1	43	0.712261635
31		4	43	0.287738365
38		4	43	1
02		1	44	1
05		1	44	1
06		1	44	1
11		1	44	1
18		1	44	1
25		1	44	1
27		1	44	0.775981233
27		4	44	0.224018767
29		1	44	0.419473335
29		4	44	0.580526665
31		1	44	0.709716693
31		4	44	0.290283308
38		4	44	1
02		1	45	1
05		1	45	1
06		1	45	1
11		1	45	1
18		1	45	1
25		1	45	1
27		1	45	0.778467328
27		4	45	0.221532672
29		1	45	0.419292787
29		4	45	0.580707213
31		1	45	0.684085163
31		4	45	0.315914837
38		4	45	1
02		1	46	1
05		1	46	1
06		1	46	1
11		1	46	1
18		1	46	1
25		1	46	1
27		1	46	0.730522478
27		4	46	0.269477522
29		1	46	0.455063333
29		4	46	0.544936667
31		1	46	0.681257371
31		4	46	0.318742629
38		4	46	1
02		1	47	1
05		1	47	1
06		1	47	1
11		1	47	1
18		1	47	1
25		1	47	1
27		1	47	0.730878862
27		4	47	0.269121139
29		1	47	0.476678918
29		4	47	0.523321082
31		1	47	0.659915083
31		4	47	0.340084917
38		4	47	1
02		1	48	1
05		1	48	1
06		1	48	1
11		1	48	1
18		1	48	1
25		1	48	1
27		1	48	0.733620701
27		4	48	0.266379299
29		1	48	0.493044907
29		4	48	0.506955093
31		1	48	0.652218637
31		4	48	0.347781363
38		4	48	1
02		1	49	1
06		1	49	1
11		1	49	1
18		1	49	1
25		1	49	1
27		1	49	0.395654135
27		4	49	0.604345865
29		1	49	0.627299898
29		4	49	0.372700102
31		1	49	0.66807167
31		4	49	0.331928331
38		4	49	1
02		1	50	1
06		1	50	1
11		1	50	1
18		1	50	1
25		1	50	1
27		1	50	0.36501236
27		4	50	0.63498764
29		1	50	0.647139429
29		4	50	0.352860571
31		1	50	0.700499563
31		4	50	0.299500437
38		4	50	1
02		1	51	1
06		1	51	1
11		1	51	1
18		1	51	1
25		1	51	1
27		1	51	0.365461564
27		4	51	0.634538437
29		1	51	0.655257009
29		4	51	0.344742991
31		1	51	0.727702767
31		4	51	0.272297234
38		4	51	1
02		1	52	1
06		1	52	1
11		1	52	1
18		1	52	1
25		1	52	1
27		1	52	0.376063672
27		4	52	0.623936328
29		1	52	0.650465564
29		4	52	0.349534436
31		1	52	0.732335519
31		4	52	0.267664481
38		4	52	1
02		1	53	1
06		1	53	1
11		1	53	1
18		1	53	1
25		1	53	1
27		1	53	0.383699893
27		4	53	0.616300107
29		1	53	0.652018921
29		4	53	0.347981079
31		1	53	0.72013904
31		4	53	0.27986096
38		4	53	1
02		1	54	1
06		1	54	1
11		1	54	1
18		1	54	1
25		1	54	1
27		1	54	0.398577602
27		4	54	0.601422398
29		1	54	0.65428784
29		4	54	0.34571216
31		1	54	0.704675573
31		4	54	0.295324427
38		4	54	1
02		1	55	1
05		1	55	1
06		1	55	1
11		1	55	1
18		1	55	1
25		1	55	1
27		1	55	0.405523165
27		4	55	0.594476835
29		1	55	0.658000571
29		4	55	0.341999429
31		1	55	0.671154355
31		4	55	0.328845645
38		4	55	1
02		1	56	1
05		1	56	1
06		1	56	1
11		1	56	1
18		1	56	1
25		1	56	1
27		1	56	0.436645475
27		4	56	0.563354525
29		1	56	0.674227575
29		4	56	0.325772425
31		1	56	0.652295769
31		4	56	0.347704232
38		4	56	1
02		1	57	1
05		1	57	1
06		1	57	1
11		1	57	1
18		1	57	1
25		1	57	1
27		1	57	0.453086485
27		4	57	0.546913515
29		1	57	0.672445091
29		4	57	0.327554909
31		1	57	0.643571071
31		4	57	0.356428929
38		4	57	1
02		1	58	1
05		1	58	1
06		1	58	1
11		1	58	1
18		1	58	1
25		1	58	1
27		1	58	0.518213741
27		4	58	0.481786259
29		1	58	0.665290663
29		4	58	0.334709337
31		1	58	0.629628993
31		4	58	0.370371007
38		4	58	1
02		1	59	1
05		1	59	1
06		1	59	1
11		1	59	1
18		1	59	1
25		1	59	1
27		1	59	0.488460963
27		4	59	0.511539038
28		1	59	1
29		1	59	0.665202645
29		4	59	0.334797355
31		1	59	0.6487512
31		4	59	0.3512488
38		4	59	1
02		1	60	1
05		1	60	1
06		1	60	1
11		1	60	1
18		1	60	1
25		1	60	1
27		4	60	1
28		1	60	1
29		1	60	0.666662356
29		4	60	0.333337644
31		1	60	0.621792935
31		4	60	0.378207065
38		4	60	1
02		1	61	1
05		1	61	1
06		1	61	1
11		1	61	1
18		1	61	1
25		1	61	1
27		4	61	1
28		1	61	1
29		1	61	0.670052685
29		4	61	0.329947315
