Composite Table: 
seasons	regions	hours  	  technology 	        fuelcost
'1' 	 '1' 	 '1' 	 'electrolysis' 	 31.898678
'1' 	 '1' 	 '2' 	 'electrolysis' 	 31.898678
'1' 	 '1' 	 '3' 	 'electrolysis' 	 31.898678
'1' 	 '1' 	 '4' 	 'electrolysis' 	 31.898678
'1' 	 '1' 	 '5' 	 'electrolysis' 	 31.898678
'1' 	 '1' 	 '6' 	 'electrolysis' 	 31.898678
'1' 	 '1' 	 '7' 	 'electrolysis' 	 31.898678
'1' 	 '1' 	 '8' 	 'electrolysis' 	 19.883726
'1' 	 '1' 	 '9' 	 'electrolysis' 	 2.100270
'1' 	 '1' 	 '10' 	 'electrolysis' 	 2.100270
'1' 	 '1' 	 '11' 	 'electrolysis' 	 2.100270
'1' 	 '1' 	 '12' 	 'electrolysis' 	 2.100270
'1' 	 '1' 	 '13' 	 'electrolysis' 	 2.100270
'1' 	 '1' 	 '14' 	 'electrolysis' 	 2.100270
'1' 	 '1' 	 '15' 	 'electrolysis' 	 2.100270
'1' 	 '1' 	 '16' 	 'electrolysis' 	 2.100270
'1' 	 '1' 	 '17' 	 'electrolysis' 	 2.100270
'1' 	 '1' 	 '18' 	 'electrolysis' 	 29.790770
'1' 	 '1' 	 '19' 	 'electrolysis' 	 31.898678
'1' 	 '1' 	 '20' 	 'electrolysis' 	 31.898678
'1' 	 '1' 	 '21' 	 'electrolysis' 	 31.898678
'1' 	 '1' 	 '22' 	 'electrolysis' 	 31.898678
'1' 	 '1' 	 '23' 	 'electrolysis' 	 31.898678
'1' 	 '1' 	 '24' 	 'electrolysis' 	 31.898678
'2' 	 '1' 	 '1' 	 'electrolysis' 	 52.382471
'2' 	 '1' 	 '2' 	 'electrolysis' 	 52.382471
'2' 	 '1' 	 '3' 	 'electrolysis' 	 52.382471
'2' 	 '1' 	 '4' 	 'electrolysis' 	 51.834624
'2' 	 '1' 	 '5' 	 'electrolysis' 	 51.149401
'2' 	 '1' 	 '6' 	 'electrolysis' 	 51.149452
'2' 	 '1' 	 '7' 	 'electrolysis' 	 51.150507
'2' 	 '1' 	 '8' 	 'electrolysis' 	 48.136283
'2' 	 '1' 	 '9' 	 'electrolysis' 	 38.268066
'2' 	 '1' 	 '10' 	 'electrolysis' 	 38.268066
'2' 	 '1' 	 '11' 	 'electrolysis' 	 38.268066
'2' 	 '1' 	 '12' 	 'electrolysis' 	 38.268066
'2' 	 '1' 	 '13' 	 'electrolysis' 	 38.268066
'2' 	 '1' 	 '14' 	 'electrolysis' 	 38.268066
'2' 	 '1' 	 '15' 	 'electrolysis' 	 38.268066
'2' 	 '1' 	 '16' 	 'electrolysis' 	 38.268066
'2' 	 '1' 	 '17' 	 'electrolysis' 	 41.566897
'2' 	 '1' 	 '18' 	 'electrolysis' 	 52.382471
'2' 	 '1' 	 '19' 	 'electrolysis' 	 52.382471
'2' 	 '1' 	 '20' 	 'electrolysis' 	 52.382471
'2' 	 '1' 	 '21' 	 'electrolysis' 	 52.382471
'2' 	 '1' 	 '22' 	 'electrolysis' 	 52.382471
'2' 	 '1' 	 '23' 	 'electrolysis' 	 52.382471
'2' 	 '1' 	 '24' 	 'electrolysis' 	 52.382471
'3' 	 '1' 	 '1' 	 'electrolysis' 	 19.996817
'3' 	 '1' 	 '2' 	 'electrolysis' 	 19.996817
'3' 	 '1' 	 '3' 	 'electrolysis' 	 19.996817
'3' 	 '1' 	 '4' 	 'electrolysis' 	 19.996817
'3' 	 '1' 	 '5' 	 'electrolysis' 	 19.996817
'3' 	 '1' 	 '6' 	 'electrolysis' 	 19.996817
'3' 	 '1' 	 '7' 	 'electrolysis' 	 19.996817
'3' 	 '1' 	 '8' 	 'electrolysis' 	 15.430964
'3' 	 '1' 	 '9' 	 'electrolysis' 	 0.001833
'3' 	 '1' 	 '10' 	 'electrolysis' 	 0.001833
'3' 	 '1' 	 '11' 	 'electrolysis' 	 0.001833
'3' 	 '1' 	 '12' 	 'electrolysis' 	 0.001833
'3' 	 '1' 	 '13' 	 'electrolysis' 	 0.001833
'3' 	 '1' 	 '14' 	 'electrolysis' 	 0.001833
'3' 	 '1' 	 '15' 	 'electrolysis' 	 0.001833
'3' 	 '1' 	 '16' 	 'electrolysis' 	 0.001833
'3' 	 '1' 	 '17' 	 'electrolysis' 	 0.002000
